,name,minutes_played,games_played,points,team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,positions,slug,steals,turnovers
134,Kevin Durant,3119,81,2280,OKLAHOMA CITY THUNDER,24,374,1433,750,334,105,594,81,731,679,139,46,143,['SMALL FORWARD'],duranke01,116,280
71,Kobe Bryant,3013,78,2133,LOS ANGELES LAKERS,34,469,1595,626,407,25,367,78,738,525,132,66,173,['SHOOTING GUARD'],bryanko01,106,287
234,LeBron James,2877,76,2036,MIAMI HEAT,28,551,1354,535,254,67,513,76,765,403,103,97,110,['POWER FORWARD'],jamesle01,129,226
189,James Harden,2985,78,2023,HOUSTON ROCKETS,23,455,1337,792,486,38,317,78,585,674,179,62,178,['SHOOTING GUARD'],hardeja01,142,295
19,Carmelo Anthony,2482,67,1920,NEW YORK KNICKS,28,171,1489,512,414,32,326,67,669,425,157,134,205,['POWER FORWARD'],anthoca01,52,175
501,Russell Westbrook,2861,82,1903,OKLAHOMA CITY THUNDER,24,607,1535,575,300,24,317,82,673,460,97,111,189,['POINT GUARD'],westbru01,145,273
108,Stephen Curry,2983,78,1786,GOLDEN STATE WARRIORS,24,539,1388,291,600,12,255,78,626,262,272,59,198,['POINT GUARD'],curryst01,126,240
138,Monta Ellis,3076,82,1577,MILWAUKEE BUCKS,27,496,1436,374,328,36,271,82,597,289,94,45,164,['SHOOTING GUARD'],ellismo01,169,254
290,Damian Lillard,3167,82,1562,PORTLAND TRAIL BLAZERS,22,531,1288,321,503,19,215,82,553,271,185,42,172,['POINT GUARD'],lillada01,74,243
6,LaMarcus Aldridge,2790,74,1560,PORTLAND TRAIL BLAZERS,27,192,1318,348,14,91,495,74,638,282,2,175,187,['POWER FORWARD'],aldrila01,62,143
121,DeMar DeRozan,3013,82,1485,TORONTO RAPTORS,23,204,1231,427,120,24,272,82,548,355,34,48,173,['SHOOTING GUARD'],derozde01,76,151
506,Deron Williams,2842,78,1476,BROOKLYN NETS,28,604,1124,369,447,30,203,78,495,317,169,29,194,['POINT GUARD'],willide01,75,218
486,Dwyane Wade,2391,69,1463,MIAMI HEAT,31,352,1093,425,66,56,258,69,569,308,17,86,140,['SHOOTING GUARD'],wadedw01,128,194
282,David Lee,2907,79,1459,GOLDEN STATE WARRIORS,29,279,1160,320,4,22,668,79,602,255,0,218,246,['POWER FORWARD'],leeda02,67,207
488,Kemba Walker,2859,82,1455,CHARLOTTE BOBCATS,22,471,1244,371,332,31,223,82,526,296,107,60,153,['POINT GUARD'],walkeke02,160,200
431,J.R. Smith,2678,80,1446,NEW YORK KNICKS,27,218,1249,311,436,24,361,0,527,237,155,64,226,['SHOOTING GUARD'],smithjr01,100,134
182,Blake Griffin,2598,80,1440,LOS ANGELES CLIPPERS,23,299,1072,426,28,50,476,80,577,281,5,186,231,['POWER FORWARD'],griffbl01,97,185
294,Brook Lopez,2253,74,1437,BROOKLYN NETS,24,70,1094,392,1,154,304,74,570,297,0,208,152,['CENTER'],lopezbr01,33,131
378,Paul Pierce,2575,77,1430,BOSTON CELTICS,35,370,1092,423,382,30,442,77,476,333,145,45,210,['SMALL FORWARD'],piercpa01,84,214
243,Brandon Jennings,2897,80,1397,MILWAUKEE BUCKS,23,521,1247,281,461,10,187,80,497,230,173,59,155,['POINT GUARD'],jennibr01,125,203
237,Al Jefferson,2578,78,1391,UTAH JAZZ,28,164,1236,217,17,89,564,78,611,167,2,156,170,['CENTER'],jeffeal01,80,105
215,Jrue Holiday,2926,78,1383,PHILADELPHIA 76ERS,22,625,1288,242,247,32,240,78,555,182,91,89,170,['POINT GUARD'],holidjr01,123,292
166,Paul George,2972,79,1377,INDIANA PACERS,22,327,1176,274,469,51,515,79,493,221,170,88,227,['SMALL FORWARD'],georgpa01,143,233
464,Klay Thompson,2936,82,1359,GOLDEN STATE WARRIORS,22,183,1205,157,526,45,274,82,508,132,211,32,237,['SHOOTING GUARD'],thompkl01,86,157
369,Tony Parker,2174,66,1341,SAN ANTONIO SPURS,30,499,995,330,68,6,180,66,519,279,24,18,92,['POINT GUARD'],parketo01,54,170
433,Josh Smith,2683,76,1327,ATLANTA HAWKS,27,321,1182,321,201,136,506,76,550,166,61,133,175,['POWER FORWARD'],smithjo03,94,226
227,Kyrie Irving,2048,59,1325,CLEVELAND CAVALIERS,20,350,1070,290,279,21,182,59,484,248,109,34,146,['POINT GUARD'],irvinky01,89,191
18,Ryan Anderson,2503,81,1309,NEW ORLEANS HORNETS,24,97,1115,180,557,31,328,22,472,152,213,191,179,['POWER FORWARD'],anderry01,42,97
335,Greg Monroe,2687,81,1298,DETROIT PISTONS,22,281,1058,392,4,55,541,81,514,270,0,236,190,['CENTER'],monrogr01,105,234
220,Dwight Howard,2722,76,1296,LOS ANGELES LAKERS,27,108,813,721,6,186,694,76,470,355,1,251,291,['CENTER'],howardw01,84,225
219,Al Horford,2756,74,1289,ATLANTA HAWKS,26,240,1060,208,6,78,562,74,576,134,3,195,163,['CENTER'],horfoal01,78,147
59,Carlos Boozer,2546,79,1281,CHICAGO BULLS,31,179,1140,264,2,28,596,79,544,193,0,175,239,['POWER FORWARD'],boozeca01,66,176
