,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
111,Ahmad Caver,25,0.0,0.0,36.9,5.9,0.0,0.0,0.0,1,False,1,31.0,0.0,0.0,76.2,['SHOOTING GUARD'],caverah01,0.0,INDIANA PACERS,0.0,0.0,1.0,0.0,42.8,0.0,0.0,1.204
164,Sekou Doumbouya,21,0.0,11.1,18.8,10.0,26.8,0.1,0.5,2,False,16,8.8,13.5,0.0,40.7,['POWER FORWARD'],doumbse01,9.0,LOS ANGELES LAKERS,0.25,20.2,0.717,17.0,31.6,0.1,0.1,0.3
336,Joe Johnson,40,0.0,0.0,15.0,2.8,0.0,0.0,0.0,1,False,2,12.1,0.0,0.0,38.7,['SHOOTING GUARD'],johnsjo02,0.0,BOSTON CELTICS,0.0,0.0,1.0,0.0,22.0,0.0,0.0,0.335
254,Jared Harper,24,64.1,2.2,17.3,3.1,0.0,0.1,0.154,5,False,43,14.2,5.0,0.3,36.9,['POINT GUARD'],harpeja01,4.6,NEW ORLEANS PELICANS,0.462,2.6,0.666,6.7,29.7,0.2,0.4,0.422
343,Nikola Jokić,26,42.6,2.3,13.7,4.5,35.5,4.5,0.357,74,False,2476,9.2,9.6,10.8,32.8,['CENTER'],jokicni01,2.2,DENVER NUGGETS,0.22,23.0,0.661,15.6,31.9,9.8,15.2,0.296
13,Giannis Antetokounmpo,27,31.7,4.0,11.2,3.5,30.4,3.7,0.615,67,False,2204,7.6,6.6,9.2,32.1,['POWER FORWARD'],antetgi01,1.6,MILWAUKEE BUCKS,0.194,18.7,0.633,12.2,34.9,7.4,12.9,0.281
706,Moses Wright,23,100.0,0.0,24.2,13.4,0.0,0.0,0.0,1,False,1,10.8,0.0,0.0,31.2,['POWER FORWARD'],wrighmo01,0.0,LOS ANGELES CLIPPERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.443
184,Joel Embiid,27,23.5,3.9,9.2,2.0,31.1,4.1,0.602,68,False,2297,7.2,7.2,7.9,31.2,['CENTER'],embiijo01,1.7,PHILADELPHIA 76ERS,0.188,19.4,0.616,11.3,37.2,6.5,12.0,0.252
46,Jordan Bell,27,0.0,0.0,2.7,10.8,0.0,0.0,0.0,1,False,2,-8.1,56.6,0.0,29.9,['CENTER'],belljo01,24.4,CHICAGO BULLS,0.0,28.1,0.0,0.0,0.0,0.0,0.0,0.6
483,Malik Newman,24,27.8,0.0,6.4,0.1,13.5,0.0,0.4,1,False,8,6.3,0.0,0.0,28.6,['POINT GUARD'],newmama01,0.0,CLEVELAND CAVALIERS,0.2,6.9,0.68,14.5,38.1,0.0,0.0,0.179
697,D.J. Wilson,25,14.6,1.8,5.0,3.2,31.8,0.1,0.667,4,False,54,1.8,1.9,0.2,27.9,['POWER FORWARD'],wilsodj01,4.6,TORONTO RAPTORS,0.133,16.1,0.773,9.3,17.0,0.1,0.4,0.328
533,Kristaps Porziņģis,26,17.9,4.4,5.7,0.2,25.5,0.6,0.448,17,False,479,5.4,8.9,1.6,27.7,['POWER FORWARD'],porzikr01,1.2,WASHINGTON WIZARDS,0.305,17.3,0.606,8.3,31.4,0.9,2.2,0.22
538,Norman Powell,28,19.5,2.7,7.7,-0.1,9.1,0.1,0.556,5,False,125,7.8,2.6,0.6,27.1,['SHOOTING GUARD'],powelno01,0.8,LOS ANGELES CLIPPERS,0.381,5.9,0.682,8.2,30.0,0.3,0.7,0.272
458,Greg Monroe,31,16.7,3.4,4.4,-0.3,12.2,0.0,1.4,3,False,26,4.6,26.1,0.2,27.0,['CENTER'],monrogr01,0.0,UTAH JAZZ,0.0,19.0,0.743,0.0,13.5,0.0,0.2,0.39
193,Bruno Fernando,23,6.3,7.6,1.5,0.2,34.1,0.1,0.463,10,False,94,1.3,12.8,0.2,26.5,['CENTER'],fernabr01,0.5,HOUSTON ROCKETS,0.024,23.4,0.699,15.4,26.3,0.1,0.3,0.164
609,Jaden Springer,19,0.0,30.0,17.1,8.7,18.3,0.0,0.0,2,False,6,8.3,18.9,0.0,26.4,['SHOOTING GUARD'],sprinja01,0.0,PHILADELPHIA 76ERS,0.0,18.6,1.0,50.0,15.0,0.0,0.0,0.138
186,James Ennis III,31,0.0,3.0,4.0,0.3,11.0,0.0,0.364,2,False,28,3.7,7.8,0.1,26.3,['SMALL FORWARD'],ennisja01,1.7,LOS ANGELES CLIPPERS,0.364,9.5,0.784,7.3,21.6,0.0,0.2,0.277
