,name,minutes_played,games_played,points,team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,positions,slug,steals,turnovers
137,Kevin Durant,3239,82,2472,OKLAHOMA CITY THUNDER,21,231,1668,840,351,84,518,82,794,756,128,105,171,['SMALL FORWARD'],duranke01,112,271
254,LeBron James,2966,76,2258,CLEVELAND CAVALIERS,25,651,1528,773,387,77,483,76,768,593,129,71,119,['SMALL FORWARD'],jamesle01,125,261
472,Dwyane Wade,2792,77,2045,MIAMI HEAT,28,501,1511,702,243,82,266,77,719,534,73,107,181,['SHOOTING GUARD'],wadedw01,142,252
359,Dirk Nowitzki,3039,81,2027,DALLAS MAVERICKS,31,218,1496,586,121,79,540,80,720,536,51,80,208,['POWER FORWARD'],nowitdi01,70,149
76,Kobe Bryant,2835,73,1970,LOS ANGELES LAKERS,31,365,1569,541,301,20,313,73,716,439,99,78,187,['SHOOTING GUARD'],bryanko01,113,233
14,Carmelo Anthony,2634,69,1943,DENVER NUGGETS,25,222,1502,612,187,30,302,69,688,508,59,152,225,['SMALL FORWARD'],anthoca01,88,209
437,Amar'e Stoudemire,2838,82,1896,PHOENIX SUNS,27,82,1264,632,6,83,502,82,704,487,1,230,281,['POWER FORWARD'],stoudam01,52,213
396,Zach Randolph,3051,81,1681,MEMPHIS GRIZZLIES,28,149,1336,465,52,34,620,81,652,362,15,330,226,['POWER FORWARD'],randoza01,80,174
58,Chris Bosh,2526,70,1678,TORONTO RAPTORS,25,166,1158,590,22,68,554,70,600,470,8,205,170,['CENTER'],boshch01,43,169
295,David Lee,3019,81,1640,NEW YORK KNICKS,26,295,1258,330,8,40,721,81,686,268,0,228,257,['CENTER'],leeda02,85,189
139,Monta Ellis,2647,64,1631,GOLDEN STATE WARRIORS,24,340,1406,388,228,25,210,64,631,292,77,47,189,['SHOOTING GUARD'],ellismo01,143,244
410,Derrick Rose,2871,78,1619,CHICAGO BULLS,21,469,1373,338,60,27,228,78,672,259,16,65,96,['POINT GUARD'],rosede01,57,217
270,Joe Johnson,2886,76,1619,ATLANTA HAWKS,28,369,1386,269,350,5,279,76,635,220,129,74,145,['SHOOTING GUARD'],johnsjo02,82,145
68,Aaron Brooks,2919,82,1604,HOUSTON ROCKETS,25,434,1331,298,525,14,161,82,575,245,209,54,199,['POINT GUARD'],brookaa01,69,232
164,Rudy Gay,3175,80,1567,MEMPHIS GRIZZLIES,23,153,1288,400,202,64,357,80,600,301,66,115,201,['SMALL FORWARD'],gayru01,118,169
299,Brook Lopez,3027,82,1542,NEW JERSEY NETS,21,187,1129,509,2,139,439,82,563,416,0,270,251,['CENTER'],lopezbr01,55,204
486,David West,2949,81,1541,NEW ORLEANS HORNETS,29,239,1226,342,27,60,441,81,619,296,7,164,233,['POWER FORWARD'],westda01,76,173
57,Carlos Boozer,2673,78,1519,UTAH JAZZ,28,247,1098,384,0,36,693,78,617,285,0,181,270,['POWER FORWARD'],boozeca01,84,212
253,Stephen Jackson,2829,72,1518,CHARLOTTE BOBCATS,31,258,1285,397,353,37,294,72,544,312,118,72,181,['SHOOTING GUARD'],jacksst02,118,233
223,Dwight Howard,2843,82,1503,ORLANDO MAGIC,24,144,834,816,7,228,798,82,510,483,0,284,287,['CENTER'],howardw01,75,274
181,Danny Granger,2278,62,1497,INDIANA PACERS,26,171,1139,428,438,51,275,62,488,363,158,67,183,['SMALL FORWARD'],grangda01,94,157
144,Tyreke Evans,2677,72,1450,SACRAMENTO KINGS,20,414,1165,465,141,26,314,72,533,348,36,66,204,['SHOOTING GUARD'],evansty01,109,216
320,O.J. Mayo,3113,82,1432,MEMPHIS GRIZZLIES,22,242,1183,262,355,17,250,82,542,212,136,61,174,['SHOOTING GUARD'],mayooj01,98,176
48,Chauncey Billups,2490,73,1427,DENVER NUGGETS,33,409,962,512,407,9,203,73,402,466,157,25,153,['POINT GUARD'],billuch01,82,177
106,Jamal Crawford,2460,79,1425,ATLANTA HAWKS,29,238,1105,315,427,12,167,0,496,270,163,34,132,['SHOOTING GUARD'],crawfja01,61,137
494,Deron Williams,2802,76,1419,UTAH JAZZ,25,798,1053,418,259,16,253,76,494,335,96,50,208,['POINT GUARD'],willide01,96,252
276,Chris Kaman,2608,76,1408,LOS ANGELES CLIPPERS,27,120,1202,307,6,94,520,76,589,230,0,184,213,['CENTER'],kamanch01,37,223
238,Andre Iguodala,3193,82,1401,PHILADELPHIA 76ERS,26,472,1120,430,303,55,447,82,496,315,94,82,145,['SMALL FORWARD'],iguodan01,141,218
110,Stephen Curry,2896,80,1399,GOLDEN STATE WARRIORS,21,472,1143,200,380,19,308,77,528,177,166,48,252,['POINT GUARD'],curryst01,152,243
413,Brandon Roy,2419,65,1398,PORTLAND TRAIL BLAZERS,25,305,1038,440,221,16,212,65,491,343,73,73,136,['SHOOTING GUARD'],roybr01,61,129
135,Tim Duncan,2438,78,1395,SAN ANTONIO SPURS,33,246,1082,374,11,117,567,77,561,271,2,221,152,['CENTER'],duncati01,45,140
2,LaMarcus Aldridge,2922,78,1393,PORTLAND TRAIL BLAZERS,24,160,1169,304,16,48,435,78,579,230,5,192,231,['POWER FORWARD'],aldrila01,67,104
476,Gerald Wallace,3119,76,1386,CHARLOTTE BOBCATS,27,161,943,544,140,83,612,76,456,422,52,150,194,['SMALL FORWARD'],wallage01,117,178
31,Andrea Bargnani,2799,80,1376,TORONTO RAPTORS,24,93,1143,234,325,111,388,80,537,181,121,105,215,['POWER FORWARD'],bargnan01,25,120
353,Steve Nash,2660,81,1333,PHOENIX SUNS,35,892,985,225,291,12,234,81,499,211,124,34,108,['POINT GUARD'],nashst01,42,295
419,Luis Scola,2671,82,1329,HOUSTON ROCKETS,29,169,1090,267,5,26,530,82,560,208,1,175,246,['POWER FORWARD'],scolalu01,63,163
489,Russell Westbrook,2813,82,1322,OKLAHOMA CITY THUNDER,21,652,1160,422,104,34,258,82,485,329,23,143,204,['POINT GUARD'],westbru01,108,268
5,Ray Allen,2819,80,1304,BOSTON CELTICS,34,210,973,253,399,25,208,80,464,231,145,45,182,['SHOOTING GUARD'],allenra02,64,129
260,Al Jefferson,2463,76,1301,MINNESOTA TIMBERWOLVES,25,137,1125,266,4,98,523,76,560,181,0,180,205,['CENTER'],jeffeal01,63,136
381,Paul Pierce,2411,71,1296,BOSTON CELTICS,32,218,867,433,263,31,271,71,409,369,109,39,196,['SMALL FORWARD'],piercpa01,84,166
447,Jason Terry,2540,77,1280,DALLAS MAVERICKS,32,292,1041,268,373,17,121,12,456,232,136,19,142,['SHOOTING GUARD'],terryja01,94,109
195,Al Harrington,2195,72,1276,NEW YORK KNICKS,29,110,1030,317,409,26,317,15,448,240,140,88,209,['POWER FORWARD'],harrial01,62,132
264,Brandon Jennings,2671,82,1270,MILWAUKEE BUCKS,20,470,1216,273,388,18,233,82,451,223,145,49,191,['POINT GUARD'],jennibr01,105,200
430,Josh Smith,2871,81,1269,ATLANTA HAWKS,24,342,999,422,7,172,482,81,504,261,0,223,240,['POWER FORWARD'],smithjo03,130,198
91,Vince Carter,2310,75,1244,ORLANDO MAGIC,33,236,1015,306,324,18,260,74,434,257,119,33,189,['SHOOTING GUARD'],cartevi01,53,106
402,Jason Richardson,2485,79,1239,PHOENIX SUNS,29,143,998,184,400,33,323,76,473,136,157,81,169,['SHOOTING GUARD'],richaja01,66,92
185,Jeff Green,3043,82,1239,OKLAHOMA CITY THUNDER,23,134,1070,223,312,72,378,82,485,165,104,112,221,['POWER FORWARD'],greenje02,104,135
120,Luol Deng,2651,70,1230,CHICAGO BULLS,24,143,1014,330,83,61,381,69,473,252,32,131,129,['SMALL FORWARD'],denglu01,66,134
159,Danilo Gallinari,2747,81,1221,NEW YORK KNICKS,21,135,927,307,488,58,333,74,392,251,186,65,191,['SMALL FORWARD'],gallida01,75,110
438,Rodney Stuckey,2499,73,1215,DETROIT PISTONS,23,348,1109,359,79,12,214,67,449,299,18,67,205,['POINT GUARD'],stuckro01,101,163
163,Pau Gasol,2403,65,1190,LOS ANGELES LAKERS,29,218,844,362,5,113,491,65,452,286,0,243,152,['CENTER'],gasolpa01,37,143
220,Al Horford,2845,81,1148,ATLANTA HAWKS,23,189,847,270,1,91,563,81,467,213,1,236,225,['CENTER'],horfoal01,59,122
336,Andre Miller,2500,82,1146,PORTLAND TRAIL BLAZERS,33,445,908,392,80,9,185,66,404,322,16,81,169,['POINT GUARD'],millean02,93,173
114,Baron Davis,2523,75,1145,LOS ANGELES CLIPPERS,30,598,1015,291,296,43,214,73,412,239,82,52,210,['POINT GUARD'],davisba01,126,211
212,Nenê,2755,82,1135,DENVER NUGGETS,27,203,717,416,2,82,461,82,421,293,0,166,281,['CENTER'],hilarne01,115,125
409,Rajon Rondo,2963,81,1110,BOSTON CELTICS,23,794,904,282,80,11,260,81,459,175,17,100,198,['POINT GUARD'],rondora01,189,246
54,Andrew Bogut,2229,69,1095,MILWAUKEE BUCKS,25,127,910,237,2,175,493,69,473,149,0,208,222,['CENTER'],bogutan01,39,131
500,Mo Williams,2359,69,1092,CLEVELAND CAVALIERS,27,368,855,198,371,21,178,68,378,177,159,28,170,['POINT GUARD'],willima01,70,173
196,Devin Harris,2221,64,1080,NEW JERSEY NETS,26,423,884,386,217,18,179,61,356,308,60,24,178,['POINT GUARD'],harride01,79,181
