,season,name,team,age,probability
60,2023,Nikola Jokić,DENVER NUGGETS,27,0.4350282485875706
31,2023,Joel Embiid,PHILADELPHIA 76ERS,28,0.15254237288135594
2,2023,Giannis Antetokounmpo,MILWAUKEE BUCKS,28,0.10169491525423728
28,2023,Luka Dončić,DALLAS MAVERICKS,23,0.07909604519774012
65,2023,Damian Lillard,PORTLAND TRAIL BLAZERS,32,0.07344632768361582
104,2023,Trae Young,ATLANTA HAWKS,24,0.02824858757062147
25,2023,Stephen Curry,GOLDEN STATE WARRIORS,34,0.02824858757062147
74,2023,Ja Morant,MEMPHIS GRIZZLIES,23,0.022598870056497175
38,2023,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,24,0.01694915254237288
57,2023,LeBron James,LOS ANGELES LAKERS,38,0.01694915254237288
15,2023,Jaylen Brown,BOSTON CELTICS,26,0.011299435028248588
5,2023,LaMelo Ball,CHARLOTTE HORNETS,21,0.011299435028248588
24,2023,Cade Cunningham,DETROIT PISTONS,21,0.005649717514124294
13,2023,Devin Booker,PHOENIX SUNS,26,0.005649717514124294
103,2023,Zion Williamson,NEW ORLEANS PELICANS,22,0.005649717514124294
45,2023,Tyrese Haliburton,INDIANA PACERS,22,0.005649717514124294
