,title,date,url,player
1,NBA: Stephen Curry inspires late Golden State Warriors win over the Milwaukee Bucks,2022-23,https://www.bbc.co.uk/sport/av/basketball/64932148,Stephen Curry
2,NBA: Stephen Curry inspires Golden State Warriors against Milwaukee Bucks,2022-23,https://www.bbc.co.uk/sport/basketball/64930824,Stephen Curry
4,"NBA: Stephen Curry ruled out indefinitely with knee injury, Kyrie Irving reportedly set for Dallas Mavericks trade",2022-23,https://www.bbc.co.uk/sport/basketball/64535246,Stephen Curry
5,Stephen Curry injured as Golden State Warriors lose again,2022-23,https://www.bbc.co.uk/sport/basketball/63982850,Stephen Curry
8,Stephen Curry: Point guard scores 24 as Golden State Warriors beat New York Knicks,2022-23,https://www.bbc.co.uk/sport/basketball/63686873,Stephen Curry
9,NBA: Stephen Curry 'lights the fire' as Golden State Warriors beat Sacramento Kings,2022-23,https://www.bbc.co.uk/sport/basketball/63553732,Stephen Curry
10,NBA: Stephen Curry scores 33 points as Warriors beat Lakers in season opener,2022-23,https://www.bbc.co.uk/sport/basketball/63310729,Stephen Curry
11,NBA: Ja Morant inspires Memphis Grizzlies win while Stephen Curry stars in Golden State Warriors loss,2022-23,https://www.bbc.co.uk/sport/basketball/63355733,Stephen Curry
19,NBA All-Star Game: Stephen Curry sets record as Team LeBron win 163-160 against Team Durant,2021-22,https://www.bbc.co.uk/sport/basketball/60459972,Stephen Curry
20,NBA: Marcus Smart on Stephen Curry injury - 'I'm not a dirty player',2021-22,https://www.bbc.co.uk/sport/basketball/60776514,Stephen Curry
21,NBA: Giannis Antetokounmpo and Stephen Curry feature in plays of the week,2021-22,https://www.bbc.co.uk/sport/av/basketball/60168189,Stephen Curry
23,Watch Stephen Curry hit first buzzer-beating game-winner of his NBA career,2021-22,https://www.bbc.co.uk/sport/av/basketball/60097198,Stephen Curry
24,NBA: Stephen Curry scores 40 points as Golden State Warriors win sixth game in a row,2021-22,https://www.bbc.co.uk/sport/basketball/60200633,Stephen Curry
25,Stephen Curry: Golden State Warriors star makes game-winning score on the buzzer,2021-22,https://www.bbc.co.uk/sport/basketball/60094949,Stephen Curry
26,NBA: Stephen Curry returns in Golden State Warriors win while Philadelphia 76ers fight back,2021-22,https://www.bbc.co.uk/sport/basketball/59738962,Stephen Curry
27,NBA: Stephen Curry leads Warriors win with 46 points,2021-22,https://www.bbc.co.uk/sport/basketball/59775265,Stephen Curry
28,NBA: Stephen Curry breaks own three-pointer record in Golden State Warriors win,2021-22,https://www.bbc.co.uk/sport/basketball/59851107,Stephen Curry
29,NBA: Golden State Warriors miss Stephen Curry in Pelicans defeat,2021-22,https://www.bbc.co.uk/sport/basketball/59905773,Stephen Curry
30,Stephen Curry: Watch highlights as Golden State Warriors star breaks NBA three-point record,2021-22,https://www.bbc.co.uk/sport/av/basketball/59666591,Stephen Curry
31,NBA: Stephen Curry inspires Golden State Warriors to victory over LA Clippers,2021-22,https://www.bbc.co.uk/sport/basketball/59441291,Stephen Curry
32,Stephen Curry: Golden State Warriors player breaks Ray Allen's NBA three-point record,2021-22,https://www.bbc.co.uk/sport/basketball/59663806,Stephen Curry
34,NBA: Stephen Curry waits for record as Golden State Warriors lose to Philadelphia 76ers,2021-22,https://www.bbc.co.uk/sport/basketball/59626803,Stephen Curry
36,NBA: Stephen Curry one off Ray Allen record as Golden State Warriors beat Indiana Pacers,2021-22,https://www.bbc.co.uk/sport/basketball/59648686,Stephen Curry
37,NBA round-up: Stephen Curry helps Golden State Warriors beat Orlando Magic,2021-22,https://www.bbc.co.uk/sport/basketball/59559633,Stephen Curry
38,NBA: Stephen Curry scores 50 as Golden State Warriors beat Atlanta Hawks,2021-22,https://www.bbc.co.uk/sport/basketball/59209614,Stephen Curry
39,NBA: Stephen Curry hits 40 points in Golden State Warriors win over Cleveland Cavaliers,2021-22,https://www.bbc.co.uk/sport/basketball/59344263,Stephen Curry
40,NBA: Stephen Curry stars as Golden State Warriors beat Brooklyn Nets,2021-22,https://www.bbc.co.uk/sport/basketball/59316860,Stephen Curry
41,NBA: Stephen Curry passes Ray Allen's three-pointers mark as Golden State Warriors win,2021-22,https://www.bbc.co.uk/sport/basketball/59273283,Stephen Curry
