player,date,url,textblob_Sentiment,key_words_score,sentiment_bert_average_score,sentiment_roberta_average_score,sentiment_xlnet_average_score,sentiment_distilbert_average_score,bert_relevance,nltk_Sentiment,number_of_articles
Al Jefferson,2013-14,['https://www.bbc.co.uk/sport/football/25180409'],0.1095268337783307,1.0,0.5963912124817188,0.5297624881450946,0.5684926165984228,0.5271192834927485,0.5454137921333313,0.9982,1
Blake Griffin,2013-14,"['http://www.bbc.co.uk/sport/rugby-league/26855154', 'https://www.bbc.co.uk/sport/commonwealth-games/26986280']",0.15063512886023706,0.8,0.5702578544616699,0.5347644229729971,0.5655677119890848,0.5207971115907033,0.5385785102844238,0.9186,2
Brook Lopez,2013-14,"['https://www.bbc.co.uk/sport/taekwondo/25379517', 'https://www.bbc.co.uk/sport/boxing/25622907']",0.08997859025032935,0.9,0.6022932877387907,0.5288946497910129,0.5899988396708014,0.529270862123649,0.5771297216415405,0.9548000000000001,2
Carmelo Anthony,2013-14,['https://www.bbc.co.uk/sport/commonwealth-games/26986280'],0.1588937145105976,1.0,0.6026120980580648,0.5355945865313212,0.5863606174786885,0.5165701031684875,0.519756555557251,0.9993,1
David Lee,2013-14,"['https://www.bbc.co.uk/sport/football/26995315', 'https://www.bbc.co.uk/sport/football/25830046', 'https://www.bbc.co.uk/sport/football/25103010']",0.08430138043774406,0.8000000000000002,0.5945955514907837,0.5254822800556819,0.6048003127177556,0.5363605002562205,0.5489562153816223,0.8983333333333334,3
DeMar DeRozan,2013-14,['https://www.bbc.co.uk/sport/athletics/24906369'],0.047257313393677,0.8,0.608011392029849,0.5406492623415861,0.5853317759253762,0.5256583365527067,0.525087296962738,-0.9592,1
Deron Williams,2013-14,['https://www.bbc.co.uk/sport/commonwealth-games/26986280'],0.1588937145105976,1.0,0.5668041427930196,0.536725389957428,0.5558292826016744,0.5239320278167725,0.503265380859375,0.9993,1
Dwight Howard,2013-14,['https://www.bbc.co.uk/sport/football/25387089'],0.1597976190476191,1.0,0.5788180069489912,0.5254470380869779,0.5874896428801797,0.537931268865412,0.5774654746055603,0.9988,1
Eric Gordon,2013-14,['https://www.bbc.co.uk/sport/cricket/24999016'],0.1800734618916437,0.6000000000000001,0.5866653174161911,0.5409374535083771,0.6382016539573669,0.5262382477521896,0.5343828797340393,0.9349,1
Evan Turner,2013-14,"['https://www.bbc.co.uk/sport/rugby-union/26731104', 'https://www.bbc.co.uk/sport/football/26721212', 'https://www.bbc.co.uk/sport/rugby-union/24873421']",-0.03915824915824917,0.7333333333333334,0.600926146739059,0.5415736867321862,0.5652489364147186,0.5277990856104426,0.5209941267967224,0.7170666666666667,3
