,name,minutes_played,games_played,points,team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,positions,slug,steals,turnovers
711,Trae Young,2652,76,2155,ATLANTA HAWKS,23,737,1544,553,610,7,234,76,711,500,233,50,128,['POINT GUARD'],youngtr01,72,303
150,DeMar DeRozan,2743,76,2118,CHICAGO BULLS,32,374,1535,593,142,24,336,76,774,520,50,56,178,['POWER FORWARD'],derozde01,68,181
184,Joel Embiid,2297,68,2079,PHILADELPHIA 76ERS,27,284,1334,803,251,99,650,68,666,654,93,146,181,['CENTER'],embiijo01,77,214
622,Jayson Tatum,2731,76,2046,BOSTON CELTICS,23,334,1564,469,651,49,524,76,708,400,230,85,174,['SMALL FORWARD'],tatumja01,75,217
343,Nikola Jokić,2476,74,2004,DENVER NUGGETS,26,584,1311,468,288,63,813,74,764,379,97,206,191,['CENTER'],jokicni01,109,281
13,Giannis Antetokounmpo,2204,67,2002,MILWAUKEE BUCKS,27,388,1245,766,242,91,644,67,689,553,71,134,212,['POWER FORWARD'],antetgi01,72,219
159,Luka Dončić,2301,65,1847,DALLAS MAVERICKS,22,568,1403,489,569,36,537,65,641,364,201,56,145,['POINT GUARD'],doncilu01,75,292
64,Devin Booker,2345,68,1822,PHOENIX SUNS,25,329,1421,363,478,26,297,68,662,315,183,45,180,['SHOOTING GUARD'],bookede01,77,162
647,Karl-Anthony Towns,2476,74,1818,MINNESOTA TIMBERWOLVES,26,269,1214,467,366,83,533,74,642,384,150,194,267,['CENTER'],townska01,72,226
452,Donovan Mitchell,2266,67,1733,UTAH JAZZ,25,358,1376,313,654,12,227,67,617,267,232,55,164,['SHOOTING GUARD'],mitchdo01,99,200
323,LeBron James,2084,56,1695,LOS ANGELES LAKERS,37,349,1221,336,448,59,396,56,640,254,161,63,121,['CENTER'],jamesle01,73,196
176,Kevin Durant,2047,55,1643,BROOKLYN NETS,33,351,1115,409,300,52,378,55,578,372,115,29,113,['POWER FORWARD'],duranke01,48,191
386,Zach LaVine,2328,67,1635,CHICAGO BULLS,26,303,1186,375,475,23,286,67,565,320,185,22,120,['SHOOTING GUARD'],lavinza01,41,171
142,Stephen Curry,2211,64,1630,GOLDEN STATE WARRIORS,33,404,1224,298,750,23,301,64,535,275,285,34,130,['POINT GUARD'],curryst01,85,206
72,Miles Bridges,2837,80,1613,CHARLOTTE HORNETS,23,300,1214,333,465,67,469,80,596,267,154,90,193,['POWER FORWARD'],bridgmi02,74,150
462,Ja Morant,1889,57,1564,MEMPHIS GRIZZLIES,22,384,1177,415,256,22,248,57,580,316,88,77,86,['POINT GUARD'],moranja01,66,196
84,Jaylen Brown,2220,66,1559,BOSTON CELTICS,25,231,1217,318,464,18,351,66,576,241,166,53,163,['SMALL FORWARD'],brownja02,70,178
589,Pascal Siakam,2578,68,1551,TORONTO RAPTORS,27,360,1207,379,218,42,452,68,596,284,75,128,225,['POWER FORWARD'],siakapa01,85,181
178,Anthony Edwards,2466,72,1533,MINNESOTA TIMBERWOLVES,20,275,1245,280,602,46,281,72,549,220,215,62,164,['SHOOTING GUARD'],edwaran01,105,190
28,LaMelo Ball,2422,75,1508,CHARLOTTE HORNETS,20,571,1254,243,565,30,393,75,538,212,220,108,237,['POINT GUARD'],ballla01,119,245
216,Darius Garland,2430,68,1473,CLEVELAND CAVALIERS,22,583,1173,241,454,7,185,68,542,215,174,39,115,['POINT GUARD'],garlada01,89,248
546,Julius Randle,2544,72,1447,NEW YORK KNICKS,27,370,1246,401,390,39,591,72,512,303,120,125,205,['POWER FORWARD'],randlju01,53,245
681,Russell Westbrook,2678,78,1441,LOS ANGELES LAKERS,33,550,1233,399,265,20,470,78,548,266,79,110,235,['POINT GUARD'],westbru01,75,295
474,Dejounte Murray,2366,68,1438,SAN ANTONIO SPURS,25,627,1241,247,294,23,483,68,573,196,96,80,138,['POINT GUARD'],murrade01,138,180
568,Terry Rozier,2458,73,1408,CHARLOTTE HORNETS,27,326,1167,176,593,25,259,73,518,150,222,56,119,['SHOOTING GUARD'],roziete01,93,96
