,season,slug,name,team,age,%games_played,minutes_played,points,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,steals,turnovers,field_goal%,free_throw%,3pt%,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares_per_48_minutes,win_rate,conference_standing,num_mvp,won_last_yr,won_2_yrs_before,textblob_sentiment,sentiment_bert_average_score,sentiment_xlnet_average_score,bert_relevance,relevance_score,frequency,is_mvp
0,2010,aldrila01,LaMarcus Aldridge,PORTLAND TRAIL BLAZERS,24,0.951219512195122,37.46153846153846,17.858974358974358,2.051282051282051,14.987179487179487,3.897435897435898,0.2051282051282051,0.6153846153846154,5.576923076923077,1.0,7.423076923076923,2.948717948717949,0.0641025641025641,2.4615384615384617,2.9615384615384617,0.8589743589743589,1.3333333333333333,0.495295124037639,0.7565789473684211,0.3125,9.9,1.3,1.2,-0.2,18.6,0.26,1.4,8.1,18.2,1.3,0.014,13.3,0.535,7.4,22.9,2.3,0.145,0.6097560975609756,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1,2010,allenra02,Ray Allen,BOSTON CELTICS,34,0.975609756097561,35.2375,16.3,2.625,12.1625,3.1625,4.9875,0.3125,2.6,1.0,5.8,2.8875,1.8125,0.5625,2.275,0.8,1.6125,0.4768756423432682,0.9130434782608696,0.3634085213032582,12.3,0.7,1.2,-0.3,8.8,0.26,1.5,2.0,15.2,1.2,0.41,5.5,0.601,10.6,20.2,2.3,0.135,0.6097560975609756,4,0,0,0,0.046541415714644,0.5710958358314302,0.5737237615717782,0.5190211534500122,0.0038996330971015,4,0
2,2010,anthoca01,Carmelo Anthony,DENVER NUGGETS,25,0.8414634146341463,38.17391304347826,28.159420289855078,3.217391304347826,21.768115942028984,8.869565217391305,2.710144927536232,0.4347826086956521,4.376811594202898,1.0,9.971014492753625,7.36231884057971,0.855072463768116,2.2028985507246377,3.260869565217391,1.2753623188405796,3.028985507246377,0.4580559254327563,0.8300653594771241,0.3155080213903743,15.9,0.9,2.3,-1.2,13.1,0.407,3.5,6.7,22.2,1.7,0.125,9.9,0.548,10.6,33.4,2.9,0.145,0.6463414634146342,4,0,0,0,0.0659319821592549,0.5807402985436576,0.576524725982121,0.531563937664032,0.0585006792499055,5,0
3,2010,arenagi01,Gilbert Arenas,WASHINGTON WIZARDS,28,0.3902439024390244,36.53125,22.5625,7.1875,19.25,6.46875,5.65625,0.28125,3.625,1.0,7.90625,4.78125,1.96875,0.53125,2.96875,1.28125,3.65625,0.4107142857142857,0.7391304347826086,0.3480662983425414,36.3,0.6,1.7,-1.2,11.6,0.336,2.9,1.6,18.7,1.8,0.294,6.5,0.511,14.2,31.9,1.1,0.072,0.3170731707317073,14,0,0,0,0.132288557912325,0.6023474167263697,0.5754024456890803,0.523616373538971,0.0043846670048157,6,0
4,2010,arizatr01,Trevor Ariza,HOUSTON ROCKETS,24,0.8780487804878049,36.513888888888886,14.88888888888889,3.8333333333333335,13.875,3.1666666666666665,5.652777777777778,0.5555555555555556,4.513888888888889,0.9861111111111112,5.472222222222222,2.055555555555556,1.8888888888888888,1.0833333333333333,2.25,1.75,2.236111111111111,0.3943943943943944,0.6491228070175439,0.3341523341523341,16.7,1.1,0.5,0.9,14.7,0.228,-0.4,3.3,13.3,2.4,0.407,8.8,0.488,12.8,21.2,1.7,0.058,0.5121951219512195,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
5,2010,artesro01,Metta World Peace,LOS ANGELES LAKERS,30,0.9390243902439024,33.83116883116883,10.974025974025974,3.038961038961039,9.61038961038961,2.415584415584416,3.844155844155844,0.2727272727272727,3.012987012987013,1.0,3.9740259740259742,1.6623376623376624,1.3636363636363635,1.2857142857142858,2.142857142857143,1.3766233766233766,1.5714285714285714,0.4135135135135135,0.6881720430107527,0.3547297297297297,13.3,0.6,0.5,1.1,9.9,0.251,-0.6,4.3,12.1,2.1,0.4,7.1,0.514,12.8,16.2,1.6,0.098,0.6951219512195121,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
6,2010,bargnan01,Andrea Bargnani,TORONTO RAPTORS,24,0.975609756097561,34.9875,17.2,1.1625,14.2875,2.925,4.0625,1.3875,4.85,1.0,6.7125,2.2625,1.5125,1.3125,2.6875,0.3125,1.5,0.4698162729658793,0.7735042735042736,0.3723076923076923,5.4,3.0,-0.8,-1.7,15.9,0.205,0.9,4.6,15.5,0.5,0.284,10.4,0.552,8.8,22.3,0.9,0.072,0.4878048780487805,9,0,0,0,0.2366198865733748,0.5677419097527213,0.5666976000951685,0.5314929485321045,0.0018285459338642,1,0
7,2010,barroea01,Earl Barron,NEW YORK KNICKS,28,0.0853658536585365,33.142857142857146,11.714285714285714,1.1428571428571428,9.714285714285714,4.142857142857143,0.0,0.5714285714285714,6.571428571428571,0.8571428571428571,4.285714285714286,3.142857142857143,0.0,4.428571428571429,3.4285714285714284,0.5714285714285714,1.5714285714285714,0.4411764705882353,0.7586206896551724,0.0,5.2,1.3,-4.5,-2.9,22.9,0.426,-1.5,14.9,14.7,0.9,0.0,18.9,0.508,12.0,17.9,-0.1,0.091,0.3536585365853658,11,0,0,0,0.2366198865733748,0.5935538048329561,0.5683303993681202,0.513433039188385,0.0018285459338642,1,0
8,2010,battish01,Shane Battier,HOUSTON ROCKETS,31,0.8170731707317073,32.35820895522388,7.970149253731344,2.4477611940298507,6.6716417910447765,1.582089552238806,4.164179104477612,1.1343283582089552,3.5522388059701493,0.9253731343283582,2.656716417910448,1.1492537313432836,1.507462686567164,1.1044776119402986,2.074626865671642,0.7910447761194029,0.9552238805970148,0.3982102908277405,0.7264150943396227,0.3620071684587813,10.9,2.6,1.5,1.4,13.1,0.237,0.1,3.8,11.1,1.2,0.624,8.2,0.541,11.5,11.4,1.9,0.095,0.5121951219512195,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
9,2010,bellra01,Raja Bell,CHARLOTTE BOBCATS,33,0.0609756097560975,31.4,12.0,2.0,11.0,0.6,4.8,0.4,3.2,1.0,4.8,0.6,1.8,1.0,2.6,0.8,1.0,0.4363636363636363,1.0,0.375,11.3,1.0,2.5,2.0,12.1,0.055,0.5,3.9,12.8,1.4,0.436,8.1,0.533,8.2,18.2,0.2,0.113,0.5365853658536586,7,0,0,0,0.2366198865733748,0.5702846050262451,0.5683994526448457,0.5285742878913879,0.0018285459338642,1,0
