Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name,key_words_score
5198,Heat Victory Over Wizards Not Enough To Make Playoffs,2016-17,http://global.nba.com/news/heat-victory-wizards-not-enough-make-playoffs/,NBA News,Default,Default,Default,0.2,0.2,John Wall,1.2
5199,"Pacers Down Hawks, Clinch No. 7 Seed In East",2016-17,http://global.nba.com/news/pacers-hawks-clinch-no-7-seed-east/,NBA News,Default,Default,Default,0.0864341085271318,0.0864341085271318,Paul George,1.0
5200,Celtics Clinch No. 1 Seed With Win Over Bucks,2016-17,http://global.nba.com/news/celtics-clinch-no-1-seed-win-bucks/,NBA News,Default,Default,Default,0.0106261022927689,0.0106261022927689,LeBron James,1.0
5201,"Bulls Take Care Of Business, Clinch Playoff Berth",2016-17,http://global.nba.com/news/bulls-take-care-business-clinch-playoff-berth/,NBA News,Default,Default,Default,-0.11875,-0.11875,Brook Lopez,0.8
5202,Guerschon Yabusele continues journey to Boston Celtics,2016-17,http://global.nba.com/news/guerschon-yabusele-continues-journey-celtics/,NBA News,Default,Default,Default,0.1668397979797979,0.1668397979797979,Evan Fournier,1.2
5203,Houston Rockets enter NBA playoffs with nothing to lose,2016-17,http://global.nba.com/news/houston-rockets-enter-nba-playoffs-nothing-lose/,NBA News,Default,Default,Default,0.1520230150367136,0.1520230150367136,James Harden,1.4
5204,Blogtable: What criteria matters most in making your MVP decision?,2016-17,http://global.nba.com/news/blogtable-criteria-matters-making-mvp-decision/,NBA News,Default,Default,Default,0.2047916666666666,0.2047916666666666,James Harden,1.2
5205,Blogtable: Historical significance of Russell Westbrook’s 2016-17 season?,2016-17,http://global.nba.com/news/blogtable-historical-significance-russell-westbrooks-2016-17-season/,NBA News,Default,Default,Default,0.1657621710300281,0.1657621710300281,Russell Westbrook,1.2
5206,"Kia Rookie Ladder: In end, Malcolm Brogdon’s impact was undeniable",2016-17,http://global.nba.com/news/kia-rookie-ladder-end-malcolm-brogdons-impact-undeniable/,NBA News,Default,Default,Default,0.1242541682351465,0.1242541682351465,Isaiah Thomas,1.0
5207,Just two playoff spots remaining entering final night of regular season,2016-17,http://global.nba.com/news/just-two-playoff-spots-remaining-entering-final-night-regular-season/,NBA News,Default,Default,Default,0.140688775510204,0.140688775510204,LeBron James,1.0
5208,LeBron James will sit out Cleveland Cavaliers’ season finale,2016-17,http://global.nba.com/news/lebron-james-will-sit-cleveland-cavaliers-season-finale/,NBA News,Default,Default,Default,0.0321428571428571,0.0321428571428571,LeBron James,0.8
5209,Shootaround (April 12) — Celtics have clear goal in mind heading into season finale,2016-17,http://global.nba.com/news/shootaround-april-12-celtics-clear-goal-mind-heading-season-finale/,NBA News,Default,Default,Default,0.1879914154259132,0.1879914154259132,Brook Lopez,1.2
5210,"Hield, Lawson set personal milestones while leading Kings past Suns",2016-17,http://global.nba.com/news/hield-lawson-set-personal-milestones-leading-kings-past-suns/,NBA News,Default,Default,Default,-0.0129261363636363,-0.0129261363636363,DeMarcus Cousins,1.2
5211,Metta scores 18 in possible farewell as Lakers top Pels,2016-17,http://global.nba.com/news/metta-scores-18-possible-farewell-lakers-top-pels/,NBA News,Default,Default,Default,0.0194746763408735,0.0194746763408735,DeMarcus Cousins,1.0
5212,Oladipo lifts Russ-less Thunder over Wolves,2016-17,http://global.nba.com/news/oladipo-lifts-russ-less-thunder-wolves/,NBA News,Default,Default,Default,0.0909020763187429,0.0909020763187429,Kevin Durant,0.8
5213,Resurgent Hawks rout Hornets for 4th-straight victory,2016-17,http://global.nba.com/news/resurgent-hawks-rout-hornets-103-76-4th-straight-victory/,NBA News,Default,Default,Default,0.0400096607723726,0.0400096607723726,Kemba Walker,1.2
5214,Minnesota Timberwolves unveil new logo for 2017-18 season,2016-17,http://global.nba.com/news/minnesota-timberwolves-unveil-new-logo-for-2017-18-season/,Official release,Default,Default,Default,0.1716092118665647,0.1716092118665647,James Harden,0.4
5215,Making the case for (and against) each of the top three Rookie of the Year contenders,2016-17,http://global.nba.com/news/making-case-top-three-rookie-year-contenders/,NBA News,Default,Default,Default,0.1218263888888889,0.1218263888888889,Karl-Anthony Towns,0.8
5216,Steph Curry leads NBA’s most popular jersey list for second consecutive season,2016-17,http://global.nba.com/news/steph-curry-leads-nbas-popular-jersey-list-second-consecutive-season/,NBA News,Default,Default,Default,0.2969696969696969,0.2969696969696969,Stephen Curry,1.0
5217,Epic MVP chase comes down to a not-so-simple decision,2016-17,http://global.nba.com/news/epic-mvp-chase-comes-not-simple-decision/,NBA News,Default,Default,Default,0.1334493992402155,0.1334493992402155,LeBron James,1.4
5218,Shootaround (April 11) — No. 1 seed in East within reach of Boston Celtics,2016-17,http://global.nba.com/news/shootaround-april-11-no-1-seed-east-within-reach-boston-celtics/,NBA News,Default,Default,Default,0.0918444893680743,0.0918444893680743,Paul George,1.2
5219,"Horry Scale: Noah Vonleh scoops loose ball, makes layup to lift Trail Blazers",2016-17,http://global.nba.com/news/horry-scale-noah-vonleh-scoops-loose-ball-makes-layup-lift-trail-blazers/,NBA News,Default,Default,Default,0.0042259059208211,0.0042259059208211,Damian Lillard,1.0
5220,Undermanned Jazz Snap Warriors’ 14-Game Win Streak,2016-17,http://global.nba.com/news/undermanned-jazz-snap-warriors-14-game-win-streak/,NBA News,Default,Default,Default,0.0875,0.0875,Stephen Curry,0.8
5221,Beal’s Big Night Spoils Pistons Final Game At Palace,2016-17,http://global.nba.com/news/beals-big-night-spoils-pistons-final-game-palace/,NBA News,Default,Default,Default,0.0054401993355481,0.0054401993355481,John Wall,0.8
5222,Heat Keep Playoff Hopes Alive With OT Win Against Cavs,2016-17,http://global.nba.com/news/heat-keep-playoff-hopes-alive-ot-win-cavs/,NBA News,Default,Default,Default,-0.0445284780578898,-0.0445284780578898,LeBron James,1.2
5223,Giannis Records Triple-Double In Win Over Hornets,2016-17,http://global.nba.com/news/giannis-records-triple-double-win-hornets/,NBA News,Default,Default,Default,-0.0210135135135135,-0.0210135135135135,Kemba Walker,0.8
5224,"Paul George, Russell Westbrook Named Players of the Week",2016-17,http://global.nba.com/news/paul-george-russell-westbrook-named-eastern-western-conference-players-week/,NBA News,Default,Default,Default,0.2195887445887445,0.2195887445887445,Russell Westbrook,1.0
5225,Power Rankings: Golden State Warriors again the favorites as playoffs near,2016-17,http://global.nba.com/news/power-rankings-golden-state-warriors-favorites-playoffs-near/,NBA News,Default,Default,Default,0.17022234725831,0.17022234725831,Stephen Curry,1.4
5226,Pistons say their farewell to The Palace,2016-17,http://global.nba.com/news/pistons-say-farewell-palace/,NBA News,Default,Default,Default,0.189455381479191,0.189455381479191,James Harden,0.4
