Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets
0,Warriors’ Stephen Curry To Begin Practicing Next Week,"November 24, 2018",http://global.nba.com/news/warriors-stephen-curry-to-begin-practicing-next-week/,NBA News,Default,Default,Default
1,Pelicans’ Anthony Davis (Hip Strain) Out vs. Wizards,"November 24, 2018",http://global.nba.com/news/pelicans-anthony-davis-hip-strain-out-vs-wizards/,NBA News,Default,Default,Default
2,Rockets To Rest Chris Paul Against Cavaliers,"November 24, 2018",http://global.nba.com/news/rockets-to-rest-chris-paul-against-cavaliers/,NBA News,Default,Default,Default
3,Warriors Looking To Stay On Track As They Host Kings,"November 24, 2018",http://global.nba.com/news/warriors-looking-to-stay-on-track-as-they-host-kings/,NBA News,Default,Default,Default
4,Bucks End Homestand Against Spurs,"November 24, 2018",http://global.nba.com/news/bucks-end-homestand-against-spurs/,NBA News,Default,Default,Default
5,Mavericks Aim To Continue Home-Winning Streak vs. Celtics,"November 24, 2018",http://global.nba.com/news/mavericks-aim-to-continue-home-winning-streak-vs-celtics/,NBA News,Default,Default,Default
6,Thunder-Nuggets: 12-Win Teams Meet In Oklahoma City,"November 24, 2018",http://global.nba.com/news/thunder-nuggets-12-win-teams-meet-in-oklahoma-city/,NBA News,Default,Default,Default
7,Rockets Look To Start New Winning Streak Against Cavaliers,"November 24, 2018",http://global.nba.com/news/rockets-look-to-start-new-winning-streak-against-cavaliers/,NBA News,Default,Default,Default
8,"LeBron Pushes Lakers Past Jazz For 7th Win In 8 Games, 90-83","November 24, 2018",http://global.nba.com/news/lebron-pushes-lakers-past-jazz-for-7th-win-in-8-games-90-83/,NBA News,Default,Default,Default
9,"Durant, Thompson Help Warriors Beat Blazers, End 4-Game Skid","November 24, 2018",http://global.nba.com/news/durant-thompson-help-warriors-beat-blazers-end-4-game-skid/,NBA News,Default,Default,Default
10,"Lyles Scores Season-High 22 As Nuggets Beat Magic, 112-87","November 24, 2018",http://global.nba.com/news/lyles-scores-season-high-22-as-nuggets-beat-magic-112-87/,NBA News,Default,Default,Default
11,"Crawford’s Last-Second Shot Lifts Suns Past Bucks, 116-114","November 23, 2018",http://global.nba.com/news/crawfords-last-second-shot-lifts-suns-past-bucks-116-114/,NBA News,Default,Default,Default
