,title,time,link
0,Kia MVP Ladder: Embiid passes Jokic for No. 1,"March 17, 2023",https://www.nba.com/news/kia-mvp-ladder-march-17-2023-edition
1,Kia MVP Ladder: Embiid closing in on Jokic,"March 10, 2023",https://www.nba.com/news/kia-mvp-ladder-march-10-2023-edition
2,Kia MVP Ladder: Tatum rises to No. 3; Jokic still tops,"March 3, 2023",https://www.nba.com/news/kia-mvp-ladder-march-3-2023-edition
3,Kia MVP Ladder: How Top 5 looks at All-Star break,"February 17, 2023",https://www.nba.com/news/kia-mvp-ladder-feb-17-2023-edition
4,Kia MVP Ladder: Taking stock after a wild trade deadline,"February 11, 2023",https://www.nba.com/news/kia-mvp-ladder-feb-10-2023-edition
5,Kia MVP Ladder: Embiid bests Jokic in key showdown,"February 3, 2023",https://www.nba.com/news/kia-mvp-ladder-feb-3-2023-edition
6,Kia MVP Ladder: Embiid leaps over Tatum for No. 2,"January 27, 2023",https://www.nba.com/news/kia-mvp-ladder-jan-27-2023-edition
7,Kia MVP Ladder: Tatum climbs to No. 2 spot,"January 23, 2023",https://www.nba.com/news/kia-mvp-ladder-jan-20-2023-edition
8,Kia MVP Ladder: Embiid moves into the Top 5,"January 13, 2023",https://www.nba.com/news/kia-mvp-ladder-jan-13-2023-edition
9,Kia MVP Ladder: Durant leads Nets' surge,"January 9, 2023",https://www.nba.com/news/kia-mvp-ladder-jan-6-2023-edition
10,Kia MVP Ladder: Fireworks across the league,"January 2, 2023",https://www.nba.com/news/kia-mvp-ladder-dec-30-2022-edition
11,"Kia MVP Ladder: Giannis, Jokic keep rising","December 26, 2022",https://www.nba.com/news/kia-mvp-ladder-dec-23-2022-edition
12,"Kia MVP Ladder: Durant, Zion climbing fast","December 16, 2022",https://www.nba.com/news/kia-mvp-ladder-dec-16-2022-edition
13,Kia MVP Ladder: Giannis climbs latest rankings,"December 11, 2022",https://www.nba.com/news/kia-mvp-ladder-dec-9-2022-edition
14,Kia MVP Ladder: Tatum rises to the top,"December 4, 2022",https://www.nba.com/news/kia-mvp-ladder-dec-2-2022-edition
15,"Kia MVP Ladder: Jokic, Curry move up","November 25, 2022",https://www.nba.com/news/kia-mvp-ladder-nov-25-2022-edition
16,Kia MVP Ladder: Plenty of changes in Top 5,"November 18, 2022",https://www.nba.com/news/kia-mvp-ladder-nov-18-2022-edition
17,Kia MVP Ladder: Jokic among players on rise,"November 11, 2022",https://www.nba.com/news/kia-mvp-ladder-nov-11-2022-edition
18,"Kia MVP Ladder: Giannis, Luka lead 1st ranking","November 7, 2022",https://www.nba.com/news/kia-mvp-ladder-nov-4-2022-edition
19,Kia MVP Ladder: Top 5 performances so far,"October 28, 2022",https://www.nba.com/news/kia-mvp-ladder-oct-28-2022-edition
20,Kia MVP Ladder: 25 names to watch in 2022-23,"October 21, 2022",https://www.nba.com/news/kia-mvp-ladder-25-names-watch-2022-23
21,Finals MVP Ladder: Curry takes home trophy,"June 17, 2022",https://www.nba.com/news/nba-finals-mvp-ladder-stephen-curry-finishes-at-top-as-warriors-take-title
22,NBA Finals MVP Ladder: Curry takes flight again,"June 7, 2022",https://www.nba.com/news/2022-nba-finals-mvp-ladder-game-2
23,NBA Finals MVP Ladder: Horford takes early lead,"June 4, 2022",https://www.nba.com/news/2022-nba-finals-mvp-ladder-game-1
24,Kia MVP Ladder: Embiid passes Jokic for No. 1,"March 17, 2023",https://www.nba.com/news/kia-mvp-ladder-march-17-2023-edition
25,Kia MVP Ladder: Embiid closing in on Jokic,"March 10, 2023",https://www.nba.com/news/kia-mvp-ladder-march-10-2023-edition
26,Kia MVP Ladder: Tatum rises to No. 3; Jokic still tops,"March 3, 2023",https://www.nba.com/news/kia-mvp-ladder-march-3-2023-edition
27,Kia MVP Ladder: How Top 5 looks at All-Star break,"February 17, 2023",https://www.nba.com/news/kia-mvp-ladder-feb-17-2023-edition
28,Kia MVP Ladder: Taking stock after a wild trade deadline,"February 11, 2023",https://www.nba.com/news/kia-mvp-ladder-feb-10-2023-edition
29,Kia MVP Ladder: Embiid bests Jokic in key showdown,"February 3, 2023",https://www.nba.com/news/kia-mvp-ladder-feb-3-2023-edition
30,Kia MVP Ladder: Embiid leaps over Tatum for No. 2,"January 27, 2023",https://www.nba.com/news/kia-mvp-ladder-jan-27-2023-edition
31,Kia MVP Ladder: Tatum climbs to No. 2 spot,"January 23, 2023",https://www.nba.com/news/kia-mvp-ladder-jan-20-2023-edition
32,Kia MVP Ladder: Embiid moves into the Top 5,"January 13, 2023",https://www.nba.com/news/kia-mvp-ladder-jan-13-2023-edition
33,Kia MVP Ladder: Durant leads Nets' surge,"January 9, 2023",https://www.nba.com/news/kia-mvp-ladder-jan-6-2023-edition
34,Kia MVP Ladder: Fireworks across the league,"January 2, 2023",https://www.nba.com/news/kia-mvp-ladder-dec-30-2022-edition
35,"Kia MVP Ladder: Giannis, Jokic keep rising","December 26, 2022",https://www.nba.com/news/kia-mvp-ladder-dec-23-2022-edition
36,"Kia MVP Ladder: Durant, Zion climbing fast","December 16, 2022",https://www.nba.com/news/kia-mvp-ladder-dec-16-2022-edition
37,Kia MVP Ladder: Giannis climbs latest rankings,"December 11, 2022",https://www.nba.com/news/kia-mvp-ladder-dec-9-2022-edition
38,Kia MVP Ladder: Tatum rises to the top,"December 4, 2022",https://www.nba.com/news/kia-mvp-ladder-dec-2-2022-edition
39,"Kia MVP Ladder: Jokic, Curry move up","November 25, 2022",https://www.nba.com/news/kia-mvp-ladder-nov-25-2022-edition
40,Kia MVP Ladder: Plenty of changes in Top 5,"November 18, 2022",https://www.nba.com/news/kia-mvp-ladder-nov-18-2022-edition
41,Kia MVP Ladder: Jokic among players on rise,"November 11, 2022",https://www.nba.com/news/kia-mvp-ladder-nov-11-2022-edition
42,"Kia MVP Ladder: Giannis, Luka lead 1st ranking","November 7, 2022",https://www.nba.com/news/kia-mvp-ladder-nov-4-2022-edition
43,Kia MVP Ladder: Top 5 performances so far,"October 28, 2022",https://www.nba.com/news/kia-mvp-ladder-oct-28-2022-edition
44,Kia MVP Ladder: 25 names to watch in 2022-23,"October 21, 2022",https://www.nba.com/news/kia-mvp-ladder-25-names-watch-2022-23
45,Finals MVP Ladder: Curry takes home trophy,"June 17, 2022",https://www.nba.com/news/nba-finals-mvp-ladder-stephen-curry-finishes-at-top-as-warriors-take-title
46,NBA Finals MVP Ladder: Curry takes flight again,"June 7, 2022",https://www.nba.com/news/2022-nba-finals-mvp-ladder-game-2
47,NBA Finals MVP Ladder: Horford takes early lead,"June 4, 2022",https://www.nba.com/news/2022-nba-finals-mvp-ladder-game-1
48,Finals MVP Ladder: 6 early favorites for hardware,"June 2, 2022",https://www.nba.com/news/finals-mvp-ladder-stephen-curry-leads-way-in-early-look-at-contenders
49,Kia MVP Ladder: Jokic finishes season at top,"April 15, 2022",https://www.nba.com/news/kia-mvp-ladder-april-15-edition
50,MVP Tracker: Embiid puts up massive numbers,"September 21, 2022",https://www.nba.com/news/kia-nba-mvp-tracker-2022
51,Kia MVP Ladder: Picture remains as hazy as ever,"April 8, 2022",https://www.nba.com/news/kia-mvp-ladder-april-8-edition
52,Kia MVP Ladder: A chase too close to call,"April 1, 2022",https://www.nba.com/news/kia-mvp-ladder-april-1-edition
53,Kia MVP Ladder: Tatum gets his due at last,"March 25, 2022",https://www.nba.com/news/https-www-nba-com-news-kia-mvp-ladder-march-25-edition
54,Kia MVP Ladder: Doncic returns to top 5,"March 18, 2022",https://www.nba.com/news/kia-mvp-ladder-march-18-edition
55,Kia MVP Ladder: Embiid misses chance to move up,"March 11, 2022",https://www.nba.com/news/kia-mvp-ladder-march-11-edition
56,Kia MVP Ladder: Morant makes his move into the mix,"March 4, 2022",https://www.nba.com/news/kia-mvp-ladder-march-4-edition
57,"Kia MVP Ladder: Jokic, Embiid still lead the way","February 25, 2022",https://www.nba.com/news/kia-mvp-ladder-feb-25-edition
58,Kia MVP Ladder: Jokic reclaims No. 1 spot,"February 11, 2022",https://www.nba.com/news/kia-mvp-ladder-feb-11-edition
59,Kia MVP Ladder: Embiid snags No. 1 spot,"February 4, 2022",https://www.nba.com/news/kia-mvp-ladder-feb-4-edition
60,Kia MVP Ladder: Embiid passes Jokic for No. 1,"March 17, 2023",https://www.nba.com/news/kia-mvp-ladder-march-17-2023-edition
61,Kia MVP Ladder: Embiid closing in on Jokic,"March 10, 2023",https://www.nba.com/news/kia-mvp-ladder-march-10-2023-edition
62,Kia MVP Ladder: Tatum rises to No. 3; Jokic still tops,"March 3, 2023",https://www.nba.com/news/kia-mvp-ladder-march-3-2023-edition
