,title,time,url
0,"Bucks’ George Hill Returns To Milwaukee, Encourages Voting","October 24, 2020",http://global.nba.com/news/bucks-george-hill-returns-to-milwaukee-encourages-voting/
1,"NBA, WNBA Ramp Up Efforts To Get Out The Vote Ahead Of Nov. 3 Election","October 24, 2020",http://global.nba.com/news/nba-wnba-ramp-up-efforts-to-get-out-the-vote-ahead-of-nov-3-election/
2,"Pat Riley Discusses Heat Future, Plans For Keeping Core Intact","October 23, 2020",http://global.nba.com/news/pat-riley-discusses-heat-future-plans-for-keeping-core-intact/
3,Report: Amar’e Stoudemire Joins Steve Nash’s Coaching Staff In Brooklyn,"October 23, 2020",http://global.nba.com/news/report-amare-stoudemire-joins-steve-nashs-coaching-staff-in-brooklyn/
4,ESPN To Host Virtual 2020 NBA Draft Presented By State Farm,"October 22, 2020",http://global.nba.com/news/espn-to-host-virtual-2020-nba-draft-presented-by-state-farm/
5,LeBron James Ranks No. 1 In NBA 2K21’s Player Ratings,"October 22, 2020",http://global.nba.com/news/lebron-james-ranks-no-1-in-nba-2k21s-player-ratings/
6,Home Of Denver Nuggets Renamed Ball Arena,"October 22, 2020",http://global.nba.com/news/home-of-denver-nuggets-renamed-ball-arena/
7,Consensus Mock Draft: LaMelo Ball Leapfrogs Anthony Edwards As Likely No. 1 Pick,"October 22, 2020",http://global.nba.com/news/consensus-mock-draft-lamelo-ball-leapfrogs-anthony-edwards-as-likely-no-1-pick/
8,New Clippers Coach Tyronn Lue: ‘It Feels Good To Be Wanted’,"October 21, 2020",http://global.nba.com/news/new-clippers-coach-tyronn-lue-it-feels-good-to-be-wanted/
9,Daniel Theis Medical Update,"October 21, 2020",http://global.nba.com/news/daniel-theis-medical-update/
10,Nate Bjorkgren Describes Plan To Take Pacers In New Direction,"October 21, 2020",http://global.nba.com/news/nate-bjorkgren-describes-plan-to-take-pacers-in-new-direction/
11,Pelicans Name Stan Van Gundy Head Coach,"October 21, 2020",http://global.nba.com/news/reports-stan-van-gundy-agrees-to-become-coach-of-pelicans/
12,Clippers Name Tyronn Lue Head Coach,"October 20, 2020",http://global.nba.com/news/clippers-name-tyronn-lue-head-coach/
13,Pacers Hire Nate Bjorkgren As Head Coach,"October 20, 2020",http://global.nba.com/news/reports-pacers-hire-nate-bjorkgren-as-next-coach/
14,Report: Anthony Davis Plans To Re-Sign With Lakers,"October 15, 2020",http://global.nba.com/news/report-anthony-davis-plans-to-re-sign-with-lakers/
15,Reports: Clippers To Hire Tyronn Lue As Next Head Coach,"October 15, 2020",http://global.nba.com/news/reports-clippers-to-hire-tyronn-lue-as-next-head-coach/
16,Daryl Morey Stepping Down As Rockets General Manager,"October 15, 2020",http://global.nba.com/news/reports-daryl-morey-stepping-down-as-rockets-general-manager/
17,Reports: Jeff Van Gundy Talking With Rockets About Coaching Job,"October 15, 2020",http://global.nba.com/news/reports-jeff-van-gundy-talking-with-rockets-about-coaching-job/
18,Raptors Unveil 3 New Uniforms For 2020-21 Season,"October 15, 2020",http://global.nba.com/news/raptors-unveil-3-new-uniforms-for-2020-21-season/
19,10 Most Intriguing Free Agents Ahead Of 2020-21 Season,"October 14, 2020",http://global.nba.com/news/10-most-intriguing-free-agents-ahead-of-2020-21-season/
20,Nets Unveil Classic Edition Uniforms For 2020-21 Season,"October 14, 2020",http://global.nba.com/news/nets-unveil-classic-edition-uniforms-for-2020-21-season/
21,Kings Add 3 Executives To McNair-Led Front Office,"October 14, 2020",http://global.nba.com/news/kings-add-3-executives-to-mcnair-led-front-office/
