,Unnamed: 0,title,time,url
0,0,"Bucks’ George Hill Returns To Milwaukee, Encourages Voting",off-season news,http://global.nba.com/news/bucks-george-hill-returns-to-milwaukee-encourages-voting/
1,1,"NBA, WNBA Ramp Up Efforts To Get Out The Vote Ahead Of Nov. 3 Election",off-season news,http://global.nba.com/news/nba-wnba-ramp-up-efforts-to-get-out-the-vote-ahead-of-nov-3-election/
2,2,"Pat Riley Discusses Heat Future, Plans For Keeping Core Intact",off-season news,http://global.nba.com/news/pat-riley-discusses-heat-future-plans-for-keeping-core-intact/
3,3,Report: Amar’e Stoudemire Joins Steve Nash’s Coaching Staff In Brooklyn,off-season news,http://global.nba.com/news/report-amare-stoudemire-joins-steve-nashs-coaching-staff-in-brooklyn/
4,4,ESPN To Host Virtual 2020 NBA Draft Presented By State Farm,off-season news,http://global.nba.com/news/espn-to-host-virtual-2020-nba-draft-presented-by-state-farm/
5,5,LeBron James Ranks No. 1 In NBA 2K21’s Player Ratings,off-season news,http://global.nba.com/news/lebron-james-ranks-no-1-in-nba-2k21s-player-ratings/
6,6,Home Of Denver Nuggets Renamed Ball Arena,off-season news,http://global.nba.com/news/home-of-denver-nuggets-renamed-ball-arena/
7,7,Consensus Mock Draft: LaMelo Ball Leapfrogs Anthony Edwards As Likely No. 1 Pick,off-season news,http://global.nba.com/news/consensus-mock-draft-lamelo-ball-leapfrogs-anthony-edwards-as-likely-no-1-pick/
8,8,New Clippers Coach Tyronn Lue: ‘It Feels Good To Be Wanted’,off-season news,http://global.nba.com/news/new-clippers-coach-tyronn-lue-it-feels-good-to-be-wanted/
9,9,Daniel Theis Medical Update,off-season news,http://global.nba.com/news/daniel-theis-medical-update/
10,10,Nate Bjorkgren Describes Plan To Take Pacers In New Direction,off-season news,http://global.nba.com/news/nate-bjorkgren-describes-plan-to-take-pacers-in-new-direction/
11,11,Pelicans Name Stan Van Gundy Head Coach,off-season news,http://global.nba.com/news/reports-stan-van-gundy-agrees-to-become-coach-of-pelicans/
12,12,Clippers Name Tyronn Lue Head Coach,off-season news,http://global.nba.com/news/clippers-name-tyronn-lue-head-coach/
13,13,Pacers Hire Nate Bjorkgren As Head Coach,off-season news,http://global.nba.com/news/reports-pacers-hire-nate-bjorkgren-as-next-coach/
14,14,Report: Anthony Davis Plans To Re-Sign With Lakers,off-season news,http://global.nba.com/news/report-anthony-davis-plans-to-re-sign-with-lakers/
15,15,Reports: Clippers To Hire Tyronn Lue As Next Head Coach,off-season news,http://global.nba.com/news/reports-clippers-to-hire-tyronn-lue-as-next-head-coach/
16,16,Daryl Morey Stepping Down As Rockets General Manager,off-season news,http://global.nba.com/news/reports-daryl-morey-stepping-down-as-rockets-general-manager/
17,17,Reports: Jeff Van Gundy Talking With Rockets About Coaching Job,off-season news,http://global.nba.com/news/reports-jeff-van-gundy-talking-with-rockets-about-coaching-job/
18,18,Raptors Unveil 3 New Uniforms For 2020-21 Season,off-season news,http://global.nba.com/news/raptors-unveil-3-new-uniforms-for-2020-21-season/
19,19,10 Most Intriguing Free Agents Ahead Of 2020-21 Season,off-season news,http://global.nba.com/news/10-most-intriguing-free-agents-ahead-of-2020-21-season/
20,20,Nets Unveil Classic Edition Uniforms For 2020-21 Season,off-season news,http://global.nba.com/news/nets-unveil-classic-edition-uniforms-for-2020-21-season/
21,21,Kings Add 3 Executives To McNair-Led Front Office,off-season news,http://global.nba.com/news/kings-add-3-executives-to-mcnair-led-front-office/
22,22,Brett Brown Quits As Coach Of Australian Men’s Team For Olympics,off-season news,http://global.nba.com/news/brett-brown-quits-as-coach-of-australian-mens-team-for-olympics/
23,23,"Michelle Obama, LeBron James Team To Help Boost Early Voting",off-season news,http://global.nba.com/news/michelle-obama-lebron-james-team-to-help-boost-early-voting/
24,24,Bubble Wrap: Answering The Pressing Questions After The 2020 NBA Playoffs,off-season news,http://global.nba.com/news/bubble-wrap-will-the-lakers-path-to-the-finals-in-2021-be-easier-or-harder/
25,25,5 Things We Learned From Game 6 Of 2020 Finals,off-season news,http://global.nba.com/news/5-things-we-learned-from-game-6-of-2020-finals/
26,26,"Full Circle From Quick Success In Boston, Rajon Rondo Wins Title With L.A.",off-season news,http://global.nba.com/news/full-circle-from-quick-success-in-boston-rajon-rondo-wins-title-with-l-a/
27,27,"Inside The Box Score: 2020 NBA Finals, Game 6",off-season news,http://global.nba.com/news/the-finals-stat-game-6-lakers-dominate-at-the-rim-2/
28,28,"LeBron Adds To An Already-Stacked Trophy Case With Another Title, Finals MVP",off-season news,http://global.nba.com/news/lebron-stocks-an-already-stacked-trophy-case-with-another-title-finals-mvp/
29,29,Jimmy Butler Vows To ‘Be Better’ After Memorable Playoff Run,off-season news,http://global.nba.com/news/jimmy-butler-vows-to-be-better-after-memorable-playoff-run/
30,30,"The Finals Stat, Game 6: Lakers Dominate At The Rim",off-season news,http://global.nba.com/news/the-finals-stat-game-6-lakers-dominate-at-the-rim/
31,31,"LeBron James Makes History, Wins Finals MVP With 3 Different Franchises",off-season news,http://global.nba.com/news/lebron-james-makes-history-wins-finals-mvp-with-3-different-franchises/
32,32,Sweet 17: Lakers Tie Celtics For Most NBA Championships,off-season news,http://global.nba.com/news/sweet-17-lakers-tie-celtics-for-most-nba-championships/
33,33,Heat Guard Goran Dragic (Foot) Listed As Active For Game 6 vs. Lakers,off-season news,http://global.nba.com/news/heat-guard-goran-dragic-foot-listed-as-active-for-game-6-vs-lakers/
34,34,LeBron James Becomes All-Time Leader In Playoff Games Played,off-season news,http://global.nba.com/news/lebron-james-nears-another-nba-playoff-record/
