,title,date,url,player
0,NBA All-Star Game: Team Giannis beats Team LeBron as Jayson Tatum scores record 55 points,2022-23,https://www.bbc.co.uk/sport/basketball/64701884,Jayson Tatum
7,NBA: Jayson Tatum scores career-high 60 points for Boston Celtics against San Antonio Spurs,2020-21,https://www.bbc.co.uk/sport/av/basketball/56955258,Jayson Tatum
8,"Russell Westbrook, Jayson Tatum and LeBron James star in the NBA best plays of the week",2019-20,https://www.bbc.co.uk/sport/av/basketball/51633817,Jayson Tatum
9,NBA: Jayson Tatum's 'spectacular drive & finish' in NBA's top 10 plays,2018-19,https://www.bbc.co.uk/sport/av/basketball/47279192,Jayson Tatum
11,NBA round-up: Boston Celtics extend winning run to six games,2022-23,https://www.bbc.co.uk/sport/basketball/63614776,Jayson Tatum
12,NBA: Golden State Warriors hold on to beat Utah Jazz,2021-22,https://www.bbc.co.uk/sport/basketball/60108574,Jayson Tatum
14,Boston Celtics end Denver Nuggets' eight-game winning run,2020-21,https://www.bbc.co.uk/sport/basketball/56715465,Jayson Tatum
16,"NBA 2021 season: Boston Celtics beat Milwaukee Bucks, Miami Heat lose to Orlando Magic",2020-21,https://www.bbc.co.uk/sport/basketball/55435333,Jayson Tatum
17,NBA: Kevin Durant scores 23 points on Phoenix Suns debut in win at Charlotte Hornets,2022-23,https://www.bbc.co.uk/sport/basketball/64820742,Jayson Tatum
19,NBA: Dallas Mavericks stars Luka Doncic and Kyrie Irving combine for second win together,2022-23,https://www.bbc.co.uk/sport/basketball/64833608,Jayson Tatum
21,NBA on the BBC: The big questions as NBA returns after All-Star break,2022-23,https://www.bbc.co.uk/sport/basketball/64722489,Jayson Tatum
22,NBA: Officials miss foul on LeBron James as LA Lakers lose to Boston Celtics,2022-23,https://www.bbc.co.uk/sport/basketball/64443930,Jayson Tatum
24,NBA: Stephen Curry inspires Golden State Warriors against Milwaukee Bucks,2022-23,https://www.bbc.co.uk/sport/basketball/64930824,Jayson Tatum
28,LeBron James' LA Lakers accuse NBA of cheating after 'gut-wrenching' referee error,2022-23,https://www.bbc.co.uk/sport/basketball/64450359,Jayson Tatum
29,NBA: Khris Middleton stars as Milwaukee Bucks beat Phoenix Suns,2021-22,https://www.bbc.co.uk/sport/basketball/60644402,Jayson Tatum
30,NBA: LeBron James stars as Los Angeles Lakers beat Boston Celtics,2021-22,https://www.bbc.co.uk/sport/basketball/59575321,Jayson Tatum
31,NBA: LeBron James scores season-high 48 points in Los Angeles Lakers win,2022-23,https://www.bbc.co.uk/sport/basketball/64301044,Jayson Tatum
32,NBA: Giannis Antetokounmpo stars as Milwaukee Bucks beat LA Clippers,2022-23,https://www.bbc.co.uk/sport/basketball/64608767,Jayson Tatum
33,"#10YearChallenge - Paul Pogba, Jesse Lingard and Conor McGregor involved",2018-19,https://www.bbc.co.uk/sport/46904765,Jayson Tatum
35,NBA: Damien Lillard hits 42 points as Portland Trail Blazers beat Memphis Grizzlies,2022-23,https://www.bbc.co.uk/sport/basketball/64494837,Jayson Tatum
36,NBA: LeBron James' comeback spoiled as Boston Celtics beat Los Angeles Lakers,2021-22,https://www.bbc.co.uk/sport/basketball/59358572,Jayson Tatum
37,NBA: Golden State Warriors win fifth consecutive game as Toronto Raptors beat Miami Heat,2021-22,https://www.bbc.co.uk/sport/basketball/60180375,Jayson Tatum
38,NBA: Chicago Bulls end Boston Celtics' nine-game winning streak,2022-23,https://www.bbc.co.uk/sport/basketball/63713182,Jayson Tatum
39,LA Lakers fall to heaviest defeat of season at Boston Celtics,2019-20,https://www.bbc.co.uk/sport/basketball/51188819,Jayson Tatum
40,Basketball star Marcus Smart backs UK team joining the NBA,2017-18,https://www.bbc.co.uk/news/newsbeat-42648091,Jayson Tatum
41,Basketball star Marcus Smart backs UK team joining the NBA,2017-18,https://www.bbc.co.uk/news/newsbeat-42640999,Jayson Tatum
43,Stephen Curry: Point guard scores 24 as Golden State Warriors beat New York Knicks,2022-23,https://www.bbc.co.uk/sport/basketball/63686873,Jayson Tatum
46,NBA: Boston Celtics beat Miami Heat in front of Prince and Princess of Wales,2022-23,https://www.bbc.co.uk/sport/basketball/63818629,Jayson Tatum
47,NBA: Giannis Antetokounmpo scores fifth triple-double of season in Milwaukee Bucks win,2020-21,https://www.bbc.co.uk/sport/basketball/56370610,Jayson Tatum
52,NBA: Giannis Antetokounmpo shines as Milwaukee Bucks beat Detroit Pistons,2020-21,https://www.bbc.co.uk/sport/basketball/55542453,Jayson Tatum
53,NBA: James Harden inspires Brooklyn Nets to win against Phoenix Suns,2020-21,https://www.bbc.co.uk/sport/basketball/56095264,Jayson Tatum
54,NBA: Giannis Antetokounmpo beats Milwaukee Bucks free-throw record mark,2022-23,https://www.bbc.co.uk/sport/basketball/63363379,Jayson Tatum
56,NBA: Phoenix Suns beat Minnesota Timberwolves as Deandre Ayton scores 35 points,2021-22,https://www.bbc.co.uk/sport/basketball/60858243,Jayson Tatum
57,NBA: Los Angeles Lakers end lengthy away losing steak with victory over Toronto Raptors,2021-22,https://www.bbc.co.uk/sport/basketball/60804955,Jayson Tatum
58,NBA: Giannis Antetokounmpo leads Bucks to win over Warriors,2022-23,https://www.bbc.co.uk/sport/basketball/63968476,Jayson Tatum
59,NBA: Eleven Orlando Magic & Detroit Pistons players suspended after scuffle,2022-23,https://www.bbc.co.uk/sport/basketball/64124245,Jayson Tatum
61,"LeBron James: LA Lakers great marks 1,300th NBA regular-season game with victory",2020-21,https://www.bbc.co.uk/sport/basketball/56236587,Jayson Tatum
62,NBA: Kyrie Irving scores 33 points as Brooklyn Nets beat Charlotte Hornets,2022-23,https://www.bbc.co.uk/sport/basketball/63899643,Jayson Tatum
64,NBA: Kyrie Irving and Kevin Durant score high in Brooklyn Nets defeat at Memphis Grizzlies,2022-23,https://www.bbc.co.uk/sport/basketball/63383489,Jayson Tatum
65,NBA: Defending champions Golden State Warriors beat Boston Celtics in Finals rematch,2022-23,https://www.bbc.co.uk/sport/basketball/63933734,Jayson Tatum
68,NBA: Stephen Curry scores career-high points total in Golden State Warriors win,2020-21,https://www.bbc.co.uk/sport/basketball/55527301,Jayson Tatum
69,NBA: Luka Doncic inspires Dallas Mavericks to Christmas Day win over Los Angeles Lakers,2022-23,https://www.bbc.co.uk/sport/basketball/64093917,Jayson Tatum
73,NBA: Andre Drummond helps Los Angeles Lakers beat Utah Jazz in overtime,2020-21,https://www.bbc.co.uk/sport/basketball/56791846,Jayson Tatum
74,NBA: Giannis Antetokounmpo scores season-high 50 points for Bucks,2021-22,https://www.bbc.co.uk/sport/basketball/60400079,Jayson Tatum
75,"NBA All-Star Weekend 2020: Slam dunks, emotional tributes and the best players",2019-20,https://www.bbc.co.uk/sport/basketball/51488762,Jayson Tatum
77,NBA: LeBron James leads the LA Lakers to victory against former side Cleveland,2021-22,https://www.bbc.co.uk/sport/basketball/60831806,Jayson Tatum
78,NBA: Jaylen Brown hits career high as Boston Celtics beat Orlando Magic in overtime,2021-22,https://www.bbc.co.uk/sport/basketball/59857048,Jayson Tatum
82,NBA: Milwaukee Bucks set three-pointer record as Orlando Magic continue fine start,2020-21,https://www.bbc.co.uk/sport/basketball/55483058,Jayson Tatum
83,NBA: Cleveland Cavaliers fight back to stun Boston Celtics,2021-22,https://www.bbc.co.uk/sport/basketball/59280176,Jayson Tatum
84,NBA: Los Angeles Lakers beaten as Luka Doncic shines for Dallas Mavericks,2021-22,https://www.bbc.co.uk/sport/basketball/60584024,Jayson Tatum
85,NBA: Chicago Bulls beat rivals Detroit Pistons 126-108 in Paris,2022-23,https://www.bbc.co.uk/sport/basketball/64341200,Jayson Tatum
86,"NBA: LA Lakers edge win over Chicago Bulls, Warriors beat Clippers",2020-21,https://www.bbc.co.uk/sport/basketball/55599975,Jayson Tatum
87,NBA and Covid-19 vaccinations: Anti-vaccine demonstrators support Kyrie Irving in New York,2021-22,https://www.bbc.co.uk/sport/basketball/59035453,Jayson Tatum
89,NBA: Stephen Curry one off Ray Allen record as Golden State Warriors beat Indiana Pacers,2021-22,https://www.bbc.co.uk/sport/basketball/59648686,Jayson Tatum
92,NBA: LeBron James shoots season-high 46 in LA Lakers win over Cleveland,2020-21,https://www.bbc.co.uk/sport/basketball/55807721,Jayson Tatum
93,Gregg Popovich: San Antonio Spurs sets new NBA winning record with victory against Utah,2021-22,https://www.bbc.co.uk/sport/basketball/60718703,Jayson Tatum
94,NBA: Stephen Curry scores 33 points as Warriors beat Lakers in season opener,2022-23,https://www.bbc.co.uk/sport/basketball/63310729,Jayson Tatum
96,Bruno Fernando: Time for Angolan basketball talent to shine in NBA,2022-23,https://www.bbc.co.uk/sport/africa/62999478,Jayson Tatum
98,NBA: Joel Embiid scores 38 points as Philadelphia 76ers beat Cleveland Cavaliers,2022-23,https://www.bbc.co.uk/sport/basketball/64974061,Joel Embiid
100,Joel Embiid: Philadelphia 76ers centre scores 59 points in win over Utah Jazz,2022-23,https://www.bbc.co.uk/sport/basketball/63620537,Joel Embiid
102,BBC Sport Africa TV: Joel Embiid and The French Connection,2022-23,https://www.bbc.co.uk/sport/av/africa/63344674,Joel Embiid
103,Joel Embiid: Cameroon pledge would be 'tremendous leap forward' for African side,2022-23,https://www.bbc.co.uk/sport/africa/63159188,Joel Embiid
110,NBA: Joel Embiid on form as Philadelphia 76ers end losing run with victory over Bulls,2021-22,https://www.bbc.co.uk/sport/basketball/60285219,Joel Embiid
111,NBA: Joel Embiid helps Philadelphia 76ers to win over Los Angeles Lakers,2021-22,https://www.bbc.co.uk/sport/basketball/60166399,Joel Embiid
112,NBA: Joel Embiid shines for Philadelphia 76ers as Nikola Jokic stars for Denver Nuggets,2021-22,https://www.bbc.co.uk/sport/basketball/60065607,Joel Embiid
113,NBA: Joel Embiid scores 34 points as Philadelphia 76ers beat Brooklyn Nets,2021-22,https://www.bbc.co.uk/sport/basketball/59836059,Joel Embiid
114,Joel Embiid: Cameroon basketball star 'struggling' with Covid,2021-22,https://www.bbc.co.uk/sport/africa/59221239,Joel Embiid
115,NBA: Joel Embiid makes Philadelphia 76ers history in win over LA Clippers,2020-21,https://www.bbc.co.uk/sport/basketball/56783443,Joel Embiid
