title,date,url,player,textblob_sentiment,relevance_score
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,Kevin Durant,0.2387205387205387,0.0450915563258458
LeBron James says Great Britain's Luol Deng is a 'great player',2012,https://www.bbc.co.uk/sport/av/basketball/17164521,LeBron James,0.8,0.5251107470605407
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,LeBron James,0.2387205387205387,0.03753949444406292
NBA stars set for USA-Great Britain clash in Manchester,2012,https://www.bbc.co.uk/sport/basketball/17158534,LeBron James,0.2791666666666667,0.054996898478299035
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,Kobe Bryant,0.2387205387205387,0.030002211174910295
NBA stars set for USA-Great Britain clash in Manchester,2012,https://www.bbc.co.uk/sport/basketball/17158534,Kobe Bryant,0.2791666666666667,0.054996898478299035
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,Russell Westbrook,0.2387205387205387,0.022479663180441613
Whitney,2012,https://www.bbc.co.uk/programmes/b01cvkgg,Kevin Love,0.0,0.0
Australia's Foreign Minister Kevin Rudd resigns,2012,https://www.bbc.co.uk/news/world-asia-pacific-17123813,Kevin Love,-0.125,0.346970637829756
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,Blake Griffin,0.2387205387205387,0.030002211174910295
Leeds 34-16 Hull KR,2012,https://www.bbc.co.uk/sport/rugby-league/16834123,Blake Griffin,0.1077901104063895,0.013508569189476814
NFL highlights - Brandon Marshall stars in Pro Bowl,2012,https://www.bbc.co.uk/sport/av/american-football/16785493,Brandon Jennings,0.0,0.295272774156973
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,Carmelo Anthony,0.2387205387205387,0.022479663180441613
London 2012: Olympic sport this week,2012,https://www.bbc.co.uk/sport/olympics/16678808,Carmelo Anthony,0.2167136034255599,0.0027573311863622386
Sportsday Live - Monday 16 January,2012,http://news.bbc.co.uk/sport1/hi/front_page/9678373.stm,Carmelo Anthony,0.1363636363636363,0.0
Paul Wellens praises St Helens youngsters,2012,https://www.bbc.co.uk/sport/av/rugby-league/17740177,Josh Smith,0.0,0.0
