title,date,url,player,textblob_sentiment
Glasgow 2014: The Jamaican university that changed athletics,2014,https://www.bbc.co.uk/sport/commonwealth-games/26986280,Carmelo Anthony,0.15889371451059764
LeBron James in talks on David Beckham Miami MLS team,2014,https://www.bbc.co.uk/sport/football/24995887,LeBron James,0.22205882352941175
LeBron James to buy into David Beckham's Miami MLS team,2014,https://www.bbc.co.uk/newsround/25004049,LeBron James,0.0
Can David Beckham bring Major League Soccer to Miami?,2014,https://www.bbc.co.uk/news/magazine-25770620,LeBron James,0.0625
"Arthur Smith Sings Leonard Cohen, Again",2014,https://www.bbc.co.uk/programmes/b03vdl1v,Kevin Love,0.0
Dead man fulfils comedy club wish,2014,http://www.bbc.co.uk/news/uk-northern-ireland-27041499,Kevin Love,-0.2
A Good Read: Michael Dobbs and Katie Puckrik,2014,https://www.bbc.co.uk/programmes/b03hvx6r,Kevin Love,0.7
Hillsborough stories: Martin Kevin Traynor,2014,https://www.bbc.co.uk/news/uk-england-26930226,Kevin Love,0.0
Hillsborough stories: Kevin Daniel Williams,2014,https://www.bbc.co.uk/news/uk-england-26952716,Kevin Love,0.0
Elizabeth Thomas: Oxted neighbours pay respects to stabbed girl,2014,https://www.bbc.co.uk/news/uk-england-surrey-25922004,Blake Griffin,0.0
Challenge Cup: Batley Bulldogs 10-48 Castleford Tigers,2014,http://www.bbc.co.uk/sport/rugby-league/26855154,Blake Griffin,0.14237654320987655
Glasgow 2014: The Jamaican university that changed athletics,2014,https://www.bbc.co.uk/sport/commonwealth-games/26986280,Blake Griffin,0.15889371451059764
Selfie Day: Who do you think you are?,2014,https://www.bbc.co.uk/news/uk-26921977,Blake Griffin,0.0
Ten-man Coleraine beat Ards to end nine-game losing run,2014,https://www.bbc.co.uk/sport/av/football/25604618,Stephen Curry,0.0
Coach Stephen Keshi proud of Nigeria's CHAN campaign,2014,https://www.bbc.co.uk/sport/football/26007595,Stephen Curry,0.3156565656565657
Irish Premiership: Dungannon Swifts 0-4 Warrenpoint Town,2014,https://www.bbc.co.uk/sport/football/26995097,Stephen Curry,0.024999999999999994
Meet Mrs Grey from Fifty Shades,2014,https://www.bbc.co.uk/news/entertainment-arts-26547178,James Harden,-0.05
Marcia Gay Harden added to Fifty Shades Of Grey cast,2014,https://www.bbc.co.uk/news/newsbeat-25211987,James Harden,0.18333333333333335
LV=Cup: Scarlets 13-7 Gloucester,2014,https://www.bbc.co.uk/sport/rugby-union/25885845,James Harden,0.06000000000000001
Men jailed for fight before Shrewsbury and Walsall fixture,2014,https://www.bbc.co.uk/news/uk-england-shropshire-24746826,James Harden,0.0
Boy who raped sister after watching pornography sentenced,2014,https://www.bbc.co.uk/news/uk-england-lancashire-26418508,James Harden,0.0
Fifty Shades of Grey actor Jamie Dornan becomes father,2014,https://www.bbc.co.uk/news/newsbeat-25428385,James Harden,-0.05
Jamaica faces serious questions in the fight against doping,2014,https://www.bbc.co.uk/sport/athletics/24906369,DeMar DeRozan,0.04725731339367703
Celtic midfielder Paul George moves to Hamilton on loan,2014,https://www.bbc.co.uk/sport/football/25736730,Paul George,-0.016666666666666673
