Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets
0,"Isaiah Thomas Named Eastern Conference Player Of The Month; Stephen Curry, Kevin Durant Share Western Conference Player Of The Month",2016-17,http://global.nba.com/news/isaiah-thomas-named-eastern-conference-player-of-the-month-stephen-curry-kevin-durant-share-western-conference-player-of-the-month/,NBA News,Default,Default,Default
1,Muhammad Anchoring Wolves Second Unit,2016-17,http://global.nba.com/news/muhammad-anchoring-wolves-second-unit/,NBA News,Default,Default,Default
2,Schedule Breakdown: Clippers in for challenging February,2016-17,http://global.nba.com/news/schedule-breakdown-clippers-in-for-challenging-february/,NBA News,Default,Default,Default
3,Magic Johnson to Advise Lakers Team Ownership,2016-17,http://global.nba.com/news/magic-johnson-to-advise-team-ownership/,Nick Kioski,140,None,None
4,Feb. 2 Shootaround — Knicks Still In Pursuit Of Cavs’ Kevin Love?,2016-17,http://global.nba.com/news/feb-2-shootaround-knicks-still-in-pursuit-of-cavs-kevin-love/,NBA News,Default,Default,Default
5,"As KCP, Johnson evolve, Pistons will move closer to capturing an identity",2016-17,http://global.nba.com/news/as-kcp-johnson-evolve-pistons-will-move-closer-to-capturing-an-identity/,Lauren Harper,1,None,None
6,Another homecoming for Howard,2016-17,http://global.nba.com/news/rockets-a-happier-crew-in-post-dwight-howard-state/,Fran Blinebury,201,None,None
7,Can Lakers topple Wizards in Washington?,2016-17,http://global.nba.com/news/10-things-to-know-lakers-at-wizards-2217/,Joey Ramirez,996,None,None
8,"Blazers Welcome Matthews, Mavs Back To Portland",2016-17,http://global.nba.com/news/game-preview-trail-blazers-v-mavericks-3/,Nick Brazzoni via RotoWire.com,None,None,None
9,Splash Brothers Tie Their Record From Downtown In Win Over Hornets,2016-17,http://global.nba.com/news/splash-brothers-tie-their-record-from-downtown-in-win-over-hornets/,NBA News,Default,Default,Default
10,"Butler, Bulls get past triple-double-free Westbrook",2016-17,http://global.nba.com/news/butler-bulls-get-past-triple-double-free-westbrook/,NBA News,Default,Default,Default
11,Gasol helps Grizzlies get by Nuggets,2016-17,http://global.nba.com/news/gasol-helps-grizzlies-get-by-nuggets/,NBA News,Default,Default,Default
12,Kyrie’s career-high assists help Cavs dominate Wolves,2016-17,http://global.nba.com/news/kyries-career-high-assists-help-cavs-dominate-wolves/,NBA News,Default,Default,Default
13,"Porzingis, Hernangomez lead Knicks in battle of NYC boroughs",2016-17,http://global.nba.com/news/porzingis-hernangomez-lead-knicks-in-battle-of-nyc-boroughs/,NBA News,Default,Default,Default
14,Thomas lights up Garden in win over Raptors,2016-17,http://global.nba.com/news/thomas-44-points-help-celtics-squeak-by-raptors/,NBA News,Default,Default,Default
15,Washington’s Brooks and Golden State’s Kerr named NBA Coaches of the Month,2016-17,http://global.nba.com/news/washingtons-brooks-and-golden-states-kerr-named-nba-coaches-of-the-month/,NBA News,Default,Default,Default
16,Rookie Ladder: Wade Baldwin IV ready to learn wherever he goes,2016-17,http://global.nba.com/news/rookie-ladder-wade-baldwin-iv-ready-to-learn-wherever-he-goes/,NBA News,Default,Default,Default
17,Durant setting shot-blocking tone for Warriors,2016-17,http://global.nba.com/news/durant-setting-shot-blocking-tone-for-warriors/,NBA News,Default,Default,Default
18,Batum always feels close bond to Portland,2016-17,http://global.nba.com/news/batum-always-feels-close-bond-to-portland/,NBA News,Default,Default,Default
19,Wade Calling For More Consistency From Teammates,2016-17,http://global.nba.com/news/wade-calling-for-more-consistency-from-teammates/,NBA News,Default,Default,Default
