Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment
0,"Isaiah Thomas Named Eastern Conference Player Of The Month; Stephen Curry, Kevin Durant Share Western Conference Player Of The Month",2016-17,http://global.nba.com/news/isaiah-thomas-named-eastern-conference-player-of-the-month-stephen-curry-kevin-durant-share-western-conference-player-of-the-month/,NBA News,Default,Default,Default,0.1485690235690235,0.14856902356902355
1,Muhammad Anchoring Wolves Second Unit,2016-17,http://global.nba.com/news/muhammad-anchoring-wolves-second-unit/,NBA News,Default,Default,Default,0.0559814814814814,0.055981481481481486
2,Schedule Breakdown: Clippers in for challenging February,2016-17,http://global.nba.com/news/schedule-breakdown-clippers-in-for-challenging-february/,NBA News,Default,Default,Default,0.1404563492063492,0.1404563492063492
3,Magic Johnson to Advise Lakers Team Ownership,2016-17,http://global.nba.com/news/magic-johnson-to-advise-team-ownership/,Nick Kioski,140,None,None,0.2397023809523809,0.23970238095238092
4,Feb. 2 Shootaround — Knicks Still In Pursuit Of Cavs’ Kevin Love?,2016-17,http://global.nba.com/news/feb-2-shootaround-knicks-still-in-pursuit-of-cavs-kevin-love/,NBA News,Default,Default,Default,0.1139697365571492,0.11396973655714926
5,"As KCP, Johnson evolve, Pistons will move closer to capturing an identity",2016-17,http://global.nba.com/news/as-kcp-johnson-evolve-pistons-will-move-closer-to-capturing-an-identity/,Lauren Harper,1,None,None,0.0778326979819517,0.0778326979819517
6,Another homecoming for Howard,2016-17,http://global.nba.com/news/rockets-a-happier-crew-in-post-dwight-howard-state/,Fran Blinebury,201,None,None,0.0742710170487948,0.07427101704879482
7,Can Lakers topple Wizards in Washington?,2016-17,http://global.nba.com/news/10-things-to-know-lakers-at-wizards-2217/,Joey Ramirez,996,None,None,0.0768711707236297,0.07687117072362971
8,"Blazers Welcome Matthews, Mavs Back To Portland",2016-17,http://global.nba.com/news/game-preview-trail-blazers-v-mavericks-3/,Nick Brazzoni via RotoWire.com,None,None,None,0.081198347107438,0.08119834710743803
9,Splash Brothers Tie Their Record From Downtown In Win Over Hornets,2016-17,http://global.nba.com/news/splash-brothers-tie-their-record-from-downtown-in-win-over-hornets/,NBA News,Default,Default,Default,0.0142552509219175,0.01425525092191758
10,"Butler, Bulls get past triple-double-free Westbrook",2016-17,http://global.nba.com/news/butler-bulls-get-past-triple-double-free-westbrook/,NBA News,Default,Default,Default,0.012735615079365,0.012735615079365076
11,Gasol helps Grizzlies get by Nuggets,2016-17,http://global.nba.com/news/gasol-helps-grizzlies-get-by-nuggets/,NBA News,Default,Default,Default,0.0678932178932179,0.0678932178932179
12,Kyrie’s career-high assists help Cavs dominate Wolves,2016-17,http://global.nba.com/news/kyries-career-high-assists-help-cavs-dominate-wolves/,NBA News,Default,Default,Default,0.0546685606060606,0.05466856060606061
13,"Porzingis, Hernangomez lead Knicks in battle of NYC boroughs",2016-17,http://global.nba.com/news/porzingis-hernangomez-lead-knicks-in-battle-of-nyc-boroughs/,NBA News,Default,Default,Default,0.1054008838383838,0.10540088383838384
14,Thomas lights up Garden in win over Raptors,2016-17,http://global.nba.com/news/thomas-44-points-help-celtics-squeak-by-raptors/,NBA News,Default,Default,Default,0.1166666666666666,0.11666666666666667
15,Washington’s Brooks and Golden State’s Kerr named NBA Coaches of the Month,2016-17,http://global.nba.com/news/washingtons-brooks-and-golden-states-kerr-named-nba-coaches-of-the-month/,NBA News,Default,Default,Default,0.1874401913875598,0.1874401913875598
16,Rookie Ladder: Wade Baldwin IV ready to learn wherever he goes,2016-17,http://global.nba.com/news/rookie-ladder-wade-baldwin-iv-ready-to-learn-wherever-he-goes/,NBA News,Default,Default,Default,0.0196443378346363,0.019644337834636344
17,Durant setting shot-blocking tone for Warriors,2016-17,http://global.nba.com/news/durant-setting-shot-blocking-tone-for-warriors/,NBA News,Default,Default,Default,0.241848025711662,0.24184802571166206
18,Batum always feels close bond to Portland,2016-17,http://global.nba.com/news/batum-always-feels-close-bond-to-portland/,NBA News,Default,Default,Default,0.1805993609565038,0.1805993609565038
19,Wade Calling For More Consistency From Teammates,2016-17,http://global.nba.com/news/wade-calling-for-more-consistency-from-teammates/,NBA News,Default,Default,Default,0.1064197530864197,0.10641975308641972
20,Spurs have some defensive work to do,2016-17,http://global.nba.com/news/spurs-have-some-defensive-work-to-do/,NBA News,Default,Default,Default,0.1160041099773242,0.11600410997732427
21,D’Angelo Russell posts first career double-double in win over Nuggets,2016-17,http://global.nba.com/news/lakers-offense-erupts-in-win-over-nuggets/,Joey Ramirez,996,None,None,0.0621091871091871,0.06210918710918711
22,Lillard helps Portland pull away from Hornets,2016-17,http://global.nba.com/news/portland-pulls-away-for-win-against-hornets/,Miguel Ramirez,None,None,None,0.0651111111111111,0.06511111111111112
23,"Leonard drops 36 as Spurs overcome Westbrook, Thunder",2016-17,http://global.nba.com/news/thunder-at-san-antonio-spurs-game-recap-jan-31-2017/,Nick Gallo,628,None,None,0.1349234294656829,0.13492342946568295
24,Kings fall to Rockets in final game of road trip,2016-17,http://global.nba.com/news/kings-slip-following-offensive-struggles/,Shahbaz Khan,258,None,None,0.0038461538461538,0.0038461538461538516
25,Lowry’s jumper lifts Raptors over Pelicans in OT,2016-17,http://global.nba.com/news/postgame-raptors-108-pelicans-106-ot/,Jim Eichenhofer,2565,21361,44563,0.1255246008471815,0.1255246008471815
26,Wizards Defeat Short-Handed Knicks For 15th Straight Home Win,2016-17,http://global.nba.com/news/was-117-nyk-101-melo-posts-26-but-shorthanded-knicks-suffer-loss-in-d-c/,Jonah Ballow,117,13930,24132,0.0722445038621509,0.07224450386215095
27,Report: Cavs working out point guards,2016-17,http://global.nba.com/news/report-cavs-working-out-point-guards/,NBA News,Default,Default,Default,0.0074074074074074,0.007407407407407414
28,Report: Magic seeking trade of Serge Ibaka,2016-17,http://global.nba.com/news/report-magic-seeking-trade-of-serge-ibaka/,NBA News,Default,Default,Default,0.1486221590909091,0.1486221590909091
29,Bradley Beal getting tired of chemistry questions with John Wall,2016-17,http://global.nba.com/news/bradley-beal-getting-tired-of-chemistry-questions-with-john-wall/,NBA News,Default,Default,Default,0.1434357696566999,0.1434357696566999
30,Kevin Love to miss more time with back spasms,2016-17,http://global.nba.com/news/kevin-love-to-miss-more-time-with-back-spasms/,NBA News,Default,Default,Default,0.1381717756717757,0.13817177567177577
31,Mavs give LeBron first losing month since 2006,2016-17,http://global.nba.com/news/mavs-give-lebron-first-losing-month-since-2006/,NBA News,Default,Default,Default,0.1316506410256409,0.13165064102564097
32,Heat Burn Nets for 8th-Straight Win,2016-17,http://global.nba.com/news/nets-96-heat-104-game-recap/,Joe Beguiristain,452,None,None,0.1042343073593073,0.10423430735930733
33,"Isaiah Thomas goes off in 4th again, tallies 41 pts",2016-17,http://global.nba.com/news/keys-to-the-game-celtics-113-pistons-109/,Marc DAmico,88,None,None,0.0301139817629179,0.03011398176291792
34,Conley’s Career Night Leads Grizz Past Suns,2016-17,http://global.nba.com/news/grizzles-defeat-suns-led-by-conleys-career-high-night/,Malcolm Moore,None,None,None,0.0476744186046511,0.047674418604651166
35,Big 2nd Half Helps Sixers Cap 10-Win January,2016-17,http://global.nba.com/news/at-the-buzzer-big-second-half-helps-sixers-cap-january-with-win/,Brian Seltzer,780,None,None,0.0598856209150326,0.05988562091503269
36,"Spurs Look To Snap Losing Streak, Stop Russell Westbrook",2016-17,http://global.nba.com/news/spurs-look-to-snap-losing-streak-stop-russell-westbrook/,NBA News,Default,Default,Default,0.0902232971110522,0.0902232971110522
37,Waiters and Cousins named Conference Players of the Week,2016-17,http://global.nba.com/news/waiters-and-cousins-named-conference-players-of-the-week/,NBA News,Default,Default,Default,0.2335681818181817,0.23356818181818179
38,Power Rankings: Dog days of winter taking toll on contenders,2016-17,http://global.nba.com/news/power-rankings-dog-days-of-winter-taking-toll-on-contenders-2/,NBA News,Default,Default,Default,0.1008600616555162,0.10086006165551624
39,Monday Morning Tip: Trading Melo to a contender not so simple,2016-17,http://global.nba.com/news/monday-morning-tip-trading-melo-to-a-contender-not-so-simple/,NBA News,Default,Default,Default,0.0987137652875358,0.09871376528753581
40,Wizards work together to conjure up in-season turnaround,2016-17,http://global.nba.com/news/wizards-work-together-to-conjure-up-in-season-turnaround/,David Aldridge,1044,75,6,0.1010843224875483,0.1010843224875483
41,Shootaround: Cavs getting back on track,2016-17,http://global.nba.com/news/jan-30-shootaround-cavs-getting-back-on-track-a-bit/,NBA.com Staff,Default,Default,Default,0.1342192789038583,0.13421927890385837
42,"Hawks outlast Melo, Knicks in 4OT classic",2016-17,http://global.nba.com/news/hawks-outlast-knicks-in-a-4ot-classic/,NBA News,Default,Default,Default,0.0344919786096256,0.03449197860962567
43,"Without Curry, Warriors still edge Blazers",2016-17,http://global.nba.com/news/without-curry-warriors-still-edge-blazers/,NBA News,Default,Default,Default,0.0237499999999999,0.023749999999999993
44,Surging Mavs stun Spurs in San Antonio,2016-17,http://global.nba.com/news/surging-mavs-stun-spurs-in-san-antonio/,NBA News,Default,Default,Default,0.0143181818181818,0.014318181818181822
45,DeRozan returns but Magic edge Raptors,2016-17,http://global.nba.com/news/derozan-returns-but-magic-edge-raptors/,NBA News,Default,Default,Default,0.1145700199271627,0.11457001992716276
46,"Paul George erupts as Pacers knock off Harden, Rockets",2016-17,http://global.nba.com/news/paul-george-erupts-as-pacers-knock-off-harden-rockets/,NBA News,Default,Default,Default,0.0472906403940886,0.04729064039408867
