Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name,relevance_score
3419,"Carter Scores 32, Grizzlies Beat Warriors 132-117 In Finale",2019,http://global.nba.com/news/carter-scores-32-grizzlies-beat-warriors-132-117-in-finale/,NBA News,Default,Default,Default,0.0420359848484848,0.0420359848484848,Kevin Durant,0.10327936959065782
3420,Thunder Clinch 6th Spot In West With Win Over Bucks,2019,http://global.nba.com/news/thunder-clinch-6th-spot-in-west-with-win-over-bucks/,NBA News,Default,Default,Default,-0.0514550264550264,-0.0514550264550264,Paul George,0.1118912454103654
3421,Spurs Beat Mavs To Clinch 7th Seed In Nowitzki’s Final Game,2019,http://global.nba.com/news/spurs-beat-mavs-to-clinch-7th-seed-in-nowitzkis-final-game/,NBA News,Default,Default,Default,0.0640178571428571,0.0640178571428571,LaMarcus Aldridge,0.0841431210938029
3422,Sumner’s 3 Last-Second Free Throws Lift Pacers Past Hawks,2019,http://global.nba.com/news/sumners-3-last-second-free-throws-lift-pacers-past-hawks/,NBA News,Default,Default,Default,0.0951495016611295,0.0951495016611295,Trae Young,0.1768438520690114
3423,Pistons Earn Final Playoff Spot In East With Win Over Knicks,2019,http://global.nba.com/news/pistons-earn-final-playoff-spot-in-east-with-win-over-knicks/,NBA News,Default,Default,Default,0.0293636363636363,0.0293636363636363,Blake Griffin,0.059848367207419505
3424,Magic Defeat Hornets 122-114 To Clinch No. 7 Seed In East,2019,http://global.nba.com/news/magic-defeat-hornets-122-114-to-clinch-no-7-seed-in-east/,NBA News,Default,Default,Default,0.063676948051948,0.063676948051948,Kemba Walker,0.2122282217057075
3425,76ers Defeat Bulls 125-109 In Regular Season Finale,2019,http://global.nba.com/news/76ers-defeat-bulls-125-109-in-regular-season-finale/,NBA News,Default,Default,Default,0.0216836734693877,0.0216836734693877,Joel Embiid,0.0886572848393551
3426,Nets Beat Heat To Capture 6th Seed In East,2019,http://global.nba.com/news/nets-beat-heat-to-capture-6th-seed-in-east/,NBA News,Default,Default,Default,0.0261180948680948,0.0261180948680948,LeBron James,0.06814631401724043
3427,Celtics’ Marcus Smart Out 4-6 Weeks,2019,http://global.nba.com/news/report-celtics-marcus-smart-sidelined-first-two-rounds-of-playoffs/,NBA News,Default,Default,Default,0.0828571428571428,0.0828571428571428,James Harden,0.0
3428,Playoff Scenarios Ahead Of Last Night Of Regular Season,2019,http://global.nba.com/news/playoff-scenarios-ahead-of-last-night-of-regular-season/,NBA News,Default,Default,Default,0.6188524590163933,0.6188524590163933,James Harden,0.0
