,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name,relevance_score,bert_relevance
0,NBA Suspends Season Until Further Notice,2020,http://global.nba.com/news/nba-to-suspend-season-following-tonights-games/,OFFICIAL RELEASE,3701,18240,34978,-0.0929292929292929,-0.0929292929292929,James Harden,0.0,0.5639772415161133
1,Giannis Antetokounmpo Feared His Knee Injury Was More Serious,2020,http://global.nba.com/news/giannis-antetokounmpo-feared-his-knee-injury-was-more-serious/,Steve Megargee | Associated Press,124794,1906,34099,0.1621510673234811,0.1621510673234811,Giannis Antetokounmpo,0.3252221731038531,0.6147996783256531
2,Warriors Statement On Chase Center Events,2020,http://global.nba.com/news/warriors-statement-on-chase-center-events/,Official Release,21996,84859,93866,0.0068181818181818,0.0068181818181818,James Harden,0.0,0.5639772415161133
3,4 NBA Things To Know For March 11,2020,http://global.nba.com/news/4-nba-things-to-know-for-march-11/,Jeff Case,122,91,42,0.0719912540034491,0.0719912540034491,Donovan Mitchell,0.0493658138455773,0.5453328490257263
4,"Lakers Miss Late Opportunity, Nets Take 104-102 Victory",2020,http://global.nba.com/news/lakers-miss-late-opportunity-nets-take-104-102-victory/,NBA News,21996,84859,93866,0.1320155038759689,0.1320155038759689,LeBron James,0.2279985520031069,0.5739445090293884
5,"Clippers Bounce Back From Loss To Lakers, Top Warriors",2020,http://global.nba.com/news/clippers-bounce-back-from-loss-to-lakers-top-warriors/,NBA News,21996,84859,93866,0.0781851851851851,0.0781851851851851,Kawhi Leonard,0.0727193149802628,0.5799157023429871
6,Blazers Snap 2-Game Skid With 121-105 Win Over The Suns,2020,http://global.nba.com/news/blazers-snap-2-game-skid-with-121-105-win-over-the-suns/,NBA News,21996,84859,93866,0.0712323232323232,0.0712323232323232,Damian Lillard,0.0711537008538686,0.553528904914856
7,Aldridge’s Return Helps Spurs Rally Past Mavericks,2020,http://global.nba.com/news/aldridges-return-sparks-spurs-to-topple-mavericks/,NBA News,21996,84859,93866,-0.0208480305702527,-0.0208480305702527,DeMar DeRozan,0.0610193037053515,0.569061279296875
8,"Ross Scores 24, Magic Rally to Stifle Grizzlies",2020,http://global.nba.com/news/terrence-ross-shines-in-4q-magic-rally-to-stifle-grizzlies/,NBA News,21996,84859,93866,0.0469022312679029,0.0469022312679029,Ja Morant,0.0608587834165086,0.5690829157829285
9,Harden With 37; Rockets End Skid In Win Over ‘Wolves,2020,http://global.nba.com/news/harden-westbrook-shine-to-end-rockets-losing-skid/,NBA News,21996,84859,93866,0.0616815476190476,0.0616815476190476,James Harden,0.2021049847891501,0.5639772415161133
10,Coby White Tops Bulls Scorers In Win Over Cavs,2020,http://global.nba.com/news/coby-white-tops-bulls-scorers-in-win-over-cavs/,NBA News,21996,84859,93866,0.0895187704711514,0.0895187704711514,Zach LaVine,0.0779243200065391,0.563624382019043
11,"Bradley Beal scores 40, leads Wizards past Knicks 122-115",2020,http://global.nba.com/news/beals-40-pt-scoring-outburst-leads-wizards-past-knicks/,NBA News,21996,84859,93866,0.0593300189393939,0.0593300189393939,Bradley Beal,0.2019262719320239,0.5570634007453918
12,Celtics Clinch Playoff Spot With 114-111 Win Over Pacers,2020,http://global.nba.com/news/celtics-clinch-playoff-spot-hold-on-late-against-pacers/,NBA News,21996,84859,93866,0.1259611245628195,0.1259611245628195,Jayson Tatum,0.0559975584821786,0.560088574886322
13,"Cavs, J.B. Bickerstaff Agree To Multi-Year Contract",2020,http://global.nba.com/news/report-cavs-j-b-bickerstaff-agree-to-multi-year-contract/,Official Release,21996,84859,93866,0.1439171639171639,0.1439171639171639,James Harden,0.0,0.5639772415161133
14,"Joel Embiid, Josh Richardson Return To Sixers’ Practice",2020,http://global.nba.com/news/joel-embiid-josh-richardson-return-to-sixers-practice/,NBA Twitter and Media Reports,21996,84859,93866,-0.1038461538461538,-0.1038461538461538,Ben Simmons,0.2129573887350249,0.552685022354126
15,MVP Ladder Mailbag: This Award Chase Is Far From Over,2020,http://global.nba.com/news/mvp-ladder-mailbag-this-award-chase-is-far-from-over/,Sekou Smith,13,91,42,0.1769730880230882,0.1769730880230882,Anthony Davis,0.2351424851983891,0.5484086871147156
16,5 NBA Things To Know For March 10,2020,http://global.nba.com/news/5-nba-things-to-know-for-march-10/,Jeff Case,122,91,42,0.0608431251288394,0.0608431251288394,James Harden,0.0694449929157487,0.5639772415161133
17,Siakam & Ibaka Each Record 27 PTS & 10+ REB In Win,2020,http://global.nba.com/news/siakam-ibaka-each-record-27-pts-10-reb-in-win/,NBA News,21996,84859,93866,0.0198611111111111,0.0198611111111111,Donovan Mitchell,0.0678164273409192,0.5453328490257263
18,All Denver Starters Post Double Figure PTS vs. Giannis-Less Bucks,2020,http://global.nba.com/news/all-denver-starters-post-double-figure-pts-vs-giannis-less-bucks/,NBA News,21996,84859,93866,0.0189874939874939,0.0189874939874939,Giannis Antetokounmpo,0.1106696989227218,0.6147996783256531
19,Hawks Outlast Hornets In Intense Double OT Thriller,2020,http://global.nba.com/news/hawks-outlast-hornets-in-intense-double-ot-thriller/,NBA News,21996,84859,93866,0.123025467440361,0.123025467440361,Trae Young,0.1440196293440973,0.549218475818634
20,Raptors Guard Norman Powell Leaves Game With Sprained Left Ankle,2020,http://global.nba.com/news/raptors-guard-norman-powell-leaves-game-with-sprained-left-ankle/,NBA News,21996,84859,93866,0.1231060606060606,0.1231060606060606,James Harden,0.0,0.5639772415161133
21,"Professional Sports Leagues Temporarily Limit Locker Room Access To Players, Essential Staff",2020,http://global.nba.com/news/professional-sports-leagues-temporarily-limit-locker-room-access-to-players-essential-staff/,Official Release,21996,84859,93866,0.0972402597402597,0.0972402597402597,James Harden,0.0,0.5639772415161133
22,"Grizzlies Expecting Jaren Jackson Jr., Justise Winslow Back By Next Week",2020,http://global.nba.com/news/grizzlies-expecting-jaren-jackson-jr-justise-winslow-back-by-next-week/,NBA Media Reports,21996,84859,93866,0.0618762816131237,0.0618762816131237,Justise Winslow,0.2573805088631801,0.5672290325164795
23,"LeBron James, Norman Powell Named Week 20 Players Of The Week",2020,http://global.nba.com/news/lebron-james-norman-powell-named-week-20-players-of-the-week/,Official Release,21996,84859,93866,-0.05,-0.05,Luka Dončić,0.2287500215685548,0.6078215837478638
24,"Power Rankings, Week 20: Lakers End Bucks’ 14-Week Run At Top",2020,http://global.nba.com/news/power-rankings-week-20-lakers-end-bucks-14-week-run-at-top/,John Schuhmann,890,84859,48341,0.0900474167576972,0.0900474167576972,Giannis Antetokounmpo,0.0082018866697222,0.6147996783256531
25,5 Can’t-Miss Matchups: James Harden vs. LeBron James,2020,http://global.nba.com/news/5-cant-miss-matchups-james-harden-vs-lebron-james/,Michael C. Wright,13,91,42,0.0039973716759431,0.0039973716759431,James Harden,0.1535504562581626,0.5639772415161133
26,4 NBA Things To Know For 9 March,2020,http://global.nba.com/news/4-nba-things-to-know-for-9-march/,Jeff Case,122,91,42,0.1711043360433604,0.1711043360433604,Giannis Antetokounmpo,0.053105351840172,0.6147996783256531
27,Crowning LeBron: Will Lakers Take The Throne?,2020,http://global.nba.com/news/crowning-lebron-will-lakers-take-the-throne/,Shaun Powell | NBA.com,651,91,42,0.0925947444368496,0.0925947444368496,Giannis Antetokounmpo,0.1758489206286749,0.6147996783256531
28,Raptors Top Kings Behind Starters’ 111 Total PTS,2020,http://global.nba.com/news/raptors-top-kings-behind-starters-111-total-pts/,NBA News,21996,84859,93866,0.0231970871505755,0.0231970871505755,CJ McCollum,0.0520304281893937,0.5579822659492493
29,"Cavaliers Hang On To Outlast Spurs In Overtime, 132-129",2020,http://global.nba.com/news/cavaliers-hang-on-to-outlast-spurs-in-overtime-132-129/,Tom Withers | AP Sports Writer,13,91,42,0.1117936507936507,0.1117936507936507,DeMar DeRozan,0.0921200489467915,0.569061279296875
30,"Knicks Pull Away In 4th Quarter, Beat Pistons 96-84",2020,http://global.nba.com/news/knicks-pull-away-in-4th-quarter-beat-pistons-96-84/,Brian Mahoney | AP Basketball Writer,52,91,42,0.1296750301852343,0.1296750301852343,Julius Randle,0.0572460626102708,0.5630828738212585
31,"Robinson, Adebayo Lift Heat Over Wizards After Butler Leaves",2020,http://global.nba.com/news/robinson-adebayo-lifts-heat-over-wizards-after-butler-leaves/,Howard Fendrich | AP Sports Writer,5,91,42,0.0878822003822003,0.0878822003822003,Bradley Beal,0.0729486161421187,0.5570634007453918
32,Magic Use Six Double-Digit Scorers To Top Rockets,2020,http://global.nba.com/news/magic-use-six-double-digit-scorers-to-top-rockets/,Kristie Rieken | AP Sports Writer,13,91,42,0.0222585034013605,0.0222585034013605,James Harden,0.0783200295655457,0.5639772415161133
33,"Sabonis, Oladipo Lead Pacers Past Mavericks, 112-109",2020,http://global.nba.com/news/sabonis-oladipo-lead-pacers-past-mavericks-112-109/,Dave Jackson | Associated Press,13,91,42,0.0058824923004027,0.0058824923004027,T.J. Warren,0.0402245452402543,0.6024386286735535
