title,date,url,player
NBA: James Harden 'feels like the MVP' after Brooklyn Nets beat Detroit Pistons,27 March 2021,https://www.bbc.co.uk/sport/basketball/56547740,James Harden
NBA play-offs: James Harden stars as Philadelphia 76ers level series with Boston Celtics,8 May,https://www.bbc.co.uk/sport/basketball/65521987,James Harden
NBA: James Harden scores 'electric' 45 as Philadelphia 76ers take lead over Boston Celtics,2 May,https://www.bbc.co.uk/sport/av/basketball/65457249,James Harden
NBA: James Harden ejected as Philadelphia 76ers beat Brooklyn Nets in play-offs,21 April,https://www.bbc.co.uk/sport/basketball/65345698,James Harden
NBA: James Harden helps Philadelphia 76ers tie series against Miami Heat,9 May 2022,https://www.bbc.co.uk/sport/basketball/61376162,James Harden
NBA: Brooklyn Nets beat Philadelphia 76ers in first meeting since James Harden's move,11 March 2022,https://www.bbc.co.uk/sport/basketball/60704111,James Harden
NBA: James Harden scores 27 points on Philadelphia 76ers debut against Minnesota Timberwolves,26 February 2022,https://www.bbc.co.uk/sport/basketball/60536647,James Harden
NBA: Brooklyn star James Harden joins Philadelphia 76ers as the Nets lose 10th straight game,11 February 2022,https://www.bbc.co.uk/sport/basketball/60337552,James Harden
NBA: James Harden shines as Brooklyn Nets beat Eastern Conference leaders Chicago Bulls,13 January 2022,https://www.bbc.co.uk/sport/basketball/59961498,James Harden
NBA: James Harden gets 63rd triple-double on return for Brooklyn Nets against LA Lakers,26 December 2021,https://www.bbc.co.uk/sport/av/basketball/59795423,James Harden
NBA: James Harden and Kevin Durant shine in latest Brooklyn Nets win,11 November 2021,https://www.bbc.co.uk/sport/basketball/59244927,James Harden
NBA: James Harden inspires Brooklyn Nets to win against Phoenix Suns,17 February 2021,https://www.bbc.co.uk/sport/basketball/56095264,James Harden
NBA: Luka Doncic helps Dallas Mavericks win as James Harden shines for Brooklyn Nets,24 February 2021,https://www.bbc.co.uk/sport/basketball/56179595,James Harden
NBA: James Harden shines as Brooklyn Nets win at Houston Rockets,4 March 2021,https://www.bbc.co.uk/sport/basketball/56276876,James Harden
NBA: James Harden shines as Brooklyn Nets beat San Antonio Spurs,2 March 2021,https://www.bbc.co.uk/sport/basketball/56250373,James Harden
NBA: James Harden shines on Philadelphia 76ers debut,26 February 2022,https://www.bbc.co.uk/sport/av/basketball/60537804,James Harden
James Harden: Houston Rockets star joins Brooklyn Nets in three-team deal,14 January 2021,https://www.bbc.co.uk/sport/basketball/55656343,James Harden
NBA: James Harden reported to be joining Brooklyn Nets as they beat New York Knicks,14 January 2021,https://www.bbc.co.uk/sport/basketball/55658704,James Harden
