player,date,url,textblob_Sentiment,key_words_score,sentiment_bert_average_score,sentiment_roberta_average_score,sentiment_xlnet_average_score,sentiment_distilbert_average_score,bert_relevance,nltk_Sentiment,number_of_articles
Ben Simmons,2020-21,"['https://www.bbc.co.uk/sport/basketball/56061283', 'https://www.bbc.co.uk/sport/basketball/56318297']",0.19953703703703704,1.2999999999999998,0.5776727712816663,0.5359512757923868,0.5921954057282872,0.5293056219816208,0.5101587176322937,0.9856,2
Bojan Bogdanović,2020-21,['https://www.bbc.co.uk/sport/basketball/56060272'],0.1784090909090909,0.8,0.6302483280499777,0.532413383324941,0.6225055456161499,0.5087911089261373,0.537051796913147,0.9847,1
CJ McCollum,2020-21,['https://www.bbc.co.uk/sport/basketball/55458404'],0.0293181818181818,1.0,0.6207816898822784,0.5257040858268738,0.640546590089798,0.519597589969635,0.5090634822845459,-0.3818,1
Damian Lillard,2020-21,['https://www.bbc.co.uk/sport/basketball/55473013'],0.0569669913419913,1.0,0.595694899559021,0.519127681851387,0.606785923242569,0.5099097192287445,0.5046704411506653,0.9913,1
Donovan Mitchell,2020-21,['https://www.bbc.co.uk/sport/basketball/55643741'],-0.0141125541125541,1.0,0.5968281775712967,0.5493615418672562,0.5455983579158783,0.5221929550170898,0.5053033232688904,0.9628,1
Harrison Barnes,2020-21,['https://www.bbc.co.uk/sport/football/55382725'],0.1805823153254661,0.8,0.6000028891222817,0.5330798498221806,0.5682956150599888,0.5202964161123548,0.5015028119087219,0.9982,1
Jimmy Butler,2020-21,['https://www.bbc.co.uk/sport/basketball/56221356'],0.1608655705996131,0.8,0.569160521030426,0.5295515060424805,0.585111528635025,0.5544422268867493,0.5292946100234985,0.7086,1
Joe Harris,2020-21,['https://www.bbc.co.uk/programmes/p098hdcr'],0.1076135105204872,0.0,,,,,0.5156224966049194,,1
Jrue Holiday,2020-21,['https://www.bbc.co.uk/sport/basketball/55899796'],0.1104591836734694,1.0,0.61317045489947,0.544917623202006,0.5912609795729319,0.5254185895125071,0.5462753772735596,0.9844,1
Julius Randle,2020-21,"['https://www.bbc.co.uk/sport/basketball/55701549', 'https://www.bbc.co.uk/sport/basketball/55542453']",0.1449197847088569,1.0,0.6036623775959015,0.5313248693943025,0.5700891077518463,0.5345577359199525,0.5224411487579346,0.19995000000000002,2
Karl-Anthony Towns,2020-21,['https://www.bbc.co.uk/sport/basketball/55687220'],0.1200963415669297,0.6000000000000001,0.6034122586250306,0.5413677215576171,0.6043869614601135,0.5388792514801025,0.5542986989021301,0.9627,1
Kawhi Leonard,2020-21,"['https://www.bbc.co.uk/sport/basketball/55615129', 'https://www.bbc.co.uk/sport/basketball/55687220']",0.21571866391184566,1.0,0.5760969837506612,0.5393816192944845,0.5653079847494762,0.5330031613508861,0.5400665402412415,0.9634,2
Kyrie Irving,2020-21,['https://www.bbc.co.uk/sport/basketball/56207442'],0.1344022415940224,1.0,0.5672994256019592,0.5376012325286865,0.5647499561309814,0.5295687913894653,0.5365961790084839,0.9344,1
LeBron James,2020-21,['https://www.bbc.co.uk/news/world-us-canada-56300363'],-0.0133608815426997,0.0,,,,,0.5342113971710205,,1
Luka Dončić,2020-21,"['https://www.bbc.co.uk/sport/basketball/56630066', 'https://www.bbc.co.uk/sport/basketball/56022204']",0.09757519626837804,0.6000000000000001,0.5835103342930477,0.5195348386963208,0.5779163837432861,0.5219099496801693,0.5590096712112427,0.9805999999999999,2
Marcus Morris,2020-21,['https://www.bbc.co.uk/sport/rugby-union/56111636'],0.1608655705996131,1.0,0.6083715707063675,0.5223301872611046,0.5641133189201355,0.5238082408905029,0.5072497129440308,0.9695,1
Nikola Jokić,2020-21,"['https://www.bbc.co.uk/sport/basketball/55608161', 'https://www.bbc.co.uk/sport/basketball/55673146', 'https://www.bbc.co.uk/sport/basketball/55556627']",0.1537259037259037,0.6666666666666666,0.5651323513852226,0.5367811736133364,0.5940374566449059,0.5351533508963056,0.5642182230949402,0.4155333333333333,3
