title,date,url,player,textblob_sentiment,sentiment_bert_average_score,sentiment_xlnet_average_score,bert_relevance
Glasgow 2014: The Jamaican university that changed athletics,2014,https://www.bbc.co.uk/sport/commonwealth-games/26986280,Carmelo Anthony,0.1588937145105976,0.5841354131698608,0.5617004752159118,0.573939859867096
LeBron James in talks on David Beckham Miami MLS team,2014,https://www.bbc.co.uk/sport/football/24995887,LeBron James,0.2220588235294117,0.6312662561734518,0.578157881895701,0.587324321269989
LeBron James to buy into David Beckham's Miami MLS team,2014,https://www.bbc.co.uk/newsround/25004049,LeBron James,0.0,0.7203869223594666,0.5113610625267029,0.587324321269989
Can David Beckham bring Major League Soccer to Miami?,2014,https://www.bbc.co.uk/news/magazine-25770620,LeBron James,0.0625,0.5454798340797424,0.6084064841270447,0.587324321269989
"Arthur Smith Sings Leonard Cohen, Again",2014,https://www.bbc.co.uk/programmes/b03vdl1v,Kevin Love,0.0,0.6648712754249573,0.532965898513794,0.6078924536705017
Dead man fulfils comedy club wish,2014,http://www.bbc.co.uk/news/uk-northern-ireland-27041499,Kevin Love,-0.2,0.5462583303451538,0.6264769434928894,0.6078924536705017
A Good Read: Michael Dobbs and Katie Puckrik,2014,https://www.bbc.co.uk/programmes/b03hvx6r,Kevin Love,0.7,0.6437149047851562,0.6212015151977539,0.6078924536705017
Hillsborough stories: Martin Kevin Traynor,2014,https://www.bbc.co.uk/news/uk-england-26930226,Kevin Love,0.0,0.5187954902648926,0.7433257102966309,0.6078924536705017
Hillsborough stories: Kevin Daniel Williams,2014,https://www.bbc.co.uk/news/uk-england-26952716,Kevin Love,0.0,0.6428841948509216,0.5986144542694092,0.6078924536705017
Elizabeth Thomas: Oxted neighbours pay respects to stabbed girl,2014,https://www.bbc.co.uk/news/uk-england-surrey-25922004,Blake Griffin,0.0,0.5752755403518677,0.5329391360282898,0.5860344767570496
Challenge Cup: Batley Bulldogs 10-48 Castleford Tigers,2014,http://www.bbc.co.uk/sport/rugby-league/26855154,Blake Griffin,0.1423765432098765,0.5665524005889893,0.571510374546051,0.5860344767570496
Glasgow 2014: The Jamaican university that changed athletics,2014,https://www.bbc.co.uk/sport/commonwealth-games/26986280,Blake Griffin,0.1588937145105976,0.5754898905754089,0.5747221350669861,0.5860344767570496
Selfie Day: Who do you think you are?,2014,https://www.bbc.co.uk/news/uk-26921977,Blake Griffin,0.0,0.5005447864532471,0.6436142325401306,0.5860344767570496
Ten-man Coleraine beat Ards to end nine-game losing run,2014,https://www.bbc.co.uk/sport/av/football/25604618,Stephen Curry,0.0,0.5342749953269958,0.5330134034156799,0.5804030299186707
Coach Stephen Keshi proud of Nigeria's CHAN campaign,2014,https://www.bbc.co.uk/sport/football/26007595,Stephen Curry,0.3156565656565657,0.5968477129936218,0.5841788649559021,0.5804030299186707
Irish Premiership: Dungannon Swifts 0-4 Warrenpoint Town,2014,https://www.bbc.co.uk/sport/football/26995097,Stephen Curry,0.0249999999999999,0.6642018556594849,0.5983023643493652,0.5804030299186707
Meet Mrs Grey from Fifty Shades,2014,https://www.bbc.co.uk/news/entertainment-arts-26547178,James Harden,-0.05,0.6093842387199402,0.6189507246017456,0.5953021049499512
Marcia Gay Harden added to Fifty Shades Of Grey cast,2014,https://www.bbc.co.uk/news/newsbeat-25211987,James Harden,0.1833333333333333,0.524154782295227,0.6895937919616699,0.5953021049499512
LV=Cup: Scarlets 13-7 Gloucester,2014,https://www.bbc.co.uk/sport/rugby-union/25885845,James Harden,0.06,0.5780295133590698,0.5579279959201813,0.5953021049499512
Men jailed for fight before Shrewsbury and Walsall fixture,2014,https://www.bbc.co.uk/news/uk-england-shropshire-24746826,James Harden,0.0,0.5698128938674927,0.5421594381332397,0.5953021049499512
Boy who raped sister after watching pornography sentenced,2014,https://www.bbc.co.uk/news/uk-england-lancashire-26418508,James Harden,0.0,0.6479170322418213,0.5287330746650696,0.5953021049499512
Fifty Shades of Grey actor Jamie Dornan becomes father,2014,https://www.bbc.co.uk/news/newsbeat-25428385,James Harden,-0.05,0.5121892094612122,0.6154764294624329,0.5953021049499512
Jamaica faces serious questions in the fight against doping,2014,https://www.bbc.co.uk/sport/athletics/24906369,DeMar DeRozan,0.047257313393677,0.5787236467003822,0.6105274707078934,0.584285318851471
Celtic midfielder Paul George moves to Hamilton on loan,2014,https://www.bbc.co.uk/sport/football/25736730,Paul George,-0.0166666666666666,0.5429524183273315,0.5410916805267334,0.5808157324790955
King George VI: Can Al Ferof bring Paul Nicholls more success?,2014,https://www.bbc.co.uk/sport/horse-racing/25498836,Paul George,0.1044612794612794,0.5912436485290528,0.5592164874076844,0.5808157324790955
George Joseph guilty of murdering son Paul in rent row,2014,https://www.bbc.co.uk/news/uk-england-london-26856441,Paul George,-0.5,0.6309565901756287,0.6637603044509888,0.5808157324790955
"Any Questions?: Keith Vaz MP, Pauline Black, George Eustice MP, Lisa Duffy",2014,https://www.bbc.co.uk/programmes/b03ttmf6,Paul George,-0.1666666666666666,0.5788705945014954,0.6648826003074646,0.5808157324790955
World Cup 2014: Guide to Switzerland's Group E,2014,https://www.bbc.co.uk/sport/football/25180409,Al Jefferson,0.1095268337783307,0.5966177195310592,0.5721725791692733,0.5856603980064392
Inventor John Wall's Crayford eyepiece 'revolutionary',2014,https://www.bbc.co.uk/news/uk-england-25657557,John Wall,0.0,0.6198901534080505,0.7056729793548584,0.5903730392456055
John's Shoe Repairs damaged by car crashing through wall,2014,https://www.bbc.co.uk/news/uk-england-derbyshire-26836148,John Wall,0.0,0.5351175665855408,0.7019672989845276,0.5903730392456055
Clydach wall crash death driver named as John Williams,2014,https://www.bbc.co.uk/news/uk-wales-south-west-wales-24750770,John Wall,0.0,0.6692168116569519,0.6931573152542114,0.5903730392456055
