Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name
2462,"Hornets Outlast Orlando in Finale, Clinch 6th Seed In Eastern Conference",2015-16,http://global.nba.com/news/hornets-outlast-orlando-in-finale/,NBA News,Default,Default,Default,0.1285441370223978,0.1285441370223978,Al Jefferson
2463,Celtics Storm Back In Second Half To Douse Heat,2015-16,http://global.nba.com/news/keys-to-the-game-celtics-98-heat-88/,NBA News,Default,Default,Default,0.1743412698412698,0.1743412698412698,James Harden
2464,Pistons Bench Outlasts Cavs Backups In OT Finale As Prelude To Playoff Matchup,2015-16,http://global.nba.com/news/pistons-bench-outlasts-cavs-backups-in-ot-finale-as-prelude-to-playoff-matchup/,Keith Langlois,1847,20186,45418,0.0632368742368742,0.0632368742368742,Reggie Jackson
2465,Playoff Scenariors: What’s At Stake On Final Night Of The Season,2015-16,http://global.nba.com/news/playoff-scenariors-whats-at-stake-on-final-night-of-the-season/,NBA News,Default,Default,Default,0.1129629629629629,0.1129629629629629,James Harden
2466,Blogtable: Your All-Rookie First Team Picks?,2015-16,http://global.nba.com/news/blogtable-your-all-rookie-first-team-picks/,NBA News,Default,Default,Default,0.1387900962442247,0.1387900962442247,Marc Gasol
2467,Blogtable: State Of The Cavs As Playoffs Near?,2015-16,http://global.nba.com/news/blogtable-state-of-the-cavs-as-playoffs-near/,NBA News,Default,Default,Default,0.2183690476190476,0.2183690476190476,Kyrie Irving
2468,"Morning Shootaround – April 13: Warriors, Kobe Headline Incredible Night Of Ball",2015-16,http://global.nba.com/news/morning-shootaround-april-13-warriors-kobe-headline-incredible-night-of-ball/,NBA News,Default,Default,Default,0.0875604567845946,0.0875604567845946,Reggie Jackson
2469,Spurs Edge Thunder To Tie Best Home Record Ever,2015-16,http://global.nba.com/news/spurs-edge-thunder-to-tie-best-home-record-ever/,NBA News,Default,Default,Default,0.1079951933825173,0.1079951933825173,Russell Westbrook
2470,Clippers Take Care Of Grizzlies Early In Home Finale,2015-16,http://global.nba.com/news/clippers-take-care-of-grizzlies-early-in-home-finale/,NBA News,Default,Default,Default,0.0788888888888888,0.0788888888888888,Chris Paul
2471,Raptors Crush Sixers,2015-16,http://global.nba.com/news/raptors-crush-sixers/,NBA News,Default,Default,Default,0.0670196280991735,0.0670196280991735,DeMarre Carroll
2472,Miami Turns Up The Heat On Detroit,2015-16,http://global.nba.com/news/heat-99-pistons-93-game-recap/,Joe Beguiristain,452,None,None,0.137654858691444,0.137654858691444,Joe Johnson
2473,Pacers Use Balanced Effort To Knock Off Knicks,2015-16,http://global.nba.com/news/pacers-use-balanced-effort-to-knock-off-knicks/,NBA News,Default,Default,Default,0.1019656019656019,0.1019656019656019,Carmelo Anthony
2474,Morning Shootaround – 12 April: Mavs Clinch Playoff Spot,2015-16,http://global.nba.com/news/morning-shootaround-12-april-mavs-clinch-playoff-spot/,NBA News,Default,Default,Default,0.0399622808361746,0.0399622808361746,Deron Williams
2475,All In The Family: Seth Curry’s Double-Double Drives Kings,2015-16,http://global.nba.com/news/all-in-the-family-seth-currys-double-double-drives-kings/,NBA News,Default,Default,Default,0.1571428571428572,0.1571428571428572,DeMarcus Cousins
2476,Mavs Clinch Playoff Berth With Victory In Utah,2015-16,http://global.nba.com/news/mavs-clinch-playoff-berth-with-victory-in-utah/,NBA News,Default,Default,Default,0.1592592592592592,0.1592592592592592,Gordon Hayward
2477,"KD, Westbrook Give Kobe A Rough Exit In Rout",2015-16,http://global.nba.com/news/kd-westbrook-give-kobe-a-rough-exit-in-rout/,NBA News,Default,Default,Default,0.0241830065359477,0.0241830065359477,Russell Westbrook
2478,Butler Clutch In Final Minutes Against Pelicans,2015-16,http://global.nba.com/news/butler-clutch-in-final-minutes-against-pelicans/,NBA News,Default,Default,Default,0.047070707070707,0.047070707070707,Pau Gasol
2479,Harden Has Another Huge Night In Houston Win,2015-16,http://global.nba.com/news/harden-has-another-huge-night-in-houston-win/,NBA News,Default,Default,Default,0.0910763888888889,0.0910763888888889,James Harden
2480,Makeshift Back Court Leads Wizards To Victory,2015-16,http://global.nba.com/news/makeshift-back-court-leads-wizards-to-victory/,NBA News,Default,Default,Default,0.0644444444444444,0.0644444444444444,John Wall
2481,Lin’s Big Night Helps Hornets Blow Out Celtics,2015-16,http://global.nba.com/news/lins-big-night-helps-hornets-blow-out-celtics/,NBA News,Default,Default,Default,0.1259740259740259,0.1259740259740259,Al Jefferson
2482,Ilyasova Powers Magic To Victory,2015-16,http://global.nba.com/news/ilyasova-powers-magic-to-victory/,NBA News,Default,Default,Default,0.1351190476190476,0.1351190476190476,Greg Monroe
2483,Cavs Clinch Top Seed In East With Win Over Hawks,2015-16,http://global.nba.com/news/cavs-clinch-top-seed-in-east-with-win-over-hawks/,NBA News,Default,Default,Default,0.1701388888888889,0.1701388888888889,LeBron James
2484,Power Rankings: Warriors Headline A Special Season,2015-16,http://global.nba.com/news/power-rankings-warriors-headline-a-special-season-2/,NBA News,Default,Default,Default,0.1673591759118075,0.1673591759118075,Russell Westbrook
2485,Paul Millsap And Karl-Anthony Towns Named Players Of The Week,2015-16,http://global.nba.com/news/paul-millsap-and-karl-anthony-towns-named-players-of-the-week/,NBA News,Default,Default,Default,0.3343549127640036,0.3343549127640036,Paul Millsap
2486,Playoff Implications For Today’s Games,2015-16,http://global.nba.com/news/playoff-implications-for-todays-games/,NBA News,Default,Default,Default,0.525,0.525,James Harden
2487,"For A Generation, Kobe Became ‘Our Michael Jordan’",2015-16,http://global.nba.com/news/for-a-generation-kobe-became-our-michael-jordan/,Shaun Powell,651,None,None,0.0992309297681199,0.0992309297681199,Kobe Bryant
