,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name,relevance_score,bert_relevance
0,Heat Victory Over Wizards Not Enough To Make Playoffs,2017,http://global.nba.com/news/heat-victory-wizards-not-enough-make-playoffs/,NBA News,21996,84859,93866,0.2,0.2,John Wall,0.203546452316276,0.6272101402282715
1,"Pacers Down Hawks, Clinch No. 7 Seed In East",2017,http://global.nba.com/news/pacers-hawks-clinch-no-7-seed-east/,NBA News,21996,84859,93866,0.0864341085271318,0.0864341085271318,Paul George,0.1344869879239471,0.6496281027793884
2,Celtics Clinch No. 1 Seed With Win Over Bucks,2017,http://global.nba.com/news/celtics-clinch-no-1-seed-win-bucks/,NBA News,21996,84859,93866,0.0106261022927689,0.0106261022927689,Isaiah Thomas,0.1963447655045227,0.6289045214653015
3,"Bulls Take Care Of Business, Clinch Playoff Berth",2017,http://global.nba.com/news/bulls-take-care-business-clinch-playoff-berth/,NBA News,21996,84859,93866,-0.11875,-0.11875,Jimmy Butler,0.2880769429863583,0.5640534162521362
4,Guerschon Yabusele continues journey to Boston Celtics,2017,http://global.nba.com/news/guerschon-yabusele-continues-journey-celtics/,NBA News,21996,84859,93866,0.1668397979797979,0.1668397979797979,Evan Fournier,0.0115922724582699,0.6429422497749329
5,Houston Rockets enter NBA playoffs with nothing to lose,2017,http://global.nba.com/news/houston-rockets-enter-nba-playoffs-nothing-lose/,NBA News,21996,84859,93866,0.1520230150367136,0.1520230150367136,James Harden,0.2639861709047144,0.6690677404403687
6,Blogtable: What criteria matters most in making your MVP decision?,2017,http://global.nba.com/news/blogtable-criteria-matters-making-mvp-decision/,NBA News,21996,84859,93866,0.2047916666666666,0.2047916666666666,Russell Westbrook,0.2838946337451826,0.6102566719055176
7,Blogtable: Historical significance of Russell Westbrook’s 2016-17 season?,2017,http://global.nba.com/news/blogtable-historical-significance-russell-westbrooks-2016-17-season/,NBA News,21996,84859,93866,0.1657621710300281,0.1657621710300281,Russell Westbrook,0.3323737304523734,0.6102566719055176
8,"Kia Rookie Ladder: In end, Malcolm Brogdon’s impact was undeniable",2017,http://global.nba.com/news/kia-rookie-ladder-end-malcolm-brogdons-impact-undeniable/,NBA News,21996,84859,93866,0.1242541682351465,0.1242541682351465,Isaiah Thomas,0.0215470607221184,0.6289045214653015
9,Just two playoff spots remaining entering final night of regular season,2017,http://global.nba.com/news/just-two-playoff-spots-remaining-entering-final-night-regular-season/,NBA News,21996,84859,93866,0.140688775510204,0.140688775510204,LeBron James,0.0788198146029528,0.6639240384101868
10,LeBron James will sit out Cleveland Cavaliers’ season finale,2017,http://global.nba.com/news/lebron-james-will-sit-cleveland-cavaliers-season-finale/,NBA News,21996,84859,93866,0.0321428571428571,0.0321428571428571,LeBron James,0.5742544130616616,0.6639240384101868
11,Shootaround (April 12) — Celtics have clear goal in mind heading into season finale,2017,http://global.nba.com/news/shootaround-april-12-celtics-clear-goal-mind-heading-season-finale/,NBA News,21996,84859,93866,0.1879914154259132,0.1879914154259132,Isaiah Thomas,0.0139892642529027,0.6289045214653015
12,"Hield, Lawson set personal milestones while leading Kings past Suns",2017,http://global.nba.com/news/hield-lawson-set-personal-milestones-leading-kings-past-suns/,NBA News,21996,84859,93866,-0.0129261363636363,-0.0129261363636363,Devin Booker,0.0778717888467364,0.6348689794540405
13,Metta scores 18 in possible farewell as Lakers top Pels,2017,http://global.nba.com/news/metta-scores-18-possible-farewell-lakers-top-pels/,NBA News,21996,84859,93866,0.0194746763408735,0.0194746763408735,Anthony Davis,0.0957161824710969,0.6462407112121582
14,Oladipo lifts Russ-less Thunder over Wolves,2017,http://global.nba.com/news/oladipo-lifts-russ-less-thunder-wolves/,NBA News,21996,84859,93866,0.0909020763187429,0.0909020763187429,Russell Westbrook,0.1626404779078495,0.6102566719055176
15,Resurgent Hawks rout Hornets for 4th-straight victory,2017,http://global.nba.com/news/resurgent-hawks-rout-hornets-103-76-4th-straight-victory/,NBA News,21996,84859,93866,0.0400096607723726,0.0400096607723726,Kemba Walker,0.139979298240822,0.6180068850517273
16,Minnesota Timberwolves unveil new logo for 2017-18 season,2017,http://global.nba.com/news/minnesota-timberwolves-unveil-new-logo-for-2017-18-season/,Official release,21996,84859,93866,0.1716092118665647,0.1716092118665647,Russell Westbrook,0.0,0.6102566719055176
17,Making the case for (and against) each of the top three Rookie of the Year contenders,2017,http://global.nba.com/news/making-case-top-three-rookie-year-contenders/,NBA News,21996,84859,93866,0.1218263888888889,0.1218263888888889,Karl-Anthony Towns,0.0418218214501505,0.7015666961669922
18,Steph Curry leads NBA’s most popular jersey list for second consecutive season,2017,http://global.nba.com/news/steph-curry-leads-nbas-popular-jersey-list-second-consecutive-season/,NBA News,21996,84859,93866,0.2969696969696969,0.2969696969696969,Russell Westbrook,0.2968835360944151,0.6102566719055176
19,Epic MVP chase comes down to a not-so-simple decision,2017,http://global.nba.com/news/epic-mvp-chase-comes-not-simple-decision/,NBA News,21996,84859,93866,0.1334493992402155,0.1334493992402155,LeBron James,0.2141147214331324,0.6639240384101868
20,Shootaround (April 11) — No. 1 seed in East within reach of Boston Celtics,2017,http://global.nba.com/news/shootaround-april-11-no-1-seed-east-within-reach-boston-celtics/,NBA News,21996,84859,93866,0.0918444893680743,0.0918444893680743,Paul George,0.1868590325661641,0.6496281027793884
21,"Horry Scale: Noah Vonleh scoops loose ball, makes layup to lift Trail Blazers",2017,http://global.nba.com/news/horry-scale-noah-vonleh-scoops-loose-ball-makes-layup-lift-trail-blazers/,NBA News,21996,84859,93866,0.0042259059208211,0.0042259059208211,Damian Lillard,0.0466425142317683,0.6261842250823975
22,Undermanned Jazz Snap Warriors’ 14-Game Win Streak,2017,http://global.nba.com/news/undermanned-jazz-snap-warriors-14-game-win-streak/,NBA News,21996,84859,93866,0.0875,0.0875,Stephen Curry,0.1993678411484664,0.6576935052871704
23,Beal’s Big Night Spoils Pistons Final Game At Palace,2017,http://global.nba.com/news/beals-big-night-spoils-pistons-final-game-palace/,NBA News,21996,84859,93866,0.0054401993355481,0.0054401993355481,Markieff Morris,0.1821653252259938,0.6606548428535461
24,Heat Keep Playoff Hopes Alive With OT Win Against Cavs,2017,http://global.nba.com/news/heat-keep-playoff-hopes-alive-ot-win-cavs/,NBA News,21996,84859,93866,-0.0445284780578898,-0.0445284780578898,LeBron James,0.1256152991668564,0.6639240384101868
25,Giannis Records Triple-Double In Win Over Hornets,2017,http://global.nba.com/news/giannis-records-triple-double-win-hornets/,NBA News,21996,84859,93866,-0.0210135135135135,-0.0210135135135135,Giannis Antetokounmpo,0.1461222968581856,0.7026242017745972
26,"Paul George, Russell Westbrook Named Players of the Week",2017,http://global.nba.com/news/paul-george-russell-westbrook-named-eastern-western-conference-players-week/,NBA News,21996,84859,93866,0.2195887445887445,0.2195887445887445,Russell Westbrook,0.2436748934219314,0.6102566719055176
27,Power Rankings: Golden State Warriors again the favorites as playoffs near,2017,http://global.nba.com/news/power-rankings-golden-state-warriors-favorites-playoffs-near/,NBA News,21996,84859,93866,0.17022234725831,0.17022234725831,Stephen Curry,0.0429072111895972,0.6576935052871704
