,title,time,url
0,Warriors’ Stephen Curry To Begin Practicing Next Week,"November 24, 2018",http://global.nba.com/news/warriors-stephen-curry-to-begin-practicing-next-week/
1,Pelicans’ Anthony Davis (Hip Strain) Out vs. Wizards,"November 24, 2018",http://global.nba.com/news/pelicans-anthony-davis-hip-strain-out-vs-wizards/
2,Rockets To Rest Chris Paul Against Cavaliers,"November 24, 2018",http://global.nba.com/news/rockets-to-rest-chris-paul-against-cavaliers/
3,Warriors Looking To Stay On Track As They Host Kings,"November 24, 2018",http://global.nba.com/news/warriors-looking-to-stay-on-track-as-they-host-kings/
4,Bucks End Homestand Against Spurs,"November 24, 2018",http://global.nba.com/news/bucks-end-homestand-against-spurs/
5,Mavericks Aim To Continue Home-Winning Streak vs. Celtics,"November 24, 2018",http://global.nba.com/news/mavericks-aim-to-continue-home-winning-streak-vs-celtics/
6,Thunder-Nuggets: 12-Win Teams Meet In Oklahoma City,"November 24, 2018",http://global.nba.com/news/thunder-nuggets-12-win-teams-meet-in-oklahoma-city/
7,Rockets Look To Start New Winning Streak Against Cavaliers,"November 24, 2018",http://global.nba.com/news/rockets-look-to-start-new-winning-streak-against-cavaliers/
8,"LeBron Pushes Lakers Past Jazz For 7th Win In 8 Games, 90-83","November 24, 2018",http://global.nba.com/news/lebron-pushes-lakers-past-jazz-for-7th-win-in-8-games-90-83/
9,"Durant, Thompson Help Warriors Beat Blazers, End 4-Game Skid","November 24, 2018",http://global.nba.com/news/durant-thompson-help-warriors-beat-blazers-end-4-game-skid/
10,"Lyles Scores Season-High 22 As Nuggets Beat Magic, 112-87","November 24, 2018",http://global.nba.com/news/lyles-scores-season-high-22-as-nuggets-beat-magic-112-87/
11,"Crawford’s Last-Second Shot Lifts Suns Past Bucks, 116-114","November 23, 2018",http://global.nba.com/news/crawfords-last-second-shot-lifts-suns-past-bucks-116-114/
12,Aldridge Scores 33 To Lead Spurs Over Pacers 111-100,"November 23, 2018",http://global.nba.com/news/aldridge-scores-33-to-lead-spurs-over-pacers-111-100/
13,Westbrook Scores 30 As Thunder Hold Off Hornets,"November 23, 2018",http://global.nba.com/news/westbrook-scores-30-as-thunder-hold-off-hornets/
14,Leonard Scores 27 Points As Raptors Rout Wizards 125-107,"November 23, 2018",http://global.nba.com/news/leonard-scores-27-points-as-raptors-rout-wizards-125-107/
15,"Clarkson, Hood Help Cavaliers Hand 76ers First Home Loss","November 23, 2018",http://global.nba.com/news/clarkson-hood-help-cavaliers-hand-76ers-first-home-loss/
16,"Balanced Detroit Attack Outlasts Houston In Overtime, 116-111","November 23, 2018",http://global.nba.com/news/balanced-detroit-attack-outlasts-houston-in-overtime-116-111/
17,Clippers Win In OT To Snap Grizzlies’ 5-Game Winning Streak,"November 23, 2018",http://global.nba.com/news/clippers-win-in-ot-to-snap-grizzlies-5-game-winning-streak/
18,Steph Curry Not Hurt In Multi-Car Accident,"November 23, 2018",http://global.nba.com/news/steph-curry-not-hurt-in-multi-car-accident/
19,Irving Says He Wants To Retire In His Early To Mid-30s,"November 23, 2018",http://global.nba.com/news/irving-says-he-wants-to-retire-in-his-early-to-mid-30s/
20,Derrick Rose Scores 25 As Timberwolves Beat Nets 112-102,"November 23, 2018",http://global.nba.com/news/derrick-rose-scores-25-as-timberwolves-beat-nets-112-102/
21,What You May Have Missed: Options For Antetokounmpo And More,"November 23, 2018",http://global.nba.com/news/what-you-may-have-missed-options-for-antetokounmpo-and-more/
22,Kia MVP Ladder: Walker Making Case As Top 5 Point Guard,"November 23, 2018",http://global.nba.com/news/kia-mvp-ladder-walker-making-case-as-top-5-point-guard/
23,Bucks Continue Set Of Home Games vs. Suns,"November 23, 2018",http://global.nba.com/news/bucks-continue-set-of-home-games-vs-suns/
24,"Warriors, Trail Blazers Aim To Rebound From Losses","November 23, 2018",http://global.nba.com/news/warriors-trail-blazers-aim-to-rebound-from-losses/
25,Jazz Seek To Defend Better Versus Lakers,"November 23, 2018",http://global.nba.com/news/jazz-seek-to-defend-better-versus-lakers/
26,"Banged Up Thunder Host Kemba Walker, Hornets","November 23, 2018",http://global.nba.com/news/banged-up-thunder-host-kemba-walker-hornets/
27,76ers To Close Out Homestead vs. Cavaliers,"November 23, 2018",http://global.nba.com/news/76ers-to-close-out-homestead-vs-cavaliers/
28,"Spurs, Pacers Meet Looking To Rebound From Tough Losses","November 23, 2018",http://global.nba.com/news/spurs-pacers-meet-looking-to-rebound-from-tough-losses/
29,"Hawks, Celtics Both Look To Get Back On Track","November 23, 2018",http://global.nba.com/news/hawks-celtics-both-look-to-get-back-on-track/
30,Rockets Look To Add On Another Win vs. Pistons,"November 23, 2018",http://global.nba.com/news/rockets-look-to-add-on-another-win-vs-pistons/
31,Surging Grizzlies Set To Visit Clippers,"November 23, 2018",http://global.nba.com/news/surging-grizzlies-set-to-visit-clippers/
32,Nets Hope Allen Crabbe Stays Hot vs. Timberwolves,"November 23, 2018",http://global.nba.com/news/nets-hope-allen-crabbe-stays-hot-vs-timberwolves/
33,"Diallo Suffers Scary Fall vs. Warriors, But Avoids Serious Leg Injury","November 22, 2018",http://global.nba.com/news/diallo-suffers-scary-fall-vs-warriors-but-avoids-serious-leg-injury/
34,"Kia Rookie Ladder: Ayton, Others Starting To Make Their Move","November 22, 2018",http://global.nba.com/news/kia-rookie-ladder-ayton-others-starting-to-make-their-move/
35,"Westbrook Stars, Diallo Hurt In Thunder’s Win Over Warriors","November 22, 2018",http://global.nba.com/news/westbrook-stars-diallo-hurt-in-thunders-win-over-warriors/
36,Cauley-Stein Scores 23 As Kings Outlast Jazz 119-110,"November 22, 2018",http://global.nba.com/news/cauley-stein-scores-23-as-kings-outlast-jazz-119-110/
37,"Grizzlies Fend Off Spurs 104-103 Behind Conley, Gasol","November 22, 2018",http://global.nba.com/news/grizzlies-fend-off-spurs-104-103-behind-conley-gasol/
38,Barnes Scores Season-High 28 As Mavericks Beat Nets,"November 22, 2018",http://global.nba.com/news/barnes-scores-season-high-28-as-mavericks-beat-nets/
39,"Millsap, Murray Lead Nuggets Past Timberwolves","November 22, 2018",http://global.nba.com/news/millsap-murray-lead-nuggets-past-timberwolves/
40,Harden’s 43 Points Leads Rockets Over Pistons,"November 22, 2018",http://global.nba.com/news/hardens-43-points-leads-rockets-over-pistons/
41,Parker Shines As Bulls Beat Suns 124-116,"November 22, 2018",http://global.nba.com/news/parker-shines-as-bulls-beat-suns-124-116/
42,"Lowry’s Triple-Double Leads Raptors, Carter Gets Milestone","November 22, 2018",http://global.nba.com/news/lowrys-triple-double-leads-raptors-carter-gets-milestone/
43,Giannis Leads Bucks To 143-100 Rout Of Trail Blazers,"November 21, 2018",http://global.nba.com/news/giannis-leads-bucks-to-143-100-rout-of-trail-blazers/
44,Lakers Beat Cavaliers In LeBron’s Return To Cleveland,"November 21, 2018",http://global.nba.com/news/lakers-beat-cavaliers-in-lebrons-return-to-cleveland/
45,"Trey Burke Scores 29, Knicks Top Celtics 117-109","November 21, 2018",http://global.nba.com/news/trey-burke-scores-29-knicks-top-celtics-117-109/
46,"Joel Embiid, 76ers Top Pelicans In Tight Battle","November 21, 2018",http://global.nba.com/news/joel-embiid-76ers-top-pelicans-in-tight-battle/
47,"Jeremy Lamb Scores 21, Hornets Topple Pacers 127-109","November 21, 2018",http://global.nba.com/news/jeremy-lamb-scores-21-hornets-topple-pacers-127-109/
48,Warriors Battle Injuries As They Face Thunder,"November 21, 2018",http://global.nba.com/news/warriors-battle-injuries-as-they-face-thunder/
49,"Bucks Seek Home Win vs. McCollum, Lillard And Tough Blazers","November 21, 2018",http://global.nba.com/news/bucks-seek-home-win-vs-mccollum-lillard-and-tough-blazers/
50,Hawks Hope To Get Win vs. Toronto At Crucial Time,"November 21, 2018",http://global.nba.com/news/hawks-hope-to-get-win-vs-toronto-at-crucial-time/
51,76ers Look To Add To 3 Game Win Streak vs. Pelicans,"November 21, 2018",http://global.nba.com/news/76ers-look-to-add-to-3-game-win-streak-vs-pelicans/
52,Kevin Love On Return: ‘Sometime After The New Year’,"November 21, 2018",http://global.nba.com/news/kevin-love-on-return-sometime-after-the-new-year/
53,"Blogtable: Your Thoughts On Blazers, Clippers And Grizzlies?","November 21, 2018",http://global.nba.com/news/blogtable-your-thoughts-on-blazers-clippers-and-grizzlies/
54,Durant Says Incident With Green Won’t Impact His Free-Agency Decision,"November 21, 2018",http://global.nba.com/news/durant-says-incident-with-green-wont-impact-his-free-agency-decision/
55,Blogtable: What Do You Make Of Fultz’s Latest Troubles?,"November 21, 2018",http://global.nba.com/news/blogtable-what-do-you-make-of-fultzs-latest-troubles/
56,Blogtable: How Should Cavs fans Receive LeBron Return To Cleveland?,"November 21, 2018",http://global.nba.com/news/blogtable-how-should-cavs-fans-receive-lebron-return-to-cleveland/
57,"Lillard, McCollum Pace Trail Blazers To Road Win Over Knicks","November 20, 2018",http://global.nba.com/news/lillard-mccollum-pace-trail-blazers-to-road-win-over-knicks/
58,"Russell, Nets Effective In Win Against Miami","November 20, 2018",http://global.nba.com/news/russell-nets-effective-in-road-win-over-miami/
59,"Wall, Beal Help Wizards Rally Past Clippers","November 20, 2018",http://global.nba.com/news/wall-beal-help-wizards-rally-past-clippers/
60,Green Scores In Last Second To Lift Raptors Over Magic 93-91,"November 20, 2018",http://global.nba.com/news/green-scores-in-last-second-to-lift-raptors-over-magic-93-91/
61,Warriors’ Kevin Durant Fined For Inappropriate Language,"November 20, 2018",http://global.nba.com/news/warriors-kevin-durant-fined-for-inappropriate-language/
62,J.R. Smith Parting Ways With Cleveland Cavaliers,"November 20, 2018",http://global.nba.com/news/j-r-smith-parting-ways-with-cleveland-cavaliers/
63,Dwyane Wade Returns To Miami Heat After Birth Of Child,"November 20, 2018",http://global.nba.com/news/dwyane-wade-returns-to-miami-heat-after-birth-of-child/
64,"Damian Lillard, Leads Trail Blazers As They Head To New York","November 20, 2018",http://global.nba.com/news/damian-lillard-leads-trail-blazers-as-they-head-to-new-york/
65,Clippers Seek Road Win vs. Wizards,"November 20, 2018",http://global.nba.com/news/clippers-seek-road-win-vs-wizards/
66,Magic Look To Continue Momentum vs. Raptors,"November 20, 2018",http://global.nba.com/news/magic-look-to-continue-momentum-vs-raptors/
67,Reports: Markelle Fultz To Visit Shoulder Specialist,"November 20, 2018",http://global.nba.com/news/reports-markelle-fultz-to-visit-shoulder-specialist/
68,LeBron’s Return To Cleveland Highlights New Trend,"November 20, 2018",http://global.nba.com/news/lebrons-return-to-cleveland-highlights-new-era-of-former-player-tributes/
69,About Last Night: Kemba Walker’s Encore,"November 20, 2018",http://global.nba.com/news/about-last-night-kemba-walkers-encore/
70,Kemba Rallies Hornets Past Celtics,"November 20, 2018",http://global.nba.com/news/kemba-rallies-hornets-past-celtics/
71,"Hield, Kings Hold Off Thunder","November 20, 2018",http://global.nba.com/news/hield-kings-hold-off-thunder/
72,Giannis Leads Bucks’ Second Half Comeback,"November 20, 2018",http://global.nba.com/news/giannis-leads-bucks-second-half-comeback/
73,"Conley, Gasol Lead Grizzlies To 4th Straight Win","November 20, 2018",http://global.nba.com/news/conley-gasol-lead-grizzlies-to-4th-straight-win/
74,"Embiid Has 33 Points, 17 Rebounds As 76ers Beat Suns","November 20, 2018",http://global.nba.com/news/embiid-has-33-points-17-rebounds-as-76ers-beat-suns/
75,"Sabonis, Bogdanovic Power Pacers Past Jazz","November 19, 2018",http://global.nba.com/news/sabonis-bogdanovic-power-pacers-past-jazz/
76,"Harrell, Tobias Rally Surging Clippers Past Hawks, 127-119","November 19, 2018",http://global.nba.com/news/harrell-tobias-rally-surging-clippers-past-hawks-127-119/
77,"Drummond, Pistons Cruise Past Cavaliers, 113-102","November 19, 2018",http://global.nba.com/news/drummond-pistons-cruise-past-cavaliers-113-102/
78,Thunder Go For Fourth Straight Win vs. Kings,"November 19, 2018",http://global.nba.com/news/thunder-go-for-fourth-straight-win-vs-kings/
79,Spurs Travel To New Orleans To Meet On-Fire Pelicans,"November 19, 2018",http://global.nba.com/news/spurs-travel-to-new-orleans-to-meet-on-fire-pelicans/
80,Bucks’ Maker Hopes To Make Most Of Chance vs. Nuggets,"November 19, 2018",http://global.nba.com/news/bucks-maker-hopes-to-make-most-of-chance-vs-nuggets/
81,"Surging Mavericks, Grizzlies Meet With Top Rookies","November 19, 2018",http://global.nba.com/news/surging-mavericks-grizzlies-meet-with-top-rookies/
82,"Hawks Host Clippers, Try To End Seven-Game Skid","November 19, 2018",http://global.nba.com/news/hawks-host-clippers-try-to-end-seven-game-skid/
83,Upstart Sixers With Butler Set To Host Suns,"November 19, 2018",http://global.nba.com/news/upstart-sixers-with-butler-set-to-host-suns/
84,Pacers G Oladipo Could Miss Game Against Jazz,"November 19, 2018",http://global.nba.com/news/pacers-g-oladipo-could-miss-game-against-jazz/
85,"After Five Days Off, Cavaliers, Pistons Set To Play","November 19, 2018",http://global.nba.com/news/after-five-days-off-cavaliers-pistons-set-to-play/
86,Celtics Look To Bounce Back Against Hornets,"November 19, 2018",http://global.nba.com/news/celtics-look-to-bounce-back-against-hornets/
87,Miami Heat Guard Josh Richardson Fined For Throwing Shoe,"November 19, 2018",http://global.nba.com/news/miami-heat-guard-josh-richardson-fined-for-throwing-shoe/
88,"Valentine Requires Ankle Surgery, Expected To Miss 4-6 Months","November 19, 2018",http://global.nba.com/news/valentine-requires-ankle-surgery-expected-to-miss-4-6-months/
89,"Week 5: Nikola Vucevic, Anthony Davis Named Players Of The Week","November 19, 2018",http://global.nba.com/news/week-5-orlandos-vucevic-new-orleans-davis-named-players-of-the-week/
90,"Pelicans’ Payton Has Surgery On Finger, Out Six Weeks","November 19, 2018",http://global.nba.com/news/pelicans-payton-to-have-surgery-on-finger-out-six-weeks/
91,Q&A: McCutchen Grows More Confident Making Calls In New Role,"November 19, 2018",http://global.nba.com/news/qa-mccutchen-grows-more-confident-making-calls-in-new-role/
92,"Power Rankings, Week 6: Quality Wins Help Clippers Land No. 1 Spot","November 19, 2018",http://global.nba.com/news/power-rankings-week-6-quality-wins-help-clippers-take-over-top-spot/
93,Recapping Week 5 In The NBA: Epic Performances Abound,"November 19, 2018",http://global.nba.com/news/recapping-week-5-in-the-nba-epic-performances-abound/
94,"Curry, Kerr Speak On Warriors’ Issues As Green Sits Again","November 19, 2018",http://global.nba.com/news/curry-kerr-speak-on-warriors-issues-as-green-sits-again/
95,Washington Wizards’ Dwight Howard Aggravates Glute Injury,"November 19, 2018",http://global.nba.com/news/washington-wizards-dwight-howard-aggravates-glute-injury/
96,"Aldridge, DeRozan Help Spurs Extend Warriors’ Skid, 104-92","November 18, 2018",http://global.nba.com/news/aldridge-derozan-help-spurs-extend-warriors-skid-104-92/
97,"Lillard Scores 40, Leads Trail Blazers Past Wizards 119-109","November 18, 2018",http://global.nba.com/news/lillard-scores-40-leads-trail-blazers-past-wizards-119-109/
98,"Gordon, Vucevic Lead Magic As Knicks Lose 5th Straight","November 18, 2018",http://global.nba.com/news/gordon-vucevic-lead-magic-as-knicks-lose-5th-straight/
99,"LeBron James Scores 51 Points, Lakers Roll Past Heat 113-97","November 18, 2018",http://global.nba.com/news/lebron-james-scores-51-points-lakers-roll-past-heat-113-97/
100,"Gasol, Conley Lead Grizzlies Past Timberwolves, 100-87","November 18, 2018",http://global.nba.com/news/gasol-conley-lead-grizzlies-past-timberwolves-100-87/
101,Brad Stevens Says Celtics Need ‘Tougher’ Mindset,"November 18, 2018",http://global.nba.com/news/brad-stevens-says-celtics-need-tougher-mindset/
102,Injury-riddled Warriors Continue Road Trip vs. Spurs,"November 18, 2018",http://global.nba.com/news/injury-riddled-warriors-continue-road-trip-vs-spurs/
103,Trail Blazers Continue Six-Game Trip Against Wizards,"November 18, 2018",http://global.nba.com/news/trail-blazers-continue-six-game-trip-against-wizards/
104,"Magic, Knicks Go Opposite Directions Since Last Meeting","November 18, 2018",http://global.nba.com/news/magic-knicks-go-opposite-directions-since-last-meeting/
105,LeBron James Returns To Play Heat For First Time With Lakers,"November 18, 2018",http://global.nba.com/news/james-returns-to-play-heat-for-first-time-with-lakers/
106,Timberwolves Hope To Stay Unbeaten Since Trade vs. Grizzlies,"November 18, 2018",http://global.nba.com/news/timberwolves-hope-to-stay-unbeaten-since-trade-vs-grizzlies/
107,Stephen Curry Speaks Out On Warriors Situation,"November 18, 2018",http://global.nba.com/news/stephen-curry-speaks-out-on-warriors-situation/
108,"About Last Night: Butler’s Moment, Kemba’s Night","November 18, 2018",http://global.nba.com/news/about-last-night-butlers-moment-kembas-night/
109,"George, Adams Lead Thunder Past Phoenix 110-100","November 17, 2018",http://global.nba.com/news/george-adams-lead-thunder-past-phoenix-110-100/
110,Doncic Leads Mavericks Over Short-Handed Warriors 112-109,"November 17, 2018",http://global.nba.com/news/doncic-leads-mavericks-over-short-handed-warriors-112-109/
111,"Bojan Bogdanovic Scores 22 Points, Pacers Hold Off Hawks 97-89","November 17, 2018",http://global.nba.com/news/bogdanovic-scores-22-points-pacers-hold-off-hawks-97-89/
