Unnamed: 0,title,time,url,author
0,"Bucks’ George Hill Returns To Milwaukee, Encourages Voting","October 24, 2020",http://global.nba.com/news/bucks-george-hill-returns-to-milwaukee-encourages-voting/,Steve Megargee
1,"NBA, WNBA Ramp Up Efforts To Get Out The Vote Ahead Of Nov. 3 Election","October 24, 2020",http://global.nba.com/news/nba-wnba-ramp-up-efforts-to-get-out-the-vote-ahead-of-nov-3-election/,Brian Martin
2,"Pat Riley Discusses Heat Future, Plans For Keeping Core Intact","October 23, 2020",http://global.nba.com/news/pat-riley-discusses-heat-future-plans-for-keeping-core-intact/,Tim Reynolds | Associated Press
3,Report: Amar’e Stoudemire Joins Steve Nash’s Coaching Staff In Brooklyn,"October 23, 2020",http://global.nba.com/news/report-amare-stoudemire-joins-steve-nashs-coaching-staff-in-brooklyn/,NBA News
4,ESPN To Host Virtual 2020 NBA Draft Presented By State Farm,"October 22, 2020",http://global.nba.com/news/espn-to-host-virtual-2020-nba-draft-presented-by-state-farm/,Official Release
5,LeBron James Ranks No. 1 In NBA 2K21’s Player Ratings,"October 22, 2020",http://global.nba.com/news/lebron-james-ranks-no-1-in-nba-2k21s-player-ratings/,NBA News
6,Home Of Denver Nuggets Renamed Ball Arena,"October 22, 2020",http://global.nba.com/news/home-of-denver-nuggets-renamed-ball-arena/,The Assocaited Press
7,Consensus Mock Draft: LaMelo Ball Leapfrogs Anthony Edwards As Likely No. 1 Pick,"October 22, 2020",http://global.nba.com/news/consensus-mock-draft-lamelo-ball-leapfrogs-anthony-edwards-as-likely-no-1-pick/,"Drew Packham, NBA.com"
8,New Clippers Coach Tyronn Lue: ‘It Feels Good To Be Wanted’,"October 21, 2020",http://global.nba.com/news/new-clippers-coach-tyronn-lue-it-feels-good-to-be-wanted/,Beth Harris
9,Daniel Theis Medical Update,"October 21, 2020",http://global.nba.com/news/daniel-theis-medical-update/,Official Release
10,Nate Bjorkgren Describes Plan To Take Pacers In New Direction,"October 21, 2020",http://global.nba.com/news/nate-bjorkgren-describes-plan-to-take-pacers-in-new-direction/,Michael Marot | The Associated Press
11,Pelicans Name Stan Van Gundy Head Coach,"October 21, 2020",http://global.nba.com/news/reports-stan-van-gundy-agrees-to-become-coach-of-pelicans/,New Orleans Pelicans Official Release
12,Clippers Name Tyronn Lue Head Coach,"October 20, 2020",http://global.nba.com/news/clippers-name-tyronn-lue-head-coach/,Official Release
13,Pacers Hire Nate Bjorkgren As Head Coach,"October 20, 2020",http://global.nba.com/news/reports-pacers-hire-nate-bjorkgren-as-next-coach/,Official Release
14,Report: Anthony Davis Plans To Re-Sign With Lakers,"October 15, 2020",http://global.nba.com/news/report-anthony-davis-plans-to-re-sign-with-lakers/,NBA Twitter & Media Reports
15,Reports: Clippers To Hire Tyronn Lue As Next Head Coach,"October 15, 2020",http://global.nba.com/news/reports-clippers-to-hire-tyronn-lue-as-next-head-coach/,NBA News
16,Daryl Morey Stepping Down As Rockets General Manager,"October 15, 2020",http://global.nba.com/news/reports-daryl-morey-stepping-down-as-rockets-general-manager/,NBA News
17,Reports: Jeff Van Gundy Talking With Rockets About Coaching Job,"October 15, 2020",http://global.nba.com/news/reports-jeff-van-gundy-talking-with-rockets-about-coaching-job/,NBA Twitter And Media Reports
18,Raptors Unveil 3 New Uniforms For 2020-21 Season,"October 15, 2020",http://global.nba.com/news/raptors-unveil-3-new-uniforms-for-2020-21-season/,NBA News
19,10 Most Intriguing Free Agents Ahead Of 2020-21 Season,"October 14, 2020",http://global.nba.com/news/10-most-intriguing-free-agents-ahead-of-2020-21-season/,John Schuhmann
20,Nets Unveil Classic Edition Uniforms For 2020-21 Season,"October 14, 2020",http://global.nba.com/news/nets-unveil-classic-edition-uniforms-for-2020-21-season/,NBA News
21,Kings Add 3 Executives To McNair-Led Front Office,"October 14, 2020",http://global.nba.com/news/kings-add-3-executives-to-mcnair-led-front-office/,Official Release
22,Brett Brown Quits As Coach Of Australian Men’s Team For Olympics,"October 13, 2020",http://global.nba.com/news/brett-brown-quits-as-coach-of-australian-mens-team-for-olympics/,NBA News
23,"Michelle Obama, LeBron James Team To Help Boost Early Voting","October 13, 2020",http://global.nba.com/news/michelle-obama-lebron-james-team-to-help-boost-early-voting/,Darlene Superville | The Associated Press
24,Bubble Wrap: Answering The Pressing Questions After The 2020 NBA Playoffs,"October 13, 2020",http://global.nba.com/news/bubble-wrap-will-the-lakers-path-to-the-finals-in-2021-be-easier-or-harder/,NBA.com Staff
25,5 Things We Learned From Game 6 Of 2020 Finals,"October 12, 2020",http://global.nba.com/news/5-things-we-learned-from-game-6-of-2020-finals/,Steve Aschburner
26,"Full Circle From Quick Success In Boston, Rajon Rondo Wins Title With L.A.","October 12, 2020",http://global.nba.com/news/full-circle-from-quick-success-in-boston-rajon-rondo-wins-title-with-l-a/,Michael C. Wright NBA.com
27,"Inside The Box Score: 2020 NBA Finals, Game 6","October 12, 2020",http://global.nba.com/news/the-finals-stat-game-6-lakers-dominate-at-the-rim-2/,By Brian Martin
28,"LeBron Adds To An Already-Stacked Trophy Case With Another Title, Finals MVP","October 12, 2020",http://global.nba.com/news/lebron-stocks-an-already-stacked-trophy-case-with-another-title-finals-mvp/,Shaun Powell
29,Jimmy Butler Vows To ‘Be Better’ After Memorable Playoff Run,"October 12, 2020",http://global.nba.com/news/jimmy-butler-vows-to-be-better-after-memorable-playoff-run/,Associated Press
30,"The Finals Stat, Game 6: Lakers Dominate At The Rim","October 12, 2020",http://global.nba.com/news/the-finals-stat-game-6-lakers-dominate-at-the-rim/,"John Schuhmann, NBA.com"
31,"LeBron James Makes History, Wins Finals MVP With 3 Different Franchises","October 11, 2020",http://global.nba.com/news/lebron-james-makes-history-wins-finals-mvp-with-3-different-franchises/,NBA News
32,Sweet 17: Lakers Tie Celtics For Most NBA Championships,"October 11, 2020",http://global.nba.com/news/sweet-17-lakers-tie-celtics-for-most-nba-championships/,Tim Reynolds | The Associated Press
33,Heat Guard Goran Dragic (Foot) Listed As Active For Game 6 vs. Lakers,"October 11, 2020",http://global.nba.com/news/heat-guard-goran-dragic-foot-listed-as-active-for-game-6-vs-lakers/,NBA.com Staff
