,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Milwaukee Bucks,52-20,30-7,22-13,30-15,22-5,11-4,8-5,11-6,8-0,8-2,6-3,41-17,11-3,6-1,25-11,6-0,9-5,8-7,11-5,10-0,8-3,0-0
2,Boston Celtics,50-23,26-9,24-14,29-16,21-7,9-4,9-7,11-5,6-3,7-3,8-1,42-17,8-6,5-7,27-10,4-2,14-2,8-6,10-5,8-3,6-5,0-0
3,Denver Nuggets,49-24,30-6,19-18,17-11,32-13,3-6,6-3,8-2,10-5,11-3,11-5,41-18,8-6,6-6,27-13,4-3,10-4,9-5,12-4,9-3,5-5,0-0
4,Philadelphia 76ers,49-23,26-11,23-12,30-16,19-7,7-6,13-4,10-6,7-2,8-0,4-5,38-19,11-4,9-5,25-8,4-4,8-6,9-4,11-3,7-4,10-2,0-0
5,Cleveland Cavaliers,46-28,29-8,17-20,30-15,16-13,7-9,12-3,11-3,4-6,5-5,7-2,38-23,8-5,4-7,30-9,5-1,9-7,9-6,8-8,8-3,7-3,0-0
6,Memphis Grizzlies,45-27,31-5,14-22,18-8,27-19,5-5,7-1,6-2,8-8,7-9,12-2,35-22,10-5,3-6,27-15,4-3,8-6,10-4,10-5,5-5,8-4,0-0
7,Sacramento Kings,43-29,21-15,22-14,16-14,27-15,4-6,7-3,5-5,8-5,8-6,11-4,32-25,11-4,9-7,16-11,2-4,9-5,8-6,9-6,8-4,7-4,0-0
8,New York Knicks,42-32,20-17,22-15,28-18,14-14,8-8,10-5,10-5,7-3,4-6,3-5,33-27,9-5,10-4,21-13,3-3,7-9,9-6,8-7,9-2,6-5,0-0
9,Miami Heat,40-34,25-13,15-21,21-24,19-10,5-9,7-10,9-5,6-4,7-3,6-3,32-27,8-7,14-8,9-11,2-5,8-7,9-6,10-5,4-6,7-5,0-0
10,Brooklyn Nets,39-33,19-15,20-18,26-19,13-14,7-8,6-10,13-1,5-3,4-6,4-5,34-24,5-9,9-3,18-15,2-5,10-6,12-1,7-7,3-8,5-6,0-0
11,Golden State Warriors,38-36,29-7,9-29,13-16,25-20,4-5,4-6,5-5,8-6,6-9,11-5,29-29,9-7,4-6,19-16,3-4,8-7,8-7,7-6,6-6,6-6,0-0
12,Los Angeles Clippers,38-35,19-17,19-18,16-13,22-22,6-4,5-4,5-5,4-12,7-7,11-3,33-28,5-7,4-6,17-19,3-4,10-6,8-7,8-8,4-6,5-4,0-0
