,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
134,Jamal Crawford,39,100.0,0.0,15.0,2.6,0.0,0.0,0.0,1,False,6,12.4,0.0,0.1,33.2,['SHOOTING GUARD'],crawfja01,0.0,BROOKLYN NETS,0.5,0.0,0.625,0.0,27.9,0.0,0.1,0.492
451,Shamorie Ponds,21,32.4,8.9,13.7,5.3,9.4,0.0,0.4,4,False,11,8.4,0.0,0.1,33.1,['POINT GUARD'],pondssh01,0.0,TORONTO RAPTORS,0.4,4.8,0.765,0.0,22.8,0.0,0.1,0.45
12,Giannis Antetokounmpo,25,34.2,3.0,11.5,4.1,34.8,5.0,0.508,63,False,1917,7.4,7.7,6.1,31.9,['POWER FORWARD'],antetgi01,1.5,MILWAUKEE BUCKS,0.237,22.1,0.613,13.2,37.5,6.6,11.1,0.279
510,Max Strus,23,0.0,0.0,3.9,-1.7,0.0,0.0,0.333,2,False,6,5.7,17.5,0.0,30.7,['SMALL FORWARD'],strusma01,0.0,CHICAGO BULLS,0.333,9.2,0.727,0.0,24.4,0.0,0.0,0.316
228,James Harden,30,35.9,2.1,9.6,1.6,16.0,3.2,0.528,68,False,2483,8.1,2.9,9.9,29.1,['SHOOTING GUARD'],hardeja01,2.3,HOUSTON ROCKETS,0.557,9.4,0.626,14.2,36.3,7.3,13.1,0.254
93,Devontae Cacok,23,20.3,0.0,0.2,-4.6,36.1,0.0,0.0,1,False,9,4.8,24.6,0.0,28.6,['CENTER'],cacokde01,0.0,LOS ANGELES LAKERS,0.0,30.4,0.5,0.0,28.1,0.0,0.0,0.226
397,Johnathan Motley,24,32.9,0.0,8.1,3.3,17.3,0.1,0.467,13,False,41,4.8,7.8,0.2,28.5,['POWER FORWARD'],motlejo01,3.5,LOS ANGELES CLIPPERS,0.067,12.7,0.774,21.7,23.5,0.1,0.3,0.299
176,Tacko Fall,24,5.8,11.2,6.5,6.0,44.9,0.1,0.214,7,False,33,0.4,3.3,0.1,28.4,['CENTER'],fallta01,1.5,BOSTON CELTICS,0.0,24.3,0.751,16.4,23.7,0.1,0.2,0.223
155,Luka Dončić,20,45.7,0.6,8.4,1.0,25.0,2.3,0.448,61,False,2047,7.4,4.1,6.5,27.6,['POINT GUARD'],doncilu01,1.5,DALLAS MAVERICKS,0.431,14.7,0.585,14.8,36.8,5.4,8.8,0.207
142,Anthony Davis,26,15.1,6.0,8.0,2.6,22.1,4.4,0.479,62,False,2131,5.4,7.4,6.7,27.4,['POWER FORWARD'],davisan02,2.0,LOS ANGELES LAKERS,0.199,14.8,0.61,10.4,29.3,5.4,11.1,0.25
333,Kawhi Leonard,28,26.4,1.6,8.9,2.4,19.1,3.3,0.355,57,False,1848,6.5,3.1,5.4,26.9,['SMALL FORWARD'],leonaka01,2.6,LOS ANGELES CLIPPERS,0.287,11.3,0.589,10.2,33.0,5.1,8.7,0.226
336,Damian Lillard,29,34.4,0.8,7.5,-0.9,10.5,0.7,0.384,66,False,2474,8.3,1.4,10.9,26.9,['POINT GUARD'],lillada01,1.3,PORTLAND TRAIL BLAZERS,0.5,6.0,0.627,11.0,30.3,5.9,11.6,0.225
530,Karl-Anthony Towns,24,22.8,2.9,7.8,0.8,26.1,1.3,0.363,35,False,1187,7.0,8.1,3.7,26.5,['CENTER'],townska01,1.3,MINNESOTA TIMBERWOLVES,0.445,16.8,0.642,13.2,28.8,2.9,5.1,0.204
436,Jabari Parker,24,21.5,1.2,2.6,-0.9,23.1,0.1,0.25,6,False,80,3.5,9.6,0.3,26.5,['POWER FORWARD'],parkeja01,1.8,SACRAMENTO KINGS,0.111,16.2,0.638,9.1,23.8,0.1,0.4,0.234
275,Kyrie Irving,27,36.7,1.3,7.7,0.9,12.5,0.8,0.245,20,False,658,6.7,3.5,2.1,26.2,['POINT GUARD'],irvinky01,1.9,BROOKLYN NETS,0.341,8.1,0.595,10.1,32.6,1.6,2.9,0.21
168,Joel Embiid,25,16.9,3.7,4.7,1.0,33.2,2.7,0.543,51,False,1506,3.7,10.3,3.3,25.8,['CENTER'],embiijo01,1.4,PHILADELPHIA 76ERS,0.215,21.7,0.59,13.8,32.9,2.5,6.0,0.192
351,Boban Marjanović,31,8.3,2.0,1.2,-1.6,32.1,0.6,0.27,44,False,422,2.8,16.6,1.2,25.7,['CENTER'],marjabo01,0.9,DALLAS MAVERICKS,0.081,24.5,0.612,11.3,26.9,0.3,1.8,0.2
285,LeBron James,35,49.1,1.4,8.4,1.8,21.5,3.6,0.292,67,False,2316,6.6,3.2,6.2,25.5,['POINT GUARD'],jamesle01,1.6,LOS ANGELES LAKERS,0.326,12.4,0.577,15.1,31.5,6.1,9.8,0.204
568,Hassan Whiteside,30,5.9,8.4,3.2,0.7,33.3,3.0,0.34,67,False,2008,2.5,13.6,5.6,25.0,['CENTER'],whiteha01,0.6,PORTLAND TRAIL BLAZERS,0.01,23.6,0.644,12.9,19.6,2.6,8.5,0.204
298,Nikola Jokić,24,35.2,1.7,7.4,2.0,26.1,3.1,0.281,73,False,2336,5.5,8.0,6.7,24.9,['CENTER'],jokicni01,1.8,DENVER NUGGETS,0.238,17.1,0.605,15.8,26.6,5.5,9.8,0.202
579,Zion Williamson,19,13.3,1.1,2.1,-1.4,13.7,0.4,0.494,24,False,668,3.5,10.1,1.5,24.1,['POWER FORWARD'],willizi01,1.1,NEW ORLEANS PELICANS,0.039,11.9,0.616,11.9,30.5,0.7,2.0,0.141
127,Tyler Cook,22,4.5,0.0,2.3,-0.6,19.2,0.0,0.6,11,False,35,2.9,12.6,0.2,23.9,['POWER FORWARD'],cookty01,1.4,CLEVELAND CAVALIERS,0.0,15.9,0.752,7.3,16.7,0.0,0.2,0.244
586,Trae Young,21,45.6,0.3,3.9,-2.3,11.5,0.6,0.448,60,False,2120,6.2,1.6,5.3,23.9,['POINT GUARD'],youngtr01,1.4,ATLANTA HAWKS,0.455,6.5,0.595,16.2,34.9,3.1,5.9,0.133
90,Jimmy Butler,30,28.1,1.6,5.4,1.5,15.4,2.7,0.693,58,False,1959,4.0,6.3,6.3,23.6,['SMALL FORWARD'],butleji01,2.6,MIAMI HEAT,0.157,11.0,0.585,11.4,25.1,3.7,9.0,0.221
476,Mitchell Robinson,21,3.9,8.0,2.9,1.4,18.8,2.0,0.434,61,False,1412,1.6,13.7,4.8,23.5,['CENTER'],robinmi01,1.8,NEW YORK KNICKS,0.0,16.2,0.726,8.3,13.3,1.8,6.8,0.23
122,John Collins,22,7.6,4.1,3.1,-0.6,24.0,1.2,0.248,41,False,1363,3.7,9.0,3.8,23.5,['POWER FORWARD'],collijo01,1.1,ATLANTA HAWKS,0.243,16.4,0.659,10.1,22.7,1.7,4.9,0.174
232,Montrezl Harrell,26,10.3,3.6,2.9,0.5,16.3,2.5,0.432,63,False,1749,2.5,9.9,4.4,23.2,['CENTER'],harremo01,1.1,LOS ANGELES CLIPPERS,0.022,13.2,0.607,10.1,25.7,2.2,7.0,0.191
582,Christian Wood,24,7.6,3.4,3.1,-0.3,24.8,1.5,0.476,62,False,1325,3.5,8.8,3.6,23.2,['POWER FORWARD'],woodch01,1.3,DETROIT PISTONS,0.276,16.7,0.659,12.0,23.0,1.7,5.1,0.183
37,Bradley Beal,26,29.5,1.0,2.9,-2.4,10.5,0.6,0.351,57,False,2053,5.3,2.7,4.5,23.2,['SHOOTING GUARD'],bealbr01,1.6,WASHINGTON WIZARDS,0.369,6.4,0.579,11.4,34.4,2.5,5.1,0.118
577,Robert Williams,22,10.1,8.4,5.1,4.3,24.0,1.0,0.386,29,False,388,0.8,11.2,1.1,23.1,['CENTER'],williro04,2.7,BOSTON CELTICS,0.0,17.7,0.728,16.9,13.6,0.7,2.0,0.253
419,Jusuf Nurkić,25,19.1,5.4,2.0,1.0,24.1,0.3,0.321,8,False,253,1.0,9.6,0.5,22.6,['CENTER'],nurkiju01,2.1,PORTLAND TRAIL BLAZERS,0.092,16.9,0.567,13.2,24.0,0.2,0.9,0.164
588,Tyler Zeller,30,0.0,0.0,-22.4,-22.1,26.9,0.0,0.0,2,False,4,-0.3,80.9,0.0,22.4,['CENTER'],zellety01,0.0,SAN ANTONIO SPURS,0.0,53.9,0.25,0.0,43.2,0.0,0.0,-0.075
189,Enes Freedom,27,8.8,3.9,1.5,-0.3,28.9,1.8,0.284,58,False,983,1.8,18.0,2.6,22.4,['CENTER'],kanteen01,1.1,BOSTON CELTICS,0.02,23.5,0.599,12.5,19.4,0.9,4.4,0.214
376,Chimezie Metu,22,14.9,5.0,1.7,-0.1,21.6,0.1,0.31,18,False,105,1.7,12.3,0.2,22.2,['CENTER'],metuch01,1.4,SAN ANTONIO SPURS,0.048,16.9,0.608,17.3,23.7,0.1,0.3,0.13
