,name,minutes_played,games_played,points,team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,positions,slug,steals,turnovers
134,Stephen Curry,2152,63,2015,GOLDEN STATE WARRIORS,32,363,1365,395,801,8,316,63,658,362,337,29,119,['POINT GUARD'],curryst01,77,213
348,Damian Lillard,2398,67,1928,PORTLAND TRAIL BLAZERS,30,505,1334,484,704,17,251,67,602,449,275,32,102,['POINT GUARD'],lillada01,62,203
304,Nikola Jokić,2488,72,1898,DENVER NUGGETS,25,599,1293,394,237,48,575,72,732,342,92,205,192,['CENTER'],jokicni01,95,222
41,Bradley Beal,2147,60,1878,WASHINGTON WIZARDS,27,265,1382,459,373,22,211,60,670,408,130,72,140,['SHOOTING GUARD'],bealbr01,69,187
151,Luka Dončić,2262,66,1830,DALLAS MAVERICKS,21,567,1351,471,548,36,473,66,647,344,192,54,152,['POINT GUARD'],doncilu01,64,281
14,Giannis Antetokounmpo,2013,61,1717,MILWAUKEE BUCKS,26,357,1100,581,221,73,574,61,626,398,67,97,168,['POWER FORWARD'],antetgi01,72,207
485,Julius Randle,2667,71,1712,NEW YORK KNICKS,26,427,1321,429,389,18,639,71,602,348,160,84,225,['POWER FORWARD'],randlju01,64,241
64,Devin Booker,2270,67,1712,PHOENIX SUNS,24,289,1287,392,371,16,247,67,623,340,126,34,181,['SHOOTING GUARD'],bookede01,53,207
544,Jayson Tatum,2290,64,1692,BOSTON CELTICS,22,276,1318,340,485,31,422,64,605,295,187,50,122,['SMALL FORWARD'],tatumja01,75,171
611,Zion Williamson,2026,61,1647,NEW ORLEANS PELICANS,20,226,1037,529,34,39,274,61,634,369,10,167,135,['POWER FORWARD'],willizi01,57,167
623,Trae Young,2125,63,1594,ATLANTA HAWKS,22,594,1112,546,397,12,207,63,487,484,136,38,111,['POINT GUARD'],youngtr01,53,261
335,Zach LaVine,2034,58,1591,CHICAGO BULLS,25,282,1123,298,477,27,253,58,569,253,200,36,138,['SHOOTING GUARD'],lavinza01,46,203
186,De'Aaron Fox,2036,58,1461,SACRAMENTO KINGS,23,417,1110,417,320,27,170,58,529,300,103,33,170,['POINT GUARD'],foxde01,87,174
521,Collin Sexton,2115,60,1460,CLEVELAND CAVALIERS,22,262,1105,383,264,10,129,60,525,312,98,58,157,['SHOOTING GUARD'],sextoco01,62,167
