,W,L
LOS ANGELES LAKERS,68,24
MILWAUKEE BUCKS,61,22
TORONTO RAPTORS,60,23
MIAMI HEAT,58,36
BOSTON CELTICS,58,31
LOS ANGELES CLIPPERS,56,29
DENVER NUGGETS,55,37
HOUSTON ROCKETS,49,35
OKLAHOMA CITY THUNDER,47,32
UTAH JAZZ,47,32
DALLAS MAVERICKS,45,36
INDIANA PACERS,45,32
PHILADELPHIA 76ERS,43,34
PORTLAND TRAIL BLAZERS,37,43
BROOKLYN NETS,35,41
PHOENIX SUNS,34,39
MEMPHIS GRIZZLIES,34,40
ORLANDO MAGIC,34,44
SAN ANTONIO SPURS,32,39
SACRAMENTO KINGS,31,41
NEW ORLEANS PELICANS,30,42
WASHINGTON WIZARDS,25,47
CHARLOTTE HORNETS,23,42
CHICAGO BULLS,22,43
NEW YORK KNICKS,21,45
DETROIT PISTONS,20,46
ATLANTA HAWKS,20,47
MINNESOTA TIMBERWOLVES,19,45
CLEVELAND CAVALIERS,19,46
GOLDEN STATE WARRIORS,15,50
