,season,team,conference,W,L,win_rate,conference_standing
0,2023,DENVER NUGGETS,Western,48,24,0.6666666666666666,1
1,2023,MEMPHIS GRIZZLIES,Western,43,27,0.6142857142857143,2
2,2023,SACRAMENTO KINGS,Western,43,27,0.6142857142857143,3
3,2023,PHOENIX SUNS,Western,38,33,0.5352112676056338,4
4,2023,LOS ANGELES CLIPPERS,Western,38,34,0.5277777777777778,5
5,2023,DALLAS MAVERICKS,Western,36,35,0.5070422535211268,6
6,2023,GOLDEN STATE WARRIORS,Western,36,36,0.5,7
7,2023,OKLAHOMA CITY THUNDER,Western,35,36,0.4929577464788732,8
8,2023,MINNESOTA TIMBERWOLVES,Western,35,37,0.4861111111111111,9
9,2023,LOS ANGELES LAKERS,Western,35,37,0.4861111111111111,10
10,2023,UTAH JAZZ,Western,34,36,0.4857142857142857,11
11,2023,NEW ORLEANS PELICANS,Western,34,37,0.4788732394366197,12
12,2023,PORTLAND TRAIL BLAZERS,Western,31,40,0.4366197183098591,13
13,2023,SAN ANTONIO SPURS,Western,19,52,0.2676056338028169,14
14,2023,HOUSTON ROCKETS,Western,18,53,0.2535211267605634,15
15,2023,MILWAUKEE BUCKS,Eastern,51,20,0.7183098591549296,1
16,2023,PHILADELPHIA 76ERS,Eastern,48,22,0.6857142857142857,2
17,2023,BOSTON CELTICS,Eastern,49,23,0.6805555555555556,3
18,2023,CLEVELAND CAVALIERS,Eastern,45,28,0.6164383561643836,4
19,2023,NEW YORK KNICKS,Eastern,42,30,0.5833333333333334,5
20,2023,BROOKLYN NETS,Eastern,39,32,0.5492957746478874,6
21,2023,MIAMI HEAT,Eastern,39,34,0.5342465753424658,7
22,2023,ATLANTA HAWKS,Eastern,35,36,0.4929577464788732,8
23,2023,TORONTO RAPTORS,Eastern,35,37,0.4861111111111111,9
24,2023,CHICAGO BULLS,Eastern,33,37,0.4714285714285714,10
25,2023,INDIANA PACERS,Eastern,32,39,0.4507042253521127,11
26,2023,WASHINGTON WIZARDS,Eastern,32,39,0.4507042253521127,12
27,2023,ORLANDO MAGIC,Eastern,29,43,0.4027777777777778,13
28,2023,CHARLOTTE HORNETS,Eastern,22,50,0.3055555555555556,14
29,2023,DETROIT PISTONS,Eastern,16,56,0.2222222222222222,15
