,W,L
TORONTO RAPTORS,74,32
GOLDEN STATE WARRIORS,71,33
MILWAUKEE BUCKS,70,27
PORTLAND TRAIL BLAZERS,61,37
DENVER NUGGETS,61,35
HOUSTON ROCKETS,59,34
PHILADELPHIA 76ERS,58,36
BOSTON CELTICS,54,37
UTAH JAZZ,51,36
SAN ANTONIO SPURS,51,38
LOS ANGELES CLIPPERS,50,38
OKLAHOMA CITY THUNDER,50,37
INDIANA PACERS,48,38
ORLANDO MAGIC,43,44
BROOKLYN NETS,43,44
DETROIT PISTONS,41,45
MIAMI HEAT,39,43
CHARLOTTE HORNETS,39,43
SACRAMENTO KINGS,39,43
LOS ANGELES LAKERS,37,45
MINNESOTA TIMBERWOLVES,36,46
NEW ORLEANS PELICANS,33,49
DALLAS MAVERICKS,33,49
MEMPHIS GRIZZLIES,33,49
WASHINGTON WIZARDS,32,50
ATLANTA HAWKS,29,53
CHICAGO BULLS,22,60
PHOENIX SUNS,19,63
CLEVELAND CAVALIERS,19,63
NEW YORK KNICKS,17,65
