season,Team,Conference,W,L,win_rate,conference_standing
2022,PHOENIX SUNS,Western,71,24,0.7473684210526316,1
2022,GOLDEN STATE WARRIORS,Western,69,35,0.6634615384615384,2
2022,MEMPHIS GRIZZLIES,Western,62,32,0.6595744680851063,3
2022,DALLAS MAVERICKS,Western,61,39,0.61,4
2022,UTAH JAZZ,Western,51,37,0.5795454545454546,5
2022,DENVER NUGGETS,Western,49,38,0.5632183908045977,6
2022,MINNESOTA TIMBERWOLVES,Western,49,40,0.550561797752809,7
2022,LOS ANGELES CLIPPERS,Western,42,42,0.5,8
2022,NEW ORLEANS PELICANS,Western,40,50,0.4444444444444444,9
2022,SAN ANTONIO SPURS,Western,34,49,0.40963855421686746,10
2022,LOS ANGELES LAKERS,Western,33,49,0.4024390243902439,11
2022,SACRAMENTO KINGS,Western,30,52,0.36585365853658536,12
2022,PORTLAND TRAIL BLAZERS,Western,27,55,0.32926829268292684,13
2022,OKLAHOMA CITY THUNDER,Western,24,58,0.2926829268292683,14
2022,HOUSTON ROCKETS,Western,20,62,0.24390243902439024,15
2022,MIAMI HEAT,Eastern,64,36,0.64,1
2022,MILWAUKEE BUCKS,Eastern,58,36,0.6170212765957447,2
2022,BOSTON CELTICS,Eastern,65,41,0.6132075471698113,3
2022,PHILADELPHIA 76ERS,Eastern,57,37,0.6063829787234043,4
2022,TORONTO RAPTORS,Eastern,50,38,0.5681818181818182,5
2022,CHICAGO BULLS,Eastern,47,40,0.5402298850574713,6
2022,CLEVELAND CAVALIERS,Eastern,44,40,0.5238095238095238,7
2022,CHARLOTTE HORNETS,Eastern,43,40,0.5180722891566265,8
2022,BROOKLYN NETS,Eastern,45,42,0.5172413793103449,9
2022,ATLANTA HAWKS,Eastern,46,43,0.5168539325842697,10
2022,NEW YORK KNICKS,Eastern,37,45,0.45121951219512196,11
2022,WASHINGTON WIZARDS,Eastern,35,47,0.4268292682926829,12
2022,INDIANA PACERS,Eastern,25,57,0.3048780487804878,13
2022,DETROIT PISTONS,Eastern,23,59,0.2804878048780488,14
2022,ORLANDO MAGIC,Eastern,22,60,0.2682926829268293,15
2021,UTAH JAZZ,Western,58,25,0.6987951807228916,1
2021,PHOENIX SUNS,Western,65,29,0.6914893617021277,2
2021,LOS ANGELES CLIPPERS,Western,57,34,0.6263736263736264,3
2021,DENVER NUGGETS,Western,51,31,0.6219512195121951,4
2021,DALLAS MAVERICKS,Western,45,34,0.569620253164557,5
2021,LOS ANGELES LAKERS,Western,45,34,0.569620253164557,6
2021,PORTLAND TRAIL BLAZERS,Western,44,34,0.5641025641025641,7
2021,GOLDEN STATE WARRIORS,Western,39,35,0.527027027027027,8
2021,MEMPHIS GRIZZLIES,Western,41,38,0.5189873417721519,9
2021,SAN ANTONIO SPURS,Western,33,40,0.4520547945205479,10
2021,SACRAMENTO KINGS,Western,31,41,0.4305555555555556,11
2021,NEW ORLEANS PELICANS,Western,31,41,0.4305555555555556,12
2021,MINNESOTA TIMBERWOLVES,Western,23,49,0.3194444444444444,13
2021,OKLAHOMA CITY THUNDER,Western,22,50,0.3055555555555556,14
2021,HOUSTON ROCKETS,Western,17,55,0.2361111111111111,15
2021,PHILADELPHIA 76ERS,Eastern,56,28,0.6666666666666666,1
2021,BROOKLYN NETS,Eastern,55,29,0.6547619047619048,2
2021,MILWAUKEE BUCKS,Eastern,62,33,0.6526315789473685,3
2021,ATLANTA HAWKS,Eastern,51,39,0.5666666666666667,4
2021,NEW YORK KNICKS,Eastern,42,35,0.5454545454545454,5
2021,MIAMI HEAT,Eastern,40,36,0.5263157894736842,6
2021,BOSTON CELTICS,Eastern,38,40,0.48717948717948717,7
2021,INDIANA PACERS,Eastern,35,39,0.47297297297297297,8
2021,WASHINGTON WIZARDS,Eastern,36,43,0.45569620253164556,9
2021,CHARLOTTE HORNETS,Eastern,33,40,0.4520547945205479,10
2021,CHICAGO BULLS,Eastern,31,41,0.4305555555555556,11
2021,TORONTO RAPTORS,Eastern,27,45,0.375,12
2021,CLEVELAND CAVALIERS,Eastern,22,50,0.3055555555555556,13
2021,ORLANDO MAGIC,Eastern,21,51,0.2916666666666667,14
2021,DETROIT PISTONS,Eastern,20,52,0.2777777777777778,15
2020,LOS ANGELES LAKERS,Western,68,24,0.7391304347826086,1
2020,LOS ANGELES CLIPPERS,Western,56,29,0.6588235294117647,2
